param,value,time,tag
n,0,862,min_so_far_subtracted
n,0,591,min_so_far_subtracted
n,0,551,min_so_far_subtracted
n,0,561,min_so_far_subtracted
n,0,741,min_so_far_subtracted
n,0,572,min_so_far_subtracted
n,0,561,min_so_far_subtracted
n,0,561,min_so_far_subtracted
n,0,1543,min_so_far_subtracted
n,0,571,min_so_far_subtracted
n,8,842,min_so_far_subtracted
n,8,831,min_so_far_subtracted
n,8,832,min_so_far_subtracted
n,8,812,min_so_far_subtracted
n,8,832,min_so_far_subtracted
n,8,811,min_so_far_subtracted
n,8,832,min_so_far_subtracted
n,8,851,min_so_far_subtracted
n,8,831,min_so_far_subtracted
n,8,831,min_so_far_subtracted
n,16,861,min_so_far_subtracted
n,16,841,min_so_far_subtracted
n,16,852,min_so_far_subtracted
n,16,1152,min_so_far_subtracted
n,16,1493,min_so_far_subtracted
n,16,821,min_so_far_subtracted
n,16,832,min_so_far_subtracted
n,16,832,min_so_far_subtracted
n,16,832,min_so_far_subtracted
n,16,841,min_so_far_subtracted
n,24,862,min_so_far_subtracted
n,24,852,min_so_far_subtracted
n,24,841,min_so_far_subtracted
n,24,842,min_so_far_subtracted
n,24,1132,min_so_far_subtracted
n,24,841,min_so_far_subtracted
n,24,831,min_so_far_subtracted
n,24,852,min_so_far_subtracted
n,24,1132,min_so_far_subtracted
n,24,1052,min_so_far_subtracted
n,32,931,min_so_far_subtracted
n,32,962,min_so_far_subtracted
n,32,1012,min_so_far_subtracted
n,32,1142,min_so_far_subtracted
n,32,1122,min_so_far_subtracted
n,32,842,min_so_far_subtracted
n,32,962,min_so_far_subtracted
n,32,1283,min_so_far_subtracted
n,32,962,min_so_far_subtracted
n,32,961,min_so_far_subtracted
n,40,881,min_so_far_subtracted
n,40,972,min_so_far_subtracted
n,40,972,min_so_far_subtracted
n,40,952,min_so_far_subtracted
n,40,972,min_so_far_subtracted
n,40,982,min_so_far_subtracted
n,40,971,min_so_far_subtracted
n,40,982,min_so_far_subtracted
n,40,1052,min_so_far_subtracted
n,40,962,min_so_far_subtracted
n,48,1082,min_so_far_subtracted
n,48,992,min_so_far_subtracted
n,48,1092,min_so_far_subtracted
n,48,1072,min_so_far_subtracted
n,48,872,min_so_far_subtracted
n,48,1092,min_so_far_subtracted
n,48,1142,min_so_far_subtracted
n,48,992,min_so_far_subtracted
n,48,981,min_so_far_subtracted
n,48,1092,min_so_far_subtracted
n,56,1122,min_so_far_subtracted
n,56,1072,min_so_far_subtracted
n,56,1102,min_so_far_subtracted
n,56,1102,min_so_far_subtracted
n,56,1102,min_so_far_subtracted
n,56,1212,min_so_far_subtracted
n,56,1132,min_so_far_subtracted
n,56,1122,min_so_far_subtracted
n,56,1113,min_so_far_subtracted
n,56,1352,min_so_far_subtracted
n,64,1343,min_so_far_subtracted
n,64,2125,min_so_far_subtracted
n,64,1132,min_so_far_subtracted
n,64,1312,min_so_far_subtracted
n,64,1112,min_so_far_subtracted
n,64,1693,min_so_far_subtracted
n,64,1232,min_so_far_subtracted
n,64,1102,min_so_far_subtracted
n,64,1112,min_so_far_subtracted
n,64,1112,min_so_far_subtracted
n,72,1262,min_so_far_subtracted
n,72,1232,min_so_far_subtracted
n,72,1162,min_so_far_subtracted
n,72,1142,min_so_far_subtracted
n,72,1092,min_so_far_subtracted
n,72,1112,min_so_far_subtracted
n,72,1223,min_so_far_subtracted
n,72,1443,min_so_far_subtracted
n,72,1113,min_so_far_subtracted
n,72,1133,min_so_far_subtracted
n,80,1653,min_so_far_subtracted
n,80,1163,min_so_far_subtracted
n,80,1112,min_so_far_subtracted
n,80,1283,min_so_far_subtracted
n,80,1403,min_so_far_subtracted
n,80,1142,min_so_far_subtracted
n,80,1443,min_so_far_subtracted
n,80,1212,min_so_far_subtracted
