param,value,time,tag
n,0,601,muleq
n,0,451,muleq
n,0,451,muleq
n,0,702,muleq
n,0,461,muleq
n,0,651,muleq
n,0,451,muleq
n,0,731,muleq
n,0,471,muleq
n,0,441,muleq
n,8,461,muleq
n,8,501,muleq
n,8,861,muleq
n,8,701,muleq
n,8,451,muleq
n,8,341,muleq
n,8,451,muleq
n,8,470,muleq
n,8,471,muleq
n,8,341,muleq
n,16,721,muleq
n,16,572,muleq
n,16,672,muleq
n,16,471,muleq
n,16,461,muleq
n,16,561,muleq
n,16,551,muleq
n,16,581,muleq
n,16,561,muleq
n,16,791,muleq
n,24,621,muleq
n,24,601,muleq
n,24,611,muleq
n,24,571,muleq
n,24,582,muleq
n,24,571,muleq
n,24,782,muleq
n,24,591,muleq
n,24,551,muleq
n,24,561,muleq
n,32,591,muleq
n,32,571,muleq
n,32,892,muleq
n,32,591,muleq
n,32,511,muleq
n,32,1563,muleq
n,32,602,muleq
n,32,571,muleq
n,32,812,muleq
n,32,581,muleq
n,40,611,muleq
n,40,451,muleq
n,40,591,muleq
n,40,601,muleq
n,40,300,muleq
n,40,311,muleq
n,40,300,muleq
n,40,551,muleq
n,40,601,muleq
n,40,601,muleq
n,48,601,muleq
n,48,591,muleq
n,48,881,muleq
n,48,461,muleq
n,48,712,muleq
n,48,581,muleq
n,48,581,muleq
n,48,591,muleq
n,48,722,muleq
n,48,571,muleq
n,56,591,muleq
n,56,501,muleq
n,56,601,muleq
n,56,571,muleq
n,56,601,muleq
n,56,591,muleq
n,56,702,muleq
n,56,821,muleq
n,56,691,muleq
n,56,601,muleq
n,64,801,muleq
n,64,601,muleq
n,64,611,muleq
n,64,691,muleq
n,64,722,muleq
n,64,581,muleq
n,64,310,muleq
n,64,341,muleq
n,64,682,muleq
n,64,802,muleq
n,72,441,muleq
n,72,1022,muleq
n,72,902,muleq
n,72,501,muleq
n,72,661,muleq
n,72,722,muleq
n,72,711,muleq
n,72,822,muleq
n,72,681,muleq
n,72,701,muleq
n,80,701,muleq
n,80,651,muleq
n,80,340,muleq
n,80,291,muleq
n,80,651,muleq
n,80,681,muleq
n,80,731,muleq
n,80,571,muleq
n,80,561,muleq
n,80,1012,muleq
n,88,621,muleq
n,88,671,muleq
n,88,1092,muleq
n,88,691,muleq
n,88,761,muleq
n,88,561,muleq
n,88,611,muleq
n,88,601,muleq
n,88,671,muleq
n,88,802,muleq
n,96,701,muleq
n,96,571,muleq
n,96,681,muleq
n,96,1593,muleq
n,96,721,muleq
n,96,682,muleq
n,96,1012,muleq
n,96,701,muleq
n,96,711,muleq
n,96,691,muleq
n,104,1322,muleq
n,104,581,muleq
n,104,912,muleq
n,104,421,muleq
n,104,702,muleq
n,104,912,muleq
n,104,621,muleq
n,104,1122,muleq
n,104,982,muleq
n,104,581,muleq
n,112,721,muleq
n,112,591,muleq
n,112,781,muleq
n,112,812,muleq
n,112,681,muleq
n,112,851,muleq
n,112,681,muleq
n,112,561,muleq
n,112,992,muleq
n,112,911,muleq
n,120,832,muleq
n,120,691,muleq
n,120,712,muleq
n,120,722,muleq
n,120,732,muleq
n,120,701,muleq
n,120,691,muleq
n,120,581,muleq
n,120,731,muleq
n,120,762,muleq
n,128,702,muleq
n,128,621,muleq
n,128,742,muleq
n,128,622,muleq
n,128,952,muleq
n,128,441,muleq
n,128,982,muleq
n,128,691,muleq
n,128,742,muleq
n,128,972,muleq
n,136,1002,muleq
n,136,621,muleq
n,136,752,muleq
n,136,1413,muleq
n,136,711,muleq
n,136,621,muleq
n,136,792,muleq
n,136,751,muleq
n,136,721,muleq
n,136,591,muleq
n,144,761,muleq
n,144,1182,muleq
n,144,691,muleq
n,144,731,muleq
n,144,681,muleq
n,144,511,muleq
n,144,831,muleq
n,144,592,muleq
n,144,691,muleq
n,144,611,muleq
n,152,751,muleq
n,152,762,muleq
n,152,722,muleq
n,152,631,muleq
n,152,711,muleq
n,152,841,muleq
n,152,762,muleq
n,152,711,muleq
n,152,741,muleq
n,152,681,muleq
n,160,721,muleq
n,160,701,muleq
n,160,440,muleq
n,160,742,muleq
n,160,722,muleq
n,160,1102,muleq
n,160,852,muleq
n,160,631,muleq
n,160,621,muleq
n,160,1032,muleq
n,168,752,muleq
n,168,932,muleq
n,168,731,muleq
n,168,742,muleq
n,168,731,muleq
n,168,702,muleq
n,168,721,muleq
n,168,721,muleq
n,168,1182,muleq
n,168,1032,muleq
n,176,1092,muleq
n,176,611,muleq
n,176,741,muleq
n,176,721,muleq
n,176,731,muleq
n,176,741,muleq
n,176,742,muleq
n,176,721,muleq
n,176,711,muleq
n,176,862,muleq
n,184,481,muleq
n,184,541,muleq
n,184,721,muleq
n,184,762,muleq
n,184,731,muleq
n,184,922,muleq
n,184,722,muleq
n,184,721,muleq
n,184,881,muleq
n,184,731,muleq
n,192,781,muleq
n,192,1162,muleq
n,192,451,muleq
n,192,671,muleq
n,192,441,muleq
n,192,631,muleq
n,192,721,muleq
n,192,731,muleq
n,192,591,muleq
n,192,761,muleq
n,200,771,muleq
n,200,1402,muleq
n,200,641,muleq
n,200,651,muleq
n,200,621,muleq
n,200,622,muleq
n,200,762,muleq
n,200,752,muleq
n,200,741,muleq
n,200,471,muleq
n,208,471,muleq
n,208,771,muleq
n,208,1193,muleq
n,208,731,muleq
n,208,441,muleq
n,208,742,muleq
n,208,822,muleq
n,208,741,muleq
n,208,771,muleq
n,208,1052,muleq
n,216,761,muleq
n,216,652,muleq
n,216,451,muleq
n,216,1222,muleq
n,216,651,muleq
n,216,751,muleq
n,216,842,muleq
n,216,802,muleq
n,216,611,muleq
n,216,762,muleq
n,224,1022,muleq
n,224,752,muleq
n,224,972,muleq
n,224,801,muleq
n,224,701,muleq
n,224,681,muleq
n,224,440,muleq
n,224,471,muleq
n,224,731,muleq
n,224,871,muleq
n,232,782,muleq
n,232,661,muleq
n,232,772,muleq
n,232,982,muleq
n,232,742,muleq
n,232,611,muleq
n,232,642,muleq
n,232,761,muleq
n,232,731,muleq
n,232,711,muleq
n,240,1022,muleq
n,240,771,muleq
n,240,481,muleq
n,240,481,muleq
n,240,521,muleq
n,240,952,muleq
n,240,761,muleq
n,240,842,muleq
n,240,1072,muleq
n,240,862,muleq
n,248,631,muleq
n,248,792,muleq
n,248,811,muleq
n,248,1072,muleq
n,248,771,muleq
n,248,872,muleq
n,248,751,muleq
n,248,722,muleq
n,248,742,muleq
n,248,762,muleq
n,256,771,muleq
n,256,1002,muleq
n,256,1272,muleq
n,256,962,muleq
n,256,752,muleq
n,256,711,muleq
n,256,731,muleq
n,256,731,muleq
n,256,1133,muleq
n,256,841,muleq
n,264,781,muleq
n,264,731,muleq
n,264,772,muleq
n,264,801,muleq
n,264,1052,muleq
n,264,781,muleq
n,264,742,muleq
n,264,741,muleq
n,264,1102,muleq
n,264,1323,muleq
n,272,861,muleq
n,272,792,muleq
n,272,771,muleq
n,272,822,muleq
n,272,481,muleq
n,272,832,muleq
n,272,782,muleq
n,272,841,muleq
n,272,751,muleq
n,272,792,muleq
