param,value,time,tag
b,0,1713,muleq_sca
b,0,751,muleq_sca
b,0,971,muleq_sca
b,0,1283,muleq_sca
b,0,1142,muleq_sca
b,0,1001,muleq_sca
b,0,1252,muleq_sca
b,0,982,muleq_sca
b,0,972,muleq_sca
b,0,862,muleq_sca
b,8,881,muleq_sca
b,8,771,muleq_sca
b,8,1002,muleq_sca
b,8,942,muleq_sca
b,8,872,muleq_sca
b,8,902,muleq_sca
b,8,1162,muleq_sca
b,8,1263,muleq_sca
b,8,1232,muleq_sca
b,8,1503,muleq_sca
b,16,1012,muleq_sca
b,16,1012,muleq_sca
b,16,881,muleq_sca
b,16,851,muleq_sca
b,16,1133,muleq_sca
b,16,1032,muleq_sca
b,16,872,muleq_sca
b,16,1523,muleq_sca
b,16,2685,muleq_sca
b,16,871,muleq_sca
b,24,1142,muleq_sca
b,24,1142,muleq_sca
b,24,1403,muleq_sca
b,24,1734,muleq_sca
b,24,872,muleq_sca
b,24,1362,muleq_sca
b,24,1703,muleq_sca
b,24,962,muleq_sca
b,24,2635,muleq_sca
b,24,801,muleq_sca
b,32,1563,muleq_sca
b,32,1213,muleq_sca
b,32,2083,muleq_sca
b,32,902,muleq_sca
b,32,1183,muleq_sca
b,32,992,muleq_sca
b,32,992,muleq_sca
b,32,1022,muleq_sca
b,32,761,muleq_sca
b,32,982,muleq_sca
b,40,822,muleq_sca
b,40,1002,muleq_sca
b,40,1112,muleq_sca
b,40,1273,muleq_sca
b,40,881,muleq_sca
b,40,1012,muleq_sca
b,40,841,muleq_sca
b,40,881,muleq_sca
b,40,831,muleq_sca
b,40,972,muleq_sca
b,48,881,muleq_sca
b,48,891,muleq_sca
b,48,901,muleq_sca
b,48,1062,muleq_sca
b,48,972,muleq_sca
b,48,822,muleq_sca
b,48,802,muleq_sca
b,48,872,muleq_sca
b,48,1032,muleq_sca
b,48,982,muleq_sca
b,56,1082,muleq_sca
b,56,1042,muleq_sca
b,56,902,muleq_sca
b,56,871,muleq_sca
b,56,852,muleq_sca
b,56,1032,muleq_sca
b,56,1543,muleq_sca
b,56,1012,muleq_sca
b,56,801,muleq_sca
b,56,962,muleq_sca
b,64,1252,muleq_sca
b,64,1022,muleq_sca
b,64,952,muleq_sca
b,64,1223,muleq_sca
b,64,2024,muleq_sca
b,64,972,muleq_sca
b,64,1002,muleq_sca
b,64,1723,muleq_sca
b,64,922,muleq_sca
b,64,892,muleq_sca
b,72,972,muleq_sca
b,72,882,muleq_sca
b,72,972,muleq_sca
b,72,1242,muleq_sca
b,72,1002,muleq_sca
b,72,1352,muleq_sca
b,72,1002,muleq_sca
b,72,992,muleq_sca
b,72,882,muleq_sca
b,72,1563,muleq_sca
b,80,892,muleq_sca
b,80,1292,muleq_sca
b,80,1563,muleq_sca
b,80,1022,muleq_sca
b,80,992,muleq_sca
b,80,882,muleq_sca
b,80,1413,muleq_sca
b,80,1042,muleq_sca
b,80,982,muleq_sca
b,80,912,muleq_sca
b,88,962,muleq_sca
b,88,972,muleq_sca
b,88,952,muleq_sca
b,88,831,muleq_sca
b,88,1552,muleq_sca
b,88,882,muleq_sca
b,88,871,muleq_sca
b,88,972,muleq_sca
b,88,1032,muleq_sca
b,88,992,muleq_sca
b,96,821,muleq_sca
b,96,962,muleq_sca
b,96,1022,muleq_sca
b,96,992,muleq_sca
b,96,1593,muleq_sca
b,96,951,muleq_sca
b,96,962,muleq_sca
b,96,1212,muleq_sca
b,96,2094,muleq_sca
b,96,1583,muleq_sca
b,104,781,muleq_sca
b,104,962,muleq_sca
b,104,1142,muleq_sca
b,104,992,muleq_sca
b,104,1433,muleq_sca
b,104,1032,muleq_sca
b,104,791,muleq_sca
b,104,871,muleq_sca
b,104,932,muleq_sca
b,104,1062,muleq_sca
b,112,1232,muleq_sca
b,112,1133,muleq_sca
b,112,1122,muleq_sca
b,112,1232,muleq_sca
b,112,981,muleq_sca
b,112,1614,muleq_sca
b,112,992,muleq_sca
b,112,982,muleq_sca
b,112,972,muleq_sca
b,112,832,muleq_sca
b,120,1262,muleq_sca
b,120,902,muleq_sca
b,120,1282,muleq_sca
b,120,1303,muleq_sca
b,120,891,muleq_sca
b,120,2384,muleq_sca
b,120,1142,muleq_sca
b,120,902,muleq_sca
b,120,871,muleq_sca
b,120,1192,muleq_sca
b,128,1242,muleq_sca
b,128,882,muleq_sca
b,128,902,muleq_sca
b,128,1002,muleq_sca
b,128,912,muleq_sca
b,128,2054,muleq_sca
b,128,2044,muleq_sca
b,128,1262,muleq_sca
b,128,982,muleq_sca
b,128,942,muleq_sca
b,136,791,muleq_sca
b,136,982,muleq_sca
b,136,831,muleq_sca
b,136,911,muleq_sca
b,136,862,muleq_sca
b,136,922,muleq_sca
b,136,982,muleq_sca
b,136,792,muleq_sca
b,136,1012,muleq_sca
b,136,1252,muleq_sca
b,144,2024,muleq_sca
b,144,1303,muleq_sca
b,144,982,muleq_sca
b,144,1202,muleq_sca
b,144,992,muleq_sca
b,144,1894,muleq_sca
b,144,1032,muleq_sca
b,144,792,muleq_sca
b,144,1333,muleq_sca
b,144,1163,muleq_sca
b,152,1433,muleq_sca
b,152,1693,muleq_sca
b,152,752,muleq_sca
b,152,871,muleq_sca
b,152,2144,muleq_sca
b,152,902,muleq_sca
b,152,1122,muleq_sca
b,152,902,muleq_sca
b,152,992,muleq_sca
b,152,1022,muleq_sca
b,160,1002,muleq_sca
b,160,902,muleq_sca
b,160,691,muleq_sca
b,160,852,muleq_sca
b,160,1222,muleq_sca
b,160,1292,muleq_sca
b,160,882,muleq_sca
b,160,882,muleq_sca
b,160,851,muleq_sca
b,160,931,muleq_sca
b,168,982,muleq_sca
b,168,1032,muleq_sca
b,168,931,muleq_sca
b,168,992,muleq_sca
b,168,952,muleq_sca
b,168,1002,muleq_sca
b,168,972,muleq_sca
b,168,1543,muleq_sca
b,168,1323,muleq_sca
b,168,881,muleq_sca
b,176,1272,muleq_sca
b,176,1092,muleq_sca
b,176,992,muleq_sca
b,176,912,muleq_sca
b,176,1183,muleq_sca
b,176,781,muleq_sca
b,176,882,muleq_sca
b,176,1293,muleq_sca
b,176,902,muleq_sca
b,176,982,muleq_sca
b,184,1102,muleq_sca
b,184,842,muleq_sca
b,184,892,muleq_sca
b,184,772,muleq_sca
b,184,1463,muleq_sca
b,184,1853,muleq_sca
b,184,1242,muleq_sca
b,184,1002,muleq_sca
b,184,932,muleq_sca
b,184,982,muleq_sca
b,192,922,muleq_sca
b,192,1153,muleq_sca
b,192,1152,muleq_sca
b,192,962,muleq_sca
b,192,981,muleq_sca
b,192,972,muleq_sca
b,192,2335,muleq_sca
b,192,1072,muleq_sca
b,192,1012,muleq_sca
b,192,922,muleq_sca
b,200,1001,muleq_sca
b,200,1052,muleq_sca
b,200,1072,muleq_sca
b,200,901,muleq_sca
b,200,932,muleq_sca
b,200,1553,muleq_sca
b,200,872,muleq_sca
b,200,2655,muleq_sca
b,200,1123,muleq_sca
b,200,982,muleq_sca
b,208,952,muleq_sca
b,208,992,muleq_sca
b,208,992,muleq_sca
b,208,1643,muleq_sca
b,208,2114,muleq_sca
b,208,872,muleq_sca
b,208,881,muleq_sca
b,208,1583,muleq_sca
b,208,741,muleq_sca
b,208,892,muleq_sca
b,216,971,muleq_sca
b,216,1513,muleq_sca
b,216,1122,muleq_sca
b,216,1472,muleq_sca
b,216,1272,muleq_sca
b,216,1122,muleq_sca
b,216,861,muleq_sca
b,216,1012,muleq_sca
b,216,1002,muleq_sca
b,216,952,muleq_sca
b,224,892,muleq_sca
b,224,1152,muleq_sca
b,224,1283,muleq_sca
b,224,1543,muleq_sca
b,224,962,muleq_sca
b,224,1142,muleq_sca
b,224,1322,muleq_sca
b,224,1012,muleq_sca
b,224,1363,muleq_sca
b,224,1052,muleq_sca
b,232,2034,muleq_sca
b,232,1232,muleq_sca
b,232,2464,muleq_sca
b,232,852,muleq_sca
b,232,962,muleq_sca
b,232,1002,muleq_sca
b,232,1603,muleq_sca
b,232,791,muleq_sca
b,232,1603,muleq_sca
b,232,841,muleq_sca
b,240,1032,muleq_sca
b,240,972,muleq_sca
b,240,882,muleq_sca
b,240,952,muleq_sca
b,240,1022,muleq_sca
b,240,1012,muleq_sca
b,240,1292,muleq_sca
b,240,982,muleq_sca
b,240,981,muleq_sca
b,240,1001,muleq_sca
b,248,1193,muleq_sca
b,248,912,muleq_sca
b,248,742,muleq_sca
b,248,972,muleq_sca
b,248,1282,muleq_sca
b,248,992,muleq_sca
b,248,982,muleq_sca
b,248,812,muleq_sca
b,248,761,muleq_sca
b,248,1001,muleq_sca
b,256,1042,muleq_sca
b,256,962,muleq_sca
b,256,942,muleq_sca
b,256,1222,muleq_sca
b,256,902,muleq_sca
b,256,1603,muleq_sca
b,256,1933,muleq_sca
b,256,1012,muleq_sca
b,256,1042,muleq_sca
b,256,1192,muleq_sca
b,264,1433,muleq_sca
b,264,1253,muleq_sca
b,264,992,muleq_sca
b,264,1002,muleq_sca
b,264,972,muleq_sca
b,264,951,muleq_sca
b,264,882,muleq_sca
b,264,972,muleq_sca
b,264,1462,muleq_sca
b,264,982,muleq_sca
b,272,1072,muleq_sca
b,272,871,muleq_sca
b,272,852,muleq_sca
b,272,1002,muleq_sca
b,272,1062,muleq_sca
b,272,972,muleq_sca
b,272,881,muleq_sca
b,272,862,muleq_sca
b,272,912,muleq_sca
b,272,1122,muleq_sca
b,280,1022,muleq_sca
b,280,1152,muleq_sca
b,280,1413,muleq_sca
b,280,912,muleq_sca
b,280,962,muleq_sca
b,280,952,muleq_sca
b,280,1182,muleq_sca
b,280,901,muleq_sca
b,280,1332,muleq_sca
b,280,1152,muleq_sca
b,288,1252,muleq_sca
b,288,2064,muleq_sca
b,288,932,muleq_sca
b,288,1133,muleq_sca
b,288,772,muleq_sca
b,288,992,muleq_sca
b,288,972,muleq_sca
b,288,1313,muleq_sca
b,288,871,muleq_sca
b,288,812,muleq_sca
b,296,992,muleq_sca
b,296,1001,muleq_sca
b,296,1012,muleq_sca
b,296,882,muleq_sca
b,296,891,muleq_sca
b,296,1032,muleq_sca
b,296,1172,muleq_sca
