param,value,time,tag
param_id_0,1,263331,mult
param_id_0,1,297916,mult
param_id_0,1,262459,mult
param_id_0,1,258612,mult
param_id_0,1,263991,mult
param_id_0,1,259363,mult
param_id_0,1,261797,mult
param_id_0,1,262639,mult
param_id_0,1,263631,mult
param_id_0,1,267769,mult
param_id_0,9,2012445,mult
param_id_0,9,2012114,mult
param_id_0,9,2008317,mult
param_id_0,9,2018286,mult
param_id_0,9,2011152,mult
param_id_0,9,2037913,mult
param_id_0,9,2004419,mult
param_id_0,9,2010160,mult
param_id_0,9,2015029,mult
param_id_0,9,2008156,mult
param_id_0,17,3807686,mult
param_id_0,17,3766788,mult
param_id_0,17,3771808,mult
param_id_0,17,3758854,mult
param_id_0,17,3759104,mult
param_id_0,17,3757130,mult
param_id_0,17,3757090,mult
param_id_0,17,3771457,mult
param_id_0,17,3761599,mult
param_id_0,17,3769995,mult
param_id_0,25,5536122,mult
param_id_0,25,5503809,mult
param_id_0,25,5501515,mult
param_id_0,25,5503329,mult
param_id_0,25,5691897,mult
param_id_0,25,5637514,mult
param_id_0,25,5702387,mult
param_id_0,25,5684954,mult
param_id_0,25,5650217,mult
param_id_0,25,5661239,mult
param_id_0,33,7360328,mult
param_id_0,33,7447653,mult
param_id_0,33,7518789,mult
param_id_0,33,7474625,mult
param_id_0,33,7471519,mult
param_id_0,33,7436883,mult
param_id_0,33,7254626,mult
param_id_0,33,7259366,mult
param_id_0,33,7258865,mult
param_id_0,33,7257051,mult
param_id_0,41,8993912,mult
param_id_0,41,9014401,mult
param_id_0,41,9017477,mult
param_id_0,41,9295014,mult
param_id_0,41,9214100,mult
param_id_0,41,9296907,mult
param_id_0,41,9296728,mult
param_id_0,41,9276860,mult
param_id_0,41,9273944,mult
param_id_0,41,9317036,mult
param_id_0,49,11074216,mult
param_id_0,49,10973305,mult
param_id_0,49,10791097,mult
param_id_0,49,10734460,mult
param_id_0,49,10928508,mult
param_id_0,49,11145792,mult
param_id_0,49,11087721,mult
param_id_0,49,10972903,mult
param_id_0,49,11087641,mult
param_id_0,49,11142997,mult
param_id_0,57,12887321,mult
param_id_0,57,12848326,mult
param_id_0,57,12771632,mult
param_id_0,57,12513070,mult
