param,value,time,tag
param_id_0,0,581,multiply_min_diff
param_id_0,0,101,multiply_min_diff
param_id_0,0,130,multiply_min_diff
param_id_0,0,120,multiply_min_diff
param_id_0,0,80,multiply_min_diff
param_id_0,32,380,multiply_min_diff
param_id_0,32,281,multiply_min_diff
param_id_0,32,260,multiply_min_diff
param_id_0,32,251,multiply_min_diff
param_id_0,32,250,multiply_min_diff
param_id_0,64,431,multiply_min_diff
param_id_0,64,431,multiply_min_diff
param_id_0,64,411,multiply_min_diff
param_id_0,64,401,multiply_min_diff
param_id_0,64,401,multiply_min_diff
param_id_0,96,521,multiply_min_diff
param_id_0,96,642,multiply_min_diff
param_id_0,96,521,multiply_min_diff
param_id_0,96,470,multiply_min_diff
param_id_0,96,531,multiply_min_diff
param_id_0,128,641,multiply_min_diff
param_id_0,128,642,multiply_min_diff
param_id_0,128,642,multiply_min_diff
param_id_0,128,641,multiply_min_diff
param_id_0,128,651,multiply_min_diff
param_id_0,160,772,multiply_min_diff
param_id_0,160,771,multiply_min_diff
param_id_0,160,722,multiply_min_diff
param_id_0,160,761,multiply_min_diff
param_id_0,160,762,multiply_min_diff
param_id_0,192,881,multiply_min_diff
param_id_0,192,892,multiply_min_diff
param_id_0,192,892,multiply_min_diff
param_id_0,192,882,multiply_min_diff
param_id_0,192,882,multiply_min_diff
param_id_0,224,1002,multiply_min_diff
param_id_0,224,1002,multiply_min_diff
param_id_0,224,1012,multiply_min_diff
param_id_0,224,1012,multiply_min_diff
param_id_0,224,1012,multiply_min_diff
param_id_0,256,1132,multiply_min_diff
param_id_0,256,1132,multiply_min_diff
param_id_0,256,1132,multiply_min_diff
param_id_0,256,1122,multiply_min_diff
param_id_0,256,1132,multiply_min_diff
param_id_0,288,1242,multiply_min_diff
param_id_0,288,1242,multiply_min_diff
param_id_0,288,1252,multiply_min_diff
param_id_0,288,1253,multiply_min_diff
param_id_0,288,1252,multiply_min_diff
param_id_0,320,1372,multiply_min_diff
param_id_0,320,1383,multiply_min_diff
param_id_0,320,1372,multiply_min_diff
param_id_0,320,1373,multiply_min_diff
param_id_0,320,1372,multiply_min_diff
param_id_0,352,1453,multiply_min_diff
param_id_0,352,1443,multiply_min_diff
param_id_0,352,1492,multiply_min_diff
param_id_0,352,1493,multiply_min_diff
param_id_0,352,1493,multiply_min_diff
param_id_0,384,1613,multiply_min_diff
param_id_0,384,1613,multiply_min_diff
param_id_0,384,1623,multiply_min_diff
param_id_0,384,1613,multiply_min_diff
param_id_0,384,1613,multiply_min_diff
param_id_0,416,1723,multiply_min_diff
param_id_0,416,1683,multiply_min_diff
param_id_0,416,1683,multiply_min_diff
param_id_0,416,1743,multiply_min_diff
param_id_0,416,1734,multiply_min_diff
param_id_0,448,1854,multiply_min_diff
param_id_0,448,1844,multiply_min_diff
param_id_0,448,1854,multiply_min_diff
param_id_0,448,1854,multiply_min_diff
param_id_0,448,1854,multiply_min_diff
param_id_0,480,1983,multiply_min_diff
param_id_0,480,1983,multiply_min_diff
param_id_0,480,1984,multiply_min_diff
param_id_0,480,1973,multiply_min_diff
param_id_0,480,1973,multiply_min_diff
