param,value,time,tag
param_id_0,1,1102,n_m_prod
param_id_0,1,320,n_m_prod
param_id_0,1,321,n_m_prod
param_id_0,1,321,n_m_prod
param_id_0,1,320,n_m_prod
param_id_0,1,321,n_m_prod
param_id_0,1,320,n_m_prod
param_id_0,1,321,n_m_prod
param_id_0,1,320,n_m_prod
param_id_0,1,321,n_m_prod
param_id_0,9,311,n_m_prod
param_id_0,9,311,n_m_prod
param_id_0,9,310,n_m_prod
param_id_0,9,311,n_m_prod
param_id_0,9,310,n_m_prod
param_id_0,9,311,n_m_prod
param_id_0,9,311,n_m_prod
param_id_0,9,311,n_m_prod
param_id_0,9,311,n_m_prod
param_id_0,9,310,n_m_prod
param_id_0,17,300,n_m_prod
param_id_0,17,301,n_m_prod
param_id_0,17,300,n_m_prod
param_id_0,17,301,n_m_prod
param_id_0,17,300,n_m_prod
param_id_0,17,301,n_m_prod
param_id_0,17,300,n_m_prod
param_id_0,17,301,n_m_prod
param_id_0,17,300,n_m_prod
param_id_0,17,301,n_m_prod
param_id_0,25,291,n_m_prod
param_id_0,25,290,n_m_prod
param_id_0,25,291,n_m_prod
param_id_0,25,291,n_m_prod
param_id_0,25,290,n_m_prod
param_id_0,25,301,n_m_prod
param_id_0,25,290,n_m_prod
param_id_0,25,301,n_m_prod
param_id_0,25,290,n_m_prod
param_id_0,25,290,n_m_prod
param_id_0,33,281,n_m_prod
param_id_0,33,291,n_m_prod
param_id_0,33,280,n_m_prod
param_id_0,33,281,n_m_prod
param_id_0,33,280,n_m_prod
param_id_0,33,281,n_m_prod
param_id_0,33,280,n_m_prod
param_id_0,33,280,n_m_prod
param_id_0,33,291,n_m_prod
param_id_0,33,280,n_m_prod
param_id_0,41,270,n_m_prod
param_id_0,41,271,n_m_prod
param_id_0,41,270,n_m_prod
param_id_0,41,270,n_m_prod
param_id_0,41,271,n_m_prod
param_id_0,41,280,n_m_prod
param_id_0,41,271,n_m_prod
param_id_0,41,280,n_m_prod
param_id_0,41,281,n_m_prod
param_id_0,41,281,n_m_prod
param_id_0,49,261,n_m_prod
param_id_0,49,260,n_m_prod
param_id_0,49,271,n_m_prod
param_id_0,49,260,n_m_prod
param_id_0,49,270,n_m_prod
param_id_0,49,261,n_m_prod
param_id_0,49,260,n_m_prod
param_id_0,49,261,n_m_prod
param_id_0,49,260,n_m_prod
param_id_0,49,270,n_m_prod
param_id_0,57,250,n_m_prod
param_id_0,57,251,n_m_prod
param_id_0,57,250,n_m_prod
param_id_0,57,260,n_m_prod
param_id_0,57,251,n_m_prod
param_id_0,57,250,n_m_prod
param_id_0,57,261,n_m_prod
param_id_0,57,261,n_m_prod
param_id_0,57,250,n_m_prod
param_id_0,57,251,n_m_prod
param_id_0,65,241,n_m_prod
param_id_0,65,251,n_m_prod
param_id_0,65,240,n_m_prod
param_id_0,65,251,n_m_prod
param_id_0,65,250,n_m_prod
param_id_0,65,250,n_m_prod
param_id_0,65,251,n_m_prod
param_id_0,65,240,n_m_prod
param_id_0,65,251,n_m_prod
param_id_0,65,251,n_m_prod
param_id_0,73,241,n_m_prod
param_id_0,73,240,n_m_prod
param_id_0,73,240,n_m_prod
param_id_0,73,241,n_m_prod
param_id_0,73,240,n_m_prod
param_id_0,73,240,n_m_prod
param_id_0,73,241,n_m_prod
param_id_0,73,240,n_m_prod
param_id_0,73,241,n_m_prod
param_id_0,73,241,n_m_prod
param_id_0,81,231,n_m_prod
param_id_0,81,230,n_m_prod
param_id_0,81,230,n_m_prod
param_id_0,81,231,n_m_prod
param_id_0,81,240,n_m_prod
param_id_0,81,230,n_m_prod
param_id_0,81,241,n_m_prod
param_id_0,81,231,n_m_prod
param_id_0,81,230,n_m_prod
param_id_0,81,231,n_m_prod
param_id_0,89,220,n_m_prod
param_id_0,89,231,n_m_prod
param_id_0,89,220,n_m_prod
param_id_0,89,220,n_m_prod
param_id_0,89,221,n_m_prod
param_id_0,89,220,n_m_prod
param_id_0,89,220,n_m_prod
param_id_0,89,221,n_m_prod
param_id_0,89,220,n_m_prod
param_id_0,89,220,n_m_prod
param_id_0,97,210,n_m_prod
param_id_0,97,210,n_m_prod
param_id_0,97,221,n_m_prod
param_id_0,97,211,n_m_prod
param_id_0,97,220,n_m_prod
param_id_0,97,220,n_m_prod
param_id_0,97,221,n_m_prod
param_id_0,97,210,n_m_prod
param_id_0,97,210,n_m_prod
param_id_0,97,211,n_m_prod
param_id_0,105,211,n_m_prod
param_id_0,105,210,n_m_prod
param_id_0,105,200,n_m_prod
param_id_0,105,211,n_m_prod
param_id_0,105,200,n_m_prod
param_id_0,105,200,n_m_prod
param_id_0,105,211,n_m_prod
param_id_0,105,211,n_m_prod
param_id_0,105,210,n_m_prod
param_id_0,105,210,n_m_prod
param_id_0,113,200,n_m_prod
param_id_0,113,200,n_m_prod
param_id_0,113,201,n_m_prod
param_id_0,113,200,n_m_prod
param_id_0,113,190,n_m_prod
param_id_0,113,191,n_m_prod
param_id_0,113,201,n_m_prod
param_id_0,113,190,n_m_prod
param_id_0,113,190,n_m_prod
param_id_0,113,201,n_m_prod
param_id_0,121,190,n_m_prod
param_id_0,121,181,n_m_prod
param_id_0,121,180,n_m_prod
param_id_0,121,190,n_m_prod
param_id_0,121,190,n_m_prod
param_id_0,121,181,n_m_prod
param_id_0,121,190,n_m_prod
param_id_0,121,190,n_m_prod
param_id_0,121,190,n_m_prod
param_id_0,121,191,n_m_prod
param_id_0,129,180,n_m_prod
param_id_0,129,181,n_m_prod
param_id_0,129,181,n_m_prod
param_id_0,129,180,n_m_prod
param_id_0,129,180,n_m_prod
param_id_0,129,180,n_m_prod
param_id_0,129,180,n_m_prod
param_id_0,129,181,n_m_prod
param_id_0,129,181,n_m_prod
param_id_0,129,180,n_m_prod
param_id_0,137,171,n_m_prod
param_id_0,137,170,n_m_prod
param_id_0,137,170,n_m_prod
param_id_0,137,170,n_m_prod
param_id_0,137,170,n_m_prod
param_id_0,137,171,n_m_prod
param_id_0,137,170,n_m_prod
param_id_0,137,170,n_m_prod
param_id_0,137,170,n_m_prod
param_id_0,137,170,n_m_prod
param_id_0,145,160,n_m_prod
param_id_0,145,170,n_m_prod
param_id_0,145,160,n_m_prod
param_id_0,145,160,n_m_prod
param_id_0,145,161,n_m_prod
param_id_0,145,170,n_m_prod
param_id_0,145,160,n_m_prod
param_id_0,145,160,n_m_prod
param_id_0,145,170,n_m_prod
param_id_0,145,161,n_m_prod
param_id_0,153,160,n_m_prod
param_id_0,153,150,n_m_prod
param_id_0,153,150,n_m_prod
param_id_0,153,151,n_m_prod
param_id_0,153,150,n_m_prod
param_id_0,153,150,n_m_prod
param_id_0,153,160,n_m_prod
param_id_0,153,160,n_m_prod
param_id_0,153,150,n_m_prod
param_id_0,153,161,n_m_prod
param_id_0,161,150,n_m_prod
param_id_0,161,140,n_m_prod
param_id_0,161,141,n_m_prod
param_id_0,161,151,n_m_prod
param_id_0,161,141,n_m_prod
param_id_0,161,140,n_m_prod
param_id_0,161,150,n_m_prod
param_id_0,161,150,n_m_prod
param_id_0,161,140,n_m_prod
param_id_0,161,140,n_m_prod
param_id_0,169,140,n_m_prod
param_id_0,169,140,n_m_prod
param_id_0,169,130,n_m_prod
param_id_0,169,120,n_m_prod
param_id_0,169,120,n_m_prod
param_id_0,169,120,n_m_prod
param_id_0,169,121,n_m_prod
param_id_0,169,121,n_m_prod
param_id_0,169,121,n_m_prod
param_id_0,169,120,n_m_prod
param_id_0,177,120,n_m_prod
param_id_0,177,130,n_m_prod
param_id_0,177,110,n_m_prod
param_id_0,177,110,n_m_prod
param_id_0,177,121,n_m_prod
param_id_0,177,111,n_m_prod
param_id_0,177,121,n_m_prod
param_id_0,177,121,n_m_prod
param_id_0,177,110,n_m_prod
param_id_0,177,120,n_m_prod
param_id_0,185,120,n_m_prod
