param,value,time,tag
n,0,952,n_m_sum
n,0,290,n_m_sum
n,0,231,n_m_sum
n,0,241,n_m_sum
n,0,241,n_m_sum
n,0,241,n_m_sum
n,0,241,n_m_sum
n,0,241,n_m_sum
n,0,231,n_m_sum
n,0,241,n_m_sum
n,8,241,n_m_sum
n,8,241,n_m_sum
n,8,231,n_m_sum
n,8,241,n_m_sum
n,8,240,n_m_sum
n,8,240,n_m_sum
n,8,230,n_m_sum
n,8,240,n_m_sum
n,8,240,n_m_sum
n,8,230,n_m_sum
n,16,230,n_m_sum
n,16,241,n_m_sum
n,16,231,n_m_sum
n,16,231,n_m_sum
n,16,241,n_m_sum
n,16,231,n_m_sum
n,16,231,n_m_sum
n,16,241,n_m_sum
n,16,230,n_m_sum
n,16,230,n_m_sum
n,24,231,n_m_sum
n,24,231,n_m_sum
n,24,231,n_m_sum
n,24,231,n_m_sum
n,24,230,n_m_sum
n,24,230,n_m_sum
n,24,230,n_m_sum
n,24,230,n_m_sum
n,24,230,n_m_sum
n,24,230,n_m_sum
n,32,231,n_m_sum
n,32,231,n_m_sum
n,32,231,n_m_sum
n,32,230,n_m_sum
n,32,230,n_m_sum
n,32,230,n_m_sum
n,32,230,n_m_sum
n,32,220,n_m_sum
n,32,230,n_m_sum
n,32,230,n_m_sum
n,40,220,n_m_sum
n,40,220,n_m_sum
n,40,220,n_m_sum
n,40,220,n_m_sum
n,40,230,n_m_sum
n,40,230,n_m_sum
n,40,220,n_m_sum
n,40,220,n_m_sum
n,40,231,n_m_sum
n,40,221,n_m_sum
n,48,220,n_m_sum
n,48,220,n_m_sum
n,48,221,n_m_sum
n,48,221,n_m_sum
n,48,221,n_m_sum
n,48,221,n_m_sum
n,48,221,n_m_sum
n,48,221,n_m_sum
n,48,221,n_m_sum
n,48,220,n_m_sum
n,56,221,n_m_sum
n,56,221,n_m_sum
n,56,221,n_m_sum
n,56,221,n_m_sum
n,56,220,n_m_sum
n,56,220,n_m_sum
n,56,220,n_m_sum
n,56,220,n_m_sum
n,56,220,n_m_sum
n,56,220,n_m_sum
n,64,220,n_m_sum
n,64,220,n_m_sum
n,64,210,n_m_sum
n,64,210,n_m_sum
n,64,210,n_m_sum
n,64,220,n_m_sum
n,64,220,n_m_sum
n,64,210,n_m_sum
n,64,221,n_m_sum
n,64,211,n_m_sum
n,72,210,n_m_sum
n,72,210,n_m_sum
n,72,221,n_m_sum
n,72,211,n_m_sum
n,72,211,n_m_sum
n,72,211,n_m_sum
n,72,211,n_m_sum
n,72,211,n_m_sum
n,72,210,n_m_sum
n,72,210,n_m_sum
n,80,211,n_m_sum
n,80,211,n_m_sum
n,80,210,n_m_sum
n,80,210,n_m_sum
n,80,210,n_m_sum
n,80,210,n_m_sum
n,80,200,n_m_sum
n,80,201,n_m_sum
n,80,201,n_m_sum
n,80,211,n_m_sum
n,88,210,n_m_sum
n,88,200,n_m_sum
n,88,211,n_m_sum
n,88,201,n_m_sum
n,88,211,n_m_sum
n,88,211,n_m_sum
n,88,200,n_m_sum
n,88,210,n_m_sum
n,88,210,n_m_sum
