param,value,time,tag
n,0,611,negate
n,0,440,negate
n,0,461,negate
n,0,461,negate
n,0,461,negate
n,0,451,negate
n,0,571,negate
n,0,561,negate
n,0,581,negate
n,0,451,negate
n,8,491,negate
n,8,451,negate
n,8,461,negate
n,8,461,negate
n,8,561,negate
n,8,571,negate
n,8,451,negate
n,8,451,negate
n,8,450,negate
n,8,451,negate
n,16,491,negate
n,16,561,negate
n,16,561,negate
n,16,451,negate
n,16,451,negate
n,16,481,negate
n,16,470,negate
n,16,571,negate
n,16,581,negate
n,16,451,negate
n,24,601,negate
n,24,491,negate
n,24,691,negate
n,24,712,negate
n,24,601,negate
n,24,701,negate
n,24,571,negate
n,24,471,negate
n,24,692,negate
n,24,561,negate
n,32,702,negate
n,32,601,negate
n,32,571,negate
n,32,581,negate
n,32,711,negate
n,32,461,negate
n,32,471,negate
n,32,571,negate
n,32,561,negate
n,32,701,negate
n,40,571,negate
n,40,591,negate
n,40,591,negate
n,40,581,negate
n,40,601,negate
n,40,701,negate
n,40,702,negate
n,40,561,negate
n,40,601,negate
n,40,591,negate
n,48,591,negate
n,48,290,negate
n,48,581,negate
n,48,591,negate
n,48,290,negate
n,48,882,negate
n,48,721,negate
n,48,281,negate
n,48,290,negate
n,48,291,negate
n,56,301,negate
n,56,611,negate
n,56,271,negate
n,56,651,negate
n,56,280,negate
n,56,291,negate
n,56,300,negate
n,56,311,negate
n,56,371,negate
n,56,361,negate
n,64,511,negate
n,64,290,negate
n,64,300,negate
n,64,311,negate
n,64,290,negate
n,64,290,negate
n,64,300,negate
n,64,310,negate
n,64,300,negate
n,64,561,negate
n,72,461,negate
n,72,431,negate
n,72,331,negate
n,72,280,negate
n,72,311,negate
n,72,300,negate
n,72,461,negate
n,72,290,negate
n,72,321,negate
n,72,310,negate
n,80,290,negate
n,80,311,negate
n,80,591,negate
n,80,450,negate
n,80,521,negate
n,80,300,negate
n,80,280,negate
n,80,531,negate
n,80,321,negate
n,80,631,negate
n,88,541,negate
n,88,320,negate
n,88,340,negate
n,88,381,negate
n,88,301,negate
n,88,370,negate
n,88,321,negate
n,88,441,negate
n,88,431,negate
n,88,320,negate
n,96,702,negate
n,96,301,negate
n,96,301,negate
n,96,310,negate
n,96,311,negate
n,96,310,negate
n,96,290,negate
n,96,300,negate
n,96,401,negate
n,96,450,negate
n,104,290,negate
n,104,592,negate
n,104,311,negate
n,104,321,negate
n,104,321,negate
n,104,320,negate
n,104,311,negate
n,104,401,negate
n,104,401,negate
n,104,311,negate
n,112,171,negate
n,112,652,negate
n,112,431,negate
n,112,310,negate
n,112,330,negate
n,112,311,negate
n,112,311,negate
n,112,431,negate
n,112,341,negate
n,112,400,negate
n,120,270,negate
n,120,300,negate
n,120,390,negate
n,120,611,negate
n,120,410,negate
n,120,300,negate
n,120,722,negate
n,120,441,negate
n,120,561,negate
n,120,311,negate
n,128,491,negate
n,128,501,negate
n,128,411,negate
n,128,381,negate
n,128,331,negate
n,128,310,negate
n,128,321,negate
n,128,582,negate
n,128,331,negate
n,128,311,negate
n,136,581,negate
n,136,310,negate
n,136,441,negate
n,136,391,negate
n,136,331,negate
n,136,400,negate
n,136,290,negate
n,136,802,negate
n,136,391,negate
n,136,301,negate
n,144,321,negate
n,144,291,negate
n,144,291,negate
n,144,321,negate
n,144,311,negate
n,144,321,negate
n,144,300,negate
n,144,310,negate
n,144,561,negate
n,144,331,negate
n,152,321,negate
n,152,471,negate
n,152,290,negate
n,152,320,negate
n,152,411,negate
n,152,310,negate
n,152,582,negate
n,152,310,negate
n,152,301,negate
n,152,421,negate
n,160,331,negate
n,160,300,negate
n,160,400,negate
n,160,611,negate
n,160,321,negate
n,160,301,negate
n,160,632,negate
n,160,311,negate
n,160,311,negate
n,160,321,negate
n,168,391,negate
n,168,331,negate
n,168,321,negate
n,168,321,negate
n,168,461,negate
n,168,311,negate
n,168,481,negate
n,168,311,negate
n,168,331,negate
n,168,471,negate
n,176,561,negate
n,176,301,negate
n,176,572,negate
n,176,300,negate
n,176,330,negate
n,176,331,negate
n,176,431,negate
n,176,471,negate
n,176,581,negate
n,176,411,negate
n,184,331,negate
n,184,401,negate
n,184,310,negate
n,184,270,negate
n,184,321,negate
n,184,461,negate
n,184,321,negate
n,184,321,negate
n,184,321,negate
n,184,321,negate
n,192,411,negate
n,192,331,negate
n,192,491,negate
n,192,300,negate
n,192,411,negate
n,192,401,negate
n,192,321,negate
n,192,331,negate
n,192,180,negate
n,192,921,negate
n,200,801,negate
n,200,792,negate
n,200,842,negate
n,200,611,negate
n,200,722,negate
n,200,722,negate
n,200,581,negate
n,200,612,negate
n,200,612,negate
n,200,711,negate
n,208,692,negate
n,208,651,negate
n,208,731,negate
n,208,952,negate
n,208,622,negate
n,208,701,negate
n,208,611,negate
n,208,631,negate
n,208,861,negate
n,208,611,negate
n,216,962,negate
n,216,842,negate
n,216,841,negate
n,216,611,negate
n,216,622,negate
n,216,632,negate
n,216,621,negate
n,216,791,negate
n,216,632,negate
n,216,611,negate
n,224,731,negate
n,224,732,negate
n,224,601,negate
n,224,631,negate
n,224,632,negate
n,224,641,negate
n,224,601,negate
n,224,732,negate
n,224,641,negate
n,224,631,negate
n,232,762,negate
n,232,742,negate
n,232,821,negate
n,232,621,negate
n,232,621,negate
n,232,821,negate
n,232,802,negate
n,232,712,negate
n,232,791,negate
n,232,992,negate
n,240,611,negate
n,240,862,negate
n,240,611,negate
n,240,952,negate
n,240,621,negate
n,240,631,negate
n,240,832,negate
n,240,621,negate
n,240,631,negate
n,240,912,negate
n,248,761,negate
n,248,861,negate
n,248,741,negate
n,248,812,negate
n,248,611,negate
n,248,731,negate
n,248,771,negate
n,248,942,negate
n,248,782,negate
n,248,622,negate
n,256,631,negate
n,256,641,negate
n,256,651,negate
n,256,641,negate
n,256,711,negate
n,256,751,negate
n,256,762,negate
n,256,632,negate
n,256,832,negate
n,256,732,negate
n,264,641,negate
n,264,641,negate
n,264,622,negate
n,264,731,negate
n,264,631,negate
n,264,621,negate
n,264,631,negate
n,264,602,negate
n,264,611,negate
n,264,741,negate
n,272,631,negate
n,272,932,negate
n,272,631,negate
n,272,741,negate
n,272,611,negate
n,272,651,negate
n,272,762,negate
n,272,601,negate
n,272,602,negate
n,272,641,negate
n,280,621,negate
n,280,1062,negate
n,280,651,negate
n,280,631,negate
n,280,621,negate
n,280,631,negate
n,280,761,negate
n,280,621,negate
n,280,752,negate
n,280,731,negate
n,288,742,negate
n,288,631,negate
n,288,942,negate
n,288,721,negate
n,288,992,negate
n,288,621,negate
n,288,762,negate
n,288,631,negate
n,288,752,negate
n,288,751,negate
n,296,751,negate
n,296,631,negate
n,296,631,negate
n,296,912,negate
n,296,772,negate
n,296,611,negate
n,296,641,negate
