param,value,time,tag
param_id_0,0,340,norm
param_id_0,0,340,norm
param_id_0,0,70,norm
param_id_0,0,60,norm
param_id_0,0,71,norm
param_id_0,32,241,norm
param_id_0,32,231,norm
param_id_0,32,201,norm
param_id_0,32,220,norm
param_id_0,32,221,norm
param_id_0,64,401,norm
param_id_0,64,401,norm
param_id_0,64,371,norm
param_id_0,64,380,norm
param_id_0,64,371,norm
param_id_0,96,551,norm
param_id_0,96,571,norm
param_id_0,96,551,norm
param_id_0,96,561,norm
param_id_0,96,561,norm
param_id_0,128,711,norm
param_id_0,128,711,norm
param_id_0,128,702,norm
param_id_0,128,711,norm
param_id_0,128,721,norm
param_id_0,160,882,norm
param_id_0,160,872,norm
param_id_0,160,882,norm
param_id_0,160,882,norm
param_id_0,160,882,norm
param_id_0,192,1082,norm
param_id_0,192,1042,norm
param_id_0,192,1042,norm
param_id_0,192,1042,norm
param_id_0,192,1042,norm
param_id_0,224,1202,norm
param_id_0,224,1202,norm
param_id_0,224,1202,norm
param_id_0,224,1503,norm
param_id_0,224,1192,norm
param_id_0,256,1363,norm
param_id_0,256,1363,norm
param_id_0,256,1353,norm
param_id_0,256,1352,norm
param_id_0,256,1373,norm
param_id_0,288,1523,norm
param_id_0,288,1533,norm
param_id_0,288,1523,norm
param_id_0,288,1523,norm
param_id_0,288,1533,norm
param_id_0,320,1694,norm
param_id_0,320,1683,norm
param_id_0,320,1694,norm
param_id_0,320,1794,norm
param_id_0,320,1683,norm
param_id_0,352,1854,norm
param_id_0,352,1853,norm
param_id_0,352,1853,norm
param_id_0,352,1854,norm
param_id_0,352,1853,norm
param_id_0,384,2014,norm
param_id_0,384,2014,norm
param_id_0,384,2014,norm
param_id_0,384,2024,norm
param_id_0,384,2023,norm
param_id_0,416,2184,norm
param_id_0,416,2184,norm
param_id_0,416,2184,norm
param_id_0,416,2174,norm
param_id_0,416,2195,norm
param_id_0,448,2334,norm
param_id_0,448,2345,norm
param_id_0,448,2335,norm
param_id_0,448,2345,norm
param_id_0,448,2334,norm
param_id_0,480,2515,norm
param_id_0,480,2505,norm
param_id_0,480,2505,norm
param_id_0,480,2505,norm
param_id_0,480,2554,norm
