param,value,time,tag
n,0,621,noteq
n,0,501,noteq
n,0,511,noteq
n,0,471,noteq
n,0,481,noteq
n,0,511,noteq
n,0,220,noteq
n,0,491,noteq
n,0,491,noteq
n,0,792,noteq
n,8,531,noteq
n,8,621,noteq
n,8,801,noteq
n,8,481,noteq
n,8,501,noteq
n,8,451,noteq
n,8,481,noteq
n,8,661,noteq
n,8,190,noteq
n,8,491,noteq
n,16,521,noteq
n,16,871,noteq
n,16,501,noteq
n,16,591,noteq
n,16,871,noteq
n,16,612,noteq
n,16,612,noteq
n,16,801,noteq
n,16,1132,noteq
n,16,621,noteq
n,24,622,noteq
n,24,861,noteq
n,24,611,noteq
n,24,641,noteq
n,24,561,noteq
n,24,641,noteq
n,24,841,noteq
n,24,1031,noteq
n,24,451,noteq
n,24,591,noteq
n,32,661,noteq
n,32,1253,noteq
n,32,611,noteq
n,32,621,noteq
n,32,611,noteq
n,32,631,noteq
n,32,601,noteq
n,32,641,noteq
n,32,561,noteq
n,32,642,noteq
n,40,722,noteq
n,40,641,noteq
n,40,621,noteq
n,40,621,noteq
n,40,681,noteq
n,40,632,noteq
n,40,932,noteq
n,40,631,noteq
n,40,611,noteq
n,40,641,noteq
n,48,751,noteq
n,48,641,noteq
n,48,1002,noteq
n,48,792,noteq
n,48,1012,noteq
n,48,641,noteq
n,48,652,noteq
n,48,301,noteq
n,48,1032,noteq
n,48,712,noteq
n,56,932,noteq
n,56,752,noteq
n,56,782,noteq
n,56,632,noteq
n,56,622,noteq
n,56,851,noteq
n,56,601,noteq
n,56,1152,noteq
n,56,812,noteq
n,56,1042,noteq
n,64,762,noteq
n,64,1402,noteq
n,64,732,noteq
n,64,641,noteq
n,64,842,noteq
n,64,671,noteq
n,64,731,noteq
n,64,931,noteq
n,64,722,noteq
n,64,761,noteq
n,72,671,noteq
n,72,631,noteq
n,72,671,noteq
n,72,611,noteq
n,72,601,noteq
n,72,611,noteq
n,72,611,noteq
n,72,732,noteq
n,72,611,noteq
n,72,642,noteq
n,80,651,noteq
n,80,1392,noteq
n,80,772,noteq
n,80,761,noteq
n,80,901,noteq
n,80,1142,noteq
n,80,601,noteq
n,80,661,noteq
