param,value,time,tag
param_id_0,0,381,pluseq
param_id_0,0,80,pluseq
param_id_0,0,70,pluseq
param_id_0,0,70,pluseq
param_id_0,0,71,pluseq
param_id_0,32,171,pluseq
param_id_0,32,190,pluseq
param_id_0,32,150,pluseq
param_id_0,32,180,pluseq
param_id_0,32,150,pluseq
param_id_0,64,230,pluseq
param_id_0,64,230,pluseq
param_id_0,64,230,pluseq
param_id_0,64,230,pluseq
param_id_0,64,211,pluseq
param_id_0,96,311,pluseq
param_id_0,96,300,pluseq
param_id_0,96,301,pluseq
param_id_0,96,301,pluseq
param_id_0,96,310,pluseq
param_id_0,128,371,pluseq
param_id_0,128,370,pluseq
param_id_0,128,381,pluseq
param_id_0,128,371,pluseq
param_id_0,128,370,pluseq
param_id_0,160,441,pluseq
param_id_0,160,460,pluseq
param_id_0,160,451,pluseq
param_id_0,160,441,pluseq
param_id_0,160,441,pluseq
param_id_0,192,641,pluseq
param_id_0,192,511,pluseq
param_id_0,192,521,pluseq
param_id_0,192,511,pluseq
param_id_0,192,521,pluseq
param_id_0,224,591,pluseq
param_id_0,224,591,pluseq
param_id_0,224,591,pluseq
param_id_0,224,581,pluseq
param_id_0,224,591,pluseq
param_id_0,256,652,pluseq
param_id_0,256,661,pluseq
param_id_0,256,661,pluseq
param_id_0,256,661,pluseq
param_id_0,256,671,pluseq
param_id_0,288,742,pluseq
param_id_0,288,731,pluseq
param_id_0,288,721,pluseq
param_id_0,288,732,pluseq
param_id_0,288,731,pluseq
param_id_0,320,802,pluseq
param_id_0,320,802,pluseq
param_id_0,320,812,pluseq
param_id_0,320,802,pluseq
param_id_0,320,802,pluseq
param_id_0,352,882,pluseq
param_id_0,352,871,pluseq
param_id_0,352,882,pluseq
param_id_0,352,872,pluseq
param_id_0,352,881,pluseq
param_id_0,384,942,pluseq
param_id_0,384,942,pluseq
param_id_0,384,952,pluseq
param_id_0,384,942,pluseq
param_id_0,384,942,pluseq
param_id_0,416,1032,pluseq
param_id_0,416,1022,pluseq
param_id_0,416,1022,pluseq
param_id_0,416,1011,pluseq
param_id_0,416,1012,pluseq
param_id_0,448,1092,pluseq
param_id_0,448,1092,pluseq
param_id_0,448,1092,pluseq
param_id_0,448,1092,pluseq
param_id_0,448,1092,pluseq
param_id_0,480,1162,pluseq
param_id_0,480,1153,pluseq
param_id_0,480,1153,pluseq
param_id_0,480,1162,pluseq
param_id_0,480,1162,pluseq
