param,value,time,tag
param_id_0,0,290,prod_elts
param_id_0,0,60,prod_elts
param_id_0,0,70,prod_elts
param_id_0,0,60,prod_elts
param_id_0,0,60,prod_elts
param_id_0,32,331,prod_elts
param_id_0,32,230,prod_elts
param_id_0,32,210,prod_elts
param_id_0,32,220,prod_elts
param_id_0,32,201,prod_elts
param_id_0,64,311,prod_elts
param_id_0,64,300,prod_elts
param_id_0,64,321,prod_elts
param_id_0,64,321,prod_elts
param_id_0,64,301,prod_elts
param_id_0,96,421,prod_elts
param_id_0,96,410,prod_elts
param_id_0,96,421,prod_elts
param_id_0,96,401,prod_elts
param_id_0,96,421,prod_elts
param_id_0,128,501,prod_elts
param_id_0,128,511,prod_elts
param_id_0,128,501,prod_elts
param_id_0,128,511,prod_elts
param_id_0,128,501,prod_elts
param_id_0,160,621,prod_elts
param_id_0,160,601,prod_elts
param_id_0,160,601,prod_elts
param_id_0,160,621,prod_elts
param_id_0,160,601,prod_elts
param_id_0,192,702,prod_elts
param_id_0,192,742,prod_elts
param_id_0,192,701,prod_elts
param_id_0,192,702,prod_elts
param_id_0,192,702,prod_elts
param_id_0,224,801,prod_elts
param_id_0,224,812,prod_elts
param_id_0,224,801,prod_elts
param_id_0,224,822,prod_elts
param_id_0,224,802,prod_elts
param_id_0,256,921,prod_elts
param_id_0,256,902,prod_elts
param_id_0,256,911,prod_elts
param_id_0,256,922,prod_elts
param_id_0,256,911,prod_elts
param_id_0,288,1022,prod_elts
param_id_0,288,1022,prod_elts
param_id_0,288,1002,prod_elts
param_id_0,288,1002,prod_elts
param_id_0,288,1022,prod_elts
param_id_0,320,1113,prod_elts
param_id_0,320,1102,prod_elts
param_id_0,320,1102,prod_elts
param_id_0,320,1123,prod_elts
param_id_0,320,1112,prod_elts
param_id_0,352,1222,prod_elts
param_id_0,352,1202,prod_elts
param_id_0,352,1222,prod_elts
param_id_0,352,1213,prod_elts
param_id_0,352,1213,prod_elts
param_id_0,384,1312,prod_elts
param_id_0,384,1313,prod_elts
param_id_0,384,1313,prod_elts
param_id_0,384,1323,prod_elts
param_id_0,384,1312,prod_elts
param_id_0,416,1423,prod_elts
param_id_0,416,1423,prod_elts
param_id_0,416,1412,prod_elts
param_id_0,416,1413,prod_elts
param_id_0,416,1423,prod_elts
param_id_0,448,1503,prod_elts
param_id_0,448,1523,prod_elts
param_id_0,448,1503,prod_elts
param_id_0,448,1523,prod_elts
param_id_0,448,1503,prod_elts
param_id_0,480,1613,prod_elts
param_id_0,480,1613,prod_elts
param_id_0,480,1623,prod_elts
param_id_0,480,1604,prod_elts
param_id_0,480,1654,prod_elts
