param,value,time,tag
n,0,581,prod_n_squared
n,0,30,prod_n_squared
n,0,30,prod_n_squared
n,0,30,prod_n_squared
n,0,20,prod_n_squared
n,0,30,prod_n_squared
n,0,20,prod_n_squared
n,0,30,prod_n_squared
n,0,30,prod_n_squared
n,0,30,prod_n_squared
n,8,60,prod_n_squared
n,8,30,prod_n_squared
n,8,31,prod_n_squared
n,8,30,prod_n_squared
n,8,40,prod_n_squared
n,8,30,prod_n_squared
n,8,30,prod_n_squared
n,8,30,prod_n_squared
n,8,30,prod_n_squared
n,8,30,prod_n_squared
n,16,40,prod_n_squared
n,16,51,prod_n_squared
n,16,40,prod_n_squared
n,16,50,prod_n_squared
n,16,40,prod_n_squared
n,16,40,prod_n_squared
n,16,50,prod_n_squared
n,16,40,prod_n_squared
n,16,50,prod_n_squared
n,16,40,prod_n_squared
n,24,80,prod_n_squared
n,24,60,prod_n_squared
n,24,60,prod_n_squared
n,24,60,prod_n_squared
n,24,60,prod_n_squared
n,24,60,prod_n_squared
n,24,60,prod_n_squared
n,24,61,prod_n_squared
n,24,60,prod_n_squared
n,24,60,prod_n_squared
n,32,81,prod_n_squared
n,32,80,prod_n_squared
n,32,70,prod_n_squared
n,32,70,prod_n_squared
n,32,80,prod_n_squared
n,32,80,prod_n_squared
n,32,80,prod_n_squared
n,32,80,prod_n_squared
n,32,70,prod_n_squared
n,32,70,prod_n_squared
n,40,90,prod_n_squared
n,40,90,prod_n_squared
n,40,90,prod_n_squared
n,40,90,prod_n_squared
n,40,90,prod_n_squared
n,40,90,prod_n_squared
n,40,90,prod_n_squared
n,40,91,prod_n_squared
n,40,90,prod_n_squared
n,40,90,prod_n_squared
n,48,110,prod_n_squared
n,48,100,prod_n_squared
n,48,110,prod_n_squared
n,48,100,prod_n_squared
n,48,100,prod_n_squared
n,48,110,prod_n_squared
n,48,110,prod_n_squared
n,48,100,prod_n_squared
n,48,100,prod_n_squared
n,48,110,prod_n_squared
n,56,120,prod_n_squared
n,56,120,prod_n_squared
n,56,120,prod_n_squared
n,56,120,prod_n_squared
n,56,120,prod_n_squared
n,56,120,prod_n_squared
n,56,110,prod_n_squared
n,56,120,prod_n_squared
n,56,120,prod_n_squared
n,56,110,prod_n_squared
n,64,140,prod_n_squared
n,64,130,prod_n_squared
n,64,130,prod_n_squared
n,64,131,prod_n_squared
n,64,131,prod_n_squared
n,64,131,prod_n_squared
n,64,131,prod_n_squared
n,64,131,prod_n_squared
n,64,141,prod_n_squared
n,64,141,prod_n_squared
n,72,150,prod_n_squared
n,72,150,prod_n_squared
n,72,150,prod_n_squared
n,72,140,prod_n_squared
n,72,150,prod_n_squared
n,72,150,prod_n_squared
n,72,150,prod_n_squared
n,72,150,prod_n_squared
n,72,150,prod_n_squared
n,72,150,prod_n_squared
n,80,161,prod_n_squared
n,80,161,prod_n_squared
n,80,160,prod_n_squared
n,80,160,prod_n_squared
n,80,160,prod_n_squared
n,80,160,prod_n_squared
n,80,160,prod_n_squared
n,80,160,prod_n_squared
n,80,160,prod_n_squared
n,80,160,prod_n_squared
n,88,170,prod_n_squared
n,88,180,prod_n_squared
n,88,170,prod_n_squared
n,88,180,prod_n_squared
n,88,170,prod_n_squared
n,88,180,prod_n_squared
n,88,180,prod_n_squared
n,88,180,prod_n_squared
n,88,171,prod_n_squared
n,88,181,prod_n_squared
n,96,190,prod_n_squared
n,96,190,prod_n_squared
n,96,201,prod_n_squared
n,96,191,prod_n_squared
n,96,191,prod_n_squared
n,96,190,prod_n_squared
n,96,200,prod_n_squared
n,96,190,prod_n_squared
n,96,190,prod_n_squared
n,96,190,prod_n_squared
n,104,210,prod_n_squared
n,104,200,prod_n_squared
n,104,211,prod_n_squared
n,104,211,prod_n_squared
n,104,211,prod_n_squared
n,104,210,prod_n_squared
n,104,210,prod_n_squared
n,104,210,prod_n_squared
n,104,210,prod_n_squared
n,104,211,prod_n_squared
n,112,220,prod_n_squared
n,112,221,prod_n_squared
n,112,231,prod_n_squared
n,112,221,prod_n_squared
n,112,220,prod_n_squared
n,112,230,prod_n_squared
n,112,220,prod_n_squared
n,112,221,prod_n_squared
n,112,231,prod_n_squared
n,112,221,prod_n_squared
n,120,240,prod_n_squared
n,120,241,prod_n_squared
n,120,241,prod_n_squared
n,120,240,prod_n_squared
n,120,240,prod_n_squared
n,120,240,prod_n_squared
n,120,241,prod_n_squared
n,120,241,prod_n_squared
n,120,240,prod_n_squared
n,120,230,prod_n_squared
n,128,250,prod_n_squared
n,128,250,prod_n_squared
n,128,251,prod_n_squared
n,128,251,prod_n_squared
n,128,260,prod_n_squared
n,128,250,prod_n_squared
n,128,250,prod_n_squared
n,128,251,prod_n_squared
n,128,251,prod_n_squared
n,128,250,prod_n_squared
n,136,261,prod_n_squared
n,136,270,prod_n_squared
n,136,261,prod_n_squared
n,136,261,prod_n_squared
n,136,260,prod_n_squared
n,136,261,prod_n_squared
n,136,271,prod_n_squared
n,136,270,prod_n_squared
n,136,260,prod_n_squared
n,136,271,prod_n_squared
n,144,290,prod_n_squared
n,144,281,prod_n_squared
n,144,280,prod_n_squared
n,144,280,prod_n_squared
n,144,281,prod_n_squared
n,144,281,prod_n_squared
n,144,280,prod_n_squared
n,144,280,prod_n_squared
n,144,281,prod_n_squared
n,144,281,prod_n_squared
n,152,291,prod_n_squared
n,152,291,prod_n_squared
n,152,290,prod_n_squared
n,152,301,prod_n_squared
n,152,290,prod_n_squared
n,152,290,prod_n_squared
n,152,301,prod_n_squared
n,152,301,prod_n_squared
n,152,300,prod_n_squared
n,152,301,prod_n_squared
n,160,310,prod_n_squared
n,160,311,prod_n_squared
n,160,311,prod_n_squared
n,160,310,prod_n_squared
n,160,311,prod_n_squared
n,160,311,prod_n_squared
n,160,310,prod_n_squared
n,160,311,prod_n_squared
n,160,301,prod_n_squared
n,160,310,prod_n_squared
n,168,321,prod_n_squared
n,168,320,prod_n_squared
n,168,321,prod_n_squared
n,168,330,prod_n_squared
n,168,330,prod_n_squared
n,168,321,prod_n_squared
n,168,320,prod_n_squared
n,168,321,prod_n_squared
n,168,321,prod_n_squared
n,168,320,prod_n_squared
n,176,341,prod_n_squared
n,176,341,prod_n_squared
n,176,331,prod_n_squared
n,176,330,prod_n_squared
n,176,341,prod_n_squared
n,176,341,prod_n_squared
n,176,340,prod_n_squared
n,176,341,prod_n_squared
n,176,341,prod_n_squared
n,176,341,prod_n_squared
n,184,350,prod_n_squared
n,184,351,prod_n_squared
n,184,350,prod_n_squared
n,184,351,prod_n_squared
n,184,361,prod_n_squared
n,184,360,prod_n_squared
n,184,351,prod_n_squared
n,184,350,prod_n_squared
n,184,351,prod_n_squared
n,184,351,prod_n_squared
n,192,361,prod_n_squared
n,192,370,prod_n_squared
n,192,361,prod_n_squared
n,192,370,prod_n_squared
n,192,371,prod_n_squared
n,192,361,prod_n_squared
n,192,371,prod_n_squared
n,192,371,prod_n_squared
n,192,360,prod_n_squared
n,192,371,prod_n_squared
n,200,381,prod_n_squared
n,200,381,prod_n_squared
n,200,411,prod_n_squared
n,200,481,prod_n_squared
n,200,481,prod_n_squared
n,200,481,prod_n_squared
n,200,481,prod_n_squared
n,200,480,prod_n_squared
n,200,481,prod_n_squared
n,200,471,prod_n_squared
n,208,491,prod_n_squared
n,208,491,prod_n_squared
n,208,501,prod_n_squared
n,208,491,prod_n_squared
n,208,501,prod_n_squared
n,208,491,prod_n_squared
n,208,491,prod_n_squared
n,208,491,prod_n_squared
n,208,501,prod_n_squared
n,208,501,prod_n_squared
n,216,511,prod_n_squared
n,216,511,prod_n_squared
n,216,511,prod_n_squared
n,216,521,prod_n_squared
n,216,511,prod_n_squared
n,216,511,prod_n_squared
n,216,511,prod_n_squared
n,216,511,prod_n_squared
n,216,511,prod_n_squared
n,216,511,prod_n_squared
n,224,531,prod_n_squared
n,224,521,prod_n_squared
n,224,531,prod_n_squared
n,224,531,prod_n_squared
n,224,531,prod_n_squared
n,224,531,prod_n_squared
n,224,531,prod_n_squared
n,224,531,prod_n_squared
n,224,531,prod_n_squared
n,224,531,prod_n_squared
n,232,541,prod_n_squared
n,232,551,prod_n_squared
n,232,551,prod_n_squared
n,232,541,prod_n_squared
n,232,541,prod_n_squared
n,232,541,prod_n_squared
n,232,541,prod_n_squared
n,232,551,prod_n_squared
n,232,551,prod_n_squared
n,232,551,prod_n_squared
n,240,561,prod_n_squared
n,240,561,prod_n_squared
n,240,461,prod_n_squared
n,240,451,prod_n_squared
n,240,451,prod_n_squared
n,240,451,prod_n_squared
n,240,450,prod_n_squared
n,240,451,prod_n_squared
n,240,451,prod_n_squared
n,240,451,prod_n_squared
n,248,471,prod_n_squared
n,248,461,prod_n_squared
n,248,461,prod_n_squared
n,248,461,prod_n_squared
n,248,461,prod_n_squared
n,248,470,prod_n_squared
n,248,471,prod_n_squared
n,248,461,prod_n_squared
n,248,471,prod_n_squared
n,248,471,prod_n_squared
n,256,471,prod_n_squared
n,256,481,prod_n_squared
n,256,481,prod_n_squared
n,256,481,prod_n_squared
n,256,481,prod_n_squared
n,256,481,prod_n_squared
n,256,491,prod_n_squared
n,256,481,prod_n_squared
n,256,481,prod_n_squared
n,256,481,prod_n_squared
n,264,501,prod_n_squared
n,264,491,prod_n_squared
n,264,491,prod_n_squared
n,264,491,prod_n_squared
n,264,491,prod_n_squared
n,264,490,prod_n_squared
n,264,511,prod_n_squared
n,264,491,prod_n_squared
n,264,501,prod_n_squared
n,264,491,prod_n_squared
n,272,511,prod_n_squared
n,272,511,prod_n_squared
n,272,511,prod_n_squared
n,272,511,prod_n_squared
n,272,511,prod_n_squared
n,272,511,prod_n_squared
n,272,511,prod_n_squared
n,272,511,prod_n_squared
n,272,511,prod_n_squared
n,272,511,prod_n_squared
n,280,521,prod_n_squared
n,280,521,prod_n_squared
n,280,521,prod_n_squared
n,280,521,prod_n_squared
n,280,531,prod_n_squared
n,280,531,prod_n_squared
n,280,521,prod_n_squared
n,280,521,prod_n_squared
n,280,531,prod_n_squared
n,280,531,prod_n_squared
n,288,541,prod_n_squared
n,288,541,prod_n_squared
n,288,541,prod_n_squared
n,288,541,prod_n_squared
n,288,541,prod_n_squared
n,288,541,prod_n_squared
n,288,531,prod_n_squared
n,288,531,prod_n_squared
n,288,531,prod_n_squared
n,288,531,prod_n_squared
n,296,551,prod_n_squared
n,296,551,prod_n_squared
n,296,562,prod_n_squared
n,296,551,prod_n_squared
n,296,551,prod_n_squared
n,296,551,prod_n_squared
n,296,551,prod_n_squared
n,296,551,prod_n_squared
n,296,551,prod_n_squared
n,296,551,prod_n_squared
n,304,571,prod_n_squared
n,304,561,prod_n_squared
n,304,561,prod_n_squared
n,304,571,prod_n_squared
n,304,561,prod_n_squared
n,304,571,prod_n_squared
n,304,561,prod_n_squared
n,304,571,prod_n_squared
n,304,571,prod_n_squared
n,304,571,prod_n_squared
n,312,581,prod_n_squared
n,312,581,prod_n_squared
n,312,581,prod_n_squared
n,312,581,prod_n_squared
n,312,581,prod_n_squared
n,312,581,prod_n_squared
n,312,581,prod_n_squared
n,312,591,prod_n_squared
n,312,581,prod_n_squared
n,312,581,prod_n_squared
n,320,601,prod_n_squared
n,320,591,prod_n_squared
n,320,601,prod_n_squared
n,320,591,prod_n_squared
n,320,602,prod_n_squared
n,320,591,prod_n_squared
n,320,601,prod_n_squared
n,320,601,prod_n_squared
n,320,591,prod_n_squared
n,320,601,prod_n_squared
n,328,601,prod_n_squared
n,328,611,prod_n_squared
n,328,611,prod_n_squared
n,328,611,prod_n_squared
n,328,611,prod_n_squared
n,328,601,prod_n_squared
n,328,611,prod_n_squared
n,328,612,prod_n_squared
n,328,611,prod_n_squared
n,328,611,prod_n_squared
n,336,632,prod_n_squared
n,336,622,prod_n_squared
n,336,622,prod_n_squared
n,336,631,prod_n_squared
n,336,631,prod_n_squared
n,336,621,prod_n_squared
n,336,621,prod_n_squared
n,336,621,prod_n_squared
n,336,631,prod_n_squared
n,336,631,prod_n_squared
n,344,641,prod_n_squared
n,344,631,prod_n_squared
n,344,641,prod_n_squared
n,344,641,prod_n_squared
n,344,641,prod_n_squared
n,344,641,prod_n_squared
n,344,641,prod_n_squared
n,344,631,prod_n_squared
n,344,641,prod_n_squared
n,344,641,prod_n_squared
n,352,651,prod_n_squared
n,352,651,prod_n_squared
n,352,651,prod_n_squared
n,352,651,prod_n_squared
n,352,661,prod_n_squared
n,352,651,prod_n_squared
n,352,661,prod_n_squared
n,352,651,prod_n_squared
n,352,651,prod_n_squared
n,352,651,prod_n_squared
n,360,661,prod_n_squared
n,360,661,prod_n_squared
n,360,671,prod_n_squared
n,360,831,prod_n_squared
n,360,831,prod_n_squared
n,360,832,prod_n_squared
n,360,832,prod_n_squared
n,360,841,prod_n_squared
n,360,831,prod_n_squared
n,360,832,prod_n_squared
n,368,851,prod_n_squared
n,368,852,prod_n_squared
n,368,852,prod_n_squared
n,368,851,prod_n_squared
n,368,852,prod_n_squared
n,368,852,prod_n_squared
n,368,851,prod_n_squared
n,368,852,prod_n_squared
n,368,852,prod_n_squared
n,368,851,prod_n_squared
n,376,872,prod_n_squared
n,376,871,prod_n_squared
n,376,872,prod_n_squared
n,376,872,prod_n_squared
n,376,871,prod_n_squared
n,376,872,prod_n_squared
n,376,872,prod_n_squared
n,376,881,prod_n_squared
n,376,882,prod_n_squared
n,376,881,prod_n_squared
n,384,892,prod_n_squared
n,384,891,prod_n_squared
n,384,882,prod_n_squared
n,384,892,prod_n_squared
n,384,882,prod_n_squared
n,384,892,prod_n_squared
n,384,891,prod_n_squared
n,384,892,prod_n_squared
n,384,881,prod_n_squared
n,384,711,prod_n_squared
n,392,732,prod_n_squared
n,392,731,prod_n_squared
n,392,731,prod_n_squared
n,392,721,prod_n_squared
n,392,731,prod_n_squared
n,392,721,prod_n_squared
n,392,721,prod_n_squared
n,392,722,prod_n_squared
n,392,732,prod_n_squared
n,392,732,prod_n_squared
n,400,741,prod_n_squared
n,400,741,prod_n_squared
n,400,741,prod_n_squared
n,400,742,prod_n_squared
n,400,742,prod_n_squared
n,400,731,prod_n_squared
n,400,741,prod_n_squared
n,400,741,prod_n_squared
n,400,731,prod_n_squared
n,400,742,prod_n_squared
n,408,751,prod_n_squared
n,408,751,prod_n_squared
n,408,751,prod_n_squared
n,408,752,prod_n_squared
n,408,762,prod_n_squared
n,408,751,prod_n_squared
n,408,761,prod_n_squared
n,408,751,prod_n_squared
n,408,762,prod_n_squared
n,408,752,prod_n_squared
n,416,771,prod_n_squared
n,416,772,prod_n_squared
n,416,772,prod_n_squared
n,416,771,prod_n_squared
n,416,771,prod_n_squared
n,416,761,prod_n_squared
n,416,772,prod_n_squared
n,416,772,prod_n_squared
n,416,771,prod_n_squared
n,416,771,prod_n_squared
n,424,782,prod_n_squared
n,424,791,prod_n_squared
n,424,781,prod_n_squared
n,424,782,prod_n_squared
n,424,792,prod_n_squared
n,424,781,prod_n_squared
n,424,781,prod_n_squared
n,424,782,prod_n_squared
n,424,782,prod_n_squared
n,424,781,prod_n_squared
n,432,792,prod_n_squared
