param,value,time,tag
param_id_0,1,1122,prod_sq_elts
param_id_0,1,231,prod_sq_elts
param_id_0,1,391,prod_sq_elts
param_id_0,1,201,prod_sq_elts
param_id_0,1,361,prod_sq_elts
param_id_0,1,220,prod_sq_elts
param_id_0,1,180,prod_sq_elts
param_id_0,1,240,prod_sq_elts
param_id_0,1,311,prod_sq_elts
param_id_0,1,370,prod_sq_elts
param_id_0,9,331,prod_sq_elts
param_id_0,9,270,prod_sq_elts
param_id_0,9,221,prod_sq_elts
param_id_0,9,261,prod_sq_elts
param_id_0,9,240,prod_sq_elts
param_id_0,9,301,prod_sq_elts
param_id_0,9,230,prod_sq_elts
param_id_0,9,190,prod_sq_elts
param_id_0,9,180,prod_sq_elts
param_id_0,9,250,prod_sq_elts
param_id_0,17,451,prod_sq_elts
param_id_0,17,401,prod_sq_elts
param_id_0,17,290,prod_sq_elts
param_id_0,17,340,prod_sq_elts
param_id_0,17,411,prod_sq_elts
param_id_0,17,321,prod_sq_elts
param_id_0,17,320,prod_sq_elts
param_id_0,17,701,prod_sq_elts
param_id_0,17,411,prod_sq_elts
param_id_0,17,501,prod_sq_elts
param_id_0,25,350,prod_sq_elts
param_id_0,25,390,prod_sq_elts
param_id_0,25,301,prod_sq_elts
param_id_0,25,451,prod_sq_elts
param_id_0,25,340,prod_sq_elts
param_id_0,25,421,prod_sq_elts
param_id_0,25,350,prod_sq_elts
param_id_0,25,311,prod_sq_elts
param_id_0,25,301,prod_sq_elts
param_id_0,25,241,prod_sq_elts
param_id_0,33,471,prod_sq_elts
param_id_0,33,541,prod_sq_elts
param_id_0,33,340,prod_sq_elts
param_id_0,33,471,prod_sq_elts
param_id_0,33,370,prod_sq_elts
param_id_0,33,381,prod_sq_elts
param_id_0,33,370,prod_sq_elts
param_id_0,33,381,prod_sq_elts
param_id_0,33,501,prod_sq_elts
param_id_0,33,601,prod_sq_elts
param_id_0,41,852,prod_sq_elts
param_id_0,41,772,prod_sq_elts
param_id_0,41,480,prod_sq_elts
param_id_0,41,692,prod_sq_elts
param_id_0,41,471,prod_sq_elts
param_id_0,41,471,prod_sq_elts
param_id_0,41,612,prod_sq_elts
param_id_0,41,542,prod_sq_elts
param_id_0,41,481,prod_sq_elts
param_id_0,41,571,prod_sq_elts
param_id_0,49,822,prod_sq_elts
param_id_0,49,792,prod_sq_elts
param_id_0,49,1002,prod_sq_elts
param_id_0,49,692,prod_sq_elts
param_id_0,49,722,prod_sq_elts
param_id_0,49,762,prod_sq_elts
param_id_0,49,551,prod_sq_elts
param_id_0,49,491,prod_sq_elts
param_id_0,49,571,prod_sq_elts
param_id_0,49,571,prod_sq_elts
