param,value,time,tag
param_id_0,0,311,replace_first
param_id_0,0,90,replace_first
param_id_0,0,110,replace_first
param_id_0,0,111,replace_first
param_id_0,0,121,replace_first
param_id_0,32,281,replace_first
param_id_0,32,290,replace_first
param_id_0,32,290,replace_first
param_id_0,32,290,replace_first
param_id_0,32,280,replace_first
param_id_0,64,441,replace_first
param_id_0,64,431,replace_first
param_id_0,64,451,replace_first
param_id_0,64,441,replace_first
param_id_0,64,441,replace_first
param_id_0,96,581,replace_first
param_id_0,96,591,replace_first
param_id_0,96,581,replace_first
param_id_0,96,581,replace_first
param_id_0,96,591,replace_first
param_id_0,128,732,replace_first
param_id_0,128,731,replace_first
param_id_0,128,742,replace_first
param_id_0,128,741,replace_first
param_id_0,128,731,replace_first
param_id_0,160,902,replace_first
param_id_0,160,882,replace_first
param_id_0,160,882,replace_first
param_id_0,160,892,replace_first
param_id_0,160,892,replace_first
param_id_0,192,1042,replace_first
param_id_0,192,1032,replace_first
param_id_0,192,1032,replace_first
param_id_0,192,1032,replace_first
param_id_0,192,1031,replace_first
param_id_0,224,1192,replace_first
param_id_0,224,1183,replace_first
param_id_0,224,1182,replace_first
param_id_0,224,1192,replace_first
param_id_0,224,1192,replace_first
param_id_0,256,1342,replace_first
param_id_0,256,1343,replace_first
param_id_0,256,1342,replace_first
param_id_0,256,1343,replace_first
param_id_0,256,1332,replace_first
param_id_0,288,1493,replace_first
param_id_0,288,1492,replace_first
param_id_0,288,1493,replace_first
param_id_0,288,1493,replace_first
param_id_0,288,1492,replace_first
param_id_0,320,1643,replace_first
param_id_0,320,1633,replace_first
param_id_0,320,1633,replace_first
param_id_0,320,1644,replace_first
param_id_0,320,1643,replace_first
param_id_0,352,1803,replace_first
param_id_0,352,1794,replace_first
param_id_0,352,1793,replace_first
param_id_0,352,1793,replace_first
param_id_0,352,1793,replace_first
param_id_0,384,1934,replace_first
param_id_0,384,1943,replace_first
param_id_0,384,1943,replace_first
param_id_0,384,1953,replace_first
param_id_0,384,1943,replace_first
param_id_0,416,2104,replace_first
param_id_0,416,2084,replace_first
param_id_0,416,2094,replace_first
param_id_0,416,2094,replace_first
param_id_0,416,2084,replace_first
param_id_0,448,2224,replace_first
param_id_0,448,2235,replace_first
param_id_0,448,2235,replace_first
param_id_0,448,2234,replace_first
param_id_0,448,2224,replace_first
param_id_0,480,2384,replace_first
param_id_0,480,2384,replace_first
param_id_0,480,2384,replace_first
param_id_0,480,2374,replace_first
param_id_0,480,2385,replace_first
