param,value,time,tag
param_id_0,0,230,replace_last
param_id_0,0,60,replace_last
param_id_0,0,70,replace_last
param_id_0,0,70,replace_last
param_id_0,0,81,replace_last
param_id_0,32,200,replace_last
param_id_0,32,220,replace_last
param_id_0,32,151,replace_last
param_id_0,32,150,replace_last
param_id_0,32,140,replace_last
param_id_0,64,241,replace_last
param_id_0,64,280,replace_last
param_id_0,64,221,replace_last
param_id_0,64,231,replace_last
param_id_0,64,221,replace_last
param_id_0,96,321,replace_last
param_id_0,96,310,replace_last
param_id_0,96,310,replace_last
param_id_0,96,301,replace_last
param_id_0,96,310,replace_last
param_id_0,128,391,replace_last
param_id_0,128,391,replace_last
param_id_0,128,380,replace_last
param_id_0,128,381,replace_last
param_id_0,128,481,replace_last
param_id_0,160,461,replace_last
param_id_0,160,461,replace_last
param_id_0,160,481,replace_last
param_id_0,160,471,replace_last
param_id_0,160,481,replace_last
param_id_0,192,551,replace_last
param_id_0,192,551,replace_last
param_id_0,192,541,replace_last
param_id_0,192,541,replace_last
param_id_0,192,551,replace_last
param_id_0,224,621,replace_last
param_id_0,224,621,replace_last
param_id_0,224,621,replace_last
param_id_0,224,621,replace_last
param_id_0,224,661,replace_last
param_id_0,256,722,replace_last
param_id_0,256,702,replace_last
param_id_0,256,721,replace_last
param_id_0,256,722,replace_last
param_id_0,256,711,replace_last
param_id_0,288,802,replace_last
param_id_0,288,802,replace_last
param_id_0,288,792,replace_last
param_id_0,288,801,replace_last
param_id_0,288,802,replace_last
param_id_0,320,882,replace_last
param_id_0,320,872,replace_last
param_id_0,320,881,replace_last
param_id_0,320,882,replace_last
param_id_0,320,891,replace_last
param_id_0,352,952,replace_last
param_id_0,352,961,replace_last
param_id_0,352,962,replace_last
param_id_0,352,961,replace_last
param_id_0,352,962,replace_last
param_id_0,384,1042,replace_last
param_id_0,384,1032,replace_last
param_id_0,384,1042,replace_last
param_id_0,384,1082,replace_last
param_id_0,384,1032,replace_last
param_id_0,416,1112,replace_last
param_id_0,416,1112,replace_last
param_id_0,416,1112,replace_last
param_id_0,416,1123,replace_last
param_id_0,416,1112,replace_last
param_id_0,448,1182,replace_last
param_id_0,448,1192,replace_last
param_id_0,448,1192,replace_last
param_id_0,448,1192,replace_last
param_id_0,448,1192,replace_last
param_id_0,480,1263,replace_last
param_id_0,480,1273,replace_last
param_id_0,480,1262,replace_last
param_id_0,480,1273,replace_last
param_id_0,480,1263,replace_last
