param,value,time,tag
param_id_0,0,420,search
param_id_0,0,160,search
param_id_0,0,151,search
param_id_0,0,161,search
param_id_0,0,180,search
param_id_0,32,351,search
param_id_0,32,341,search
param_id_0,32,321,search
param_id_0,32,331,search
param_id_0,32,320,search
param_id_0,64,320,search
param_id_0,64,321,search
param_id_0,64,321,search
param_id_0,64,320,search
param_id_0,64,321,search
param_id_0,96,320,search
param_id_0,96,321,search
param_id_0,96,320,search
param_id_0,96,321,search
param_id_0,96,320,search
param_id_0,128,371,search
param_id_0,128,321,search
param_id_0,128,321,search
param_id_0,128,371,search
param_id_0,128,320,search
param_id_0,160,321,search
param_id_0,160,320,search
param_id_0,160,320,search
param_id_0,160,320,search
param_id_0,160,320,search
param_id_0,192,321,search
param_id_0,192,321,search
param_id_0,192,321,search
param_id_0,192,320,search
param_id_0,192,321,search
param_id_0,224,331,search
param_id_0,224,331,search
param_id_0,224,320,search
param_id_0,224,321,search
param_id_0,224,321,search
param_id_0,256,321,search
param_id_0,256,320,search
param_id_0,256,321,search
param_id_0,256,320,search
param_id_0,256,320,search
param_id_0,288,330,search
param_id_0,288,330,search
param_id_0,288,321,search
param_id_0,288,320,search
param_id_0,288,320,search
param_id_0,320,321,search
param_id_0,320,321,search
param_id_0,320,321,search
param_id_0,320,321,search
param_id_0,320,321,search
param_id_0,352,321,search
param_id_0,352,380,search
param_id_0,352,320,search
param_id_0,352,321,search
param_id_0,352,321,search
param_id_0,384,361,search
param_id_0,384,321,search
param_id_0,384,340,search
param_id_0,384,331,search
param_id_0,384,320,search
param_id_0,416,321,search
param_id_0,416,320,search
param_id_0,416,321,search
param_id_0,416,321,search
param_id_0,416,320,search
param_id_0,448,320,search
param_id_0,448,320,search
param_id_0,448,321,search
param_id_0,448,321,search
param_id_0,448,380,search
param_id_0,480,320,search
param_id_0,480,320,search
param_id_0,480,310,search
param_id_0,480,411,search
param_id_0,480,331,search
param_id_1,0,271,search
param_id_1,0,110,search
param_id_1,0,60,search
param_id_1,0,100,search
param_id_1,0,60,search
param_id_1,32,281,search
param_id_1,32,241,search
param_id_1,32,240,search
param_id_1,32,240,search
param_id_1,32,210,search
param_id_1,64,390,search
param_id_1,64,330,search
param_id_1,64,330,search
param_id_1,64,330,search
param_id_1,64,331,search
param_id_1,96,501,search
param_id_1,96,451,search
param_id_1,96,441,search
param_id_1,96,441,search
param_id_1,96,440,search
param_id_1,128,561,search
param_id_1,128,561,search
param_id_1,128,561,search
param_id_1,128,561,search
param_id_1,128,561,search
param_id_1,160,671,search
param_id_1,160,671,search
param_id_1,160,671,search
param_id_1,160,681,search
param_id_1,160,671,search
param_id_1,192,792,search
param_id_1,192,791,search
param_id_1,192,792,search
param_id_1,192,791,search
param_id_1,192,792,search
param_id_1,224,901,search
param_id_1,224,912,search
param_id_1,224,902,search
param_id_1,224,901,search
param_id_1,224,901,search
param_id_1,256,1022,search
param_id_1,256,1022,search
param_id_1,256,1022,search
param_id_1,256,1022,search
param_id_1,256,1022,search
param_id_1,288,1132,search
param_id_1,288,1132,search
param_id_1,288,1132,search
param_id_1,288,1143,search
param_id_1,288,1132,search
param_id_1,320,1252,search
param_id_1,320,1252,search
param_id_1,320,1252,search
param_id_1,320,1243,search
param_id_1,320,1252,search
param_id_1,352,1362,search
param_id_1,352,1383,search
param_id_1,352,1373,search
param_id_1,352,1362,search
param_id_1,352,1372,search
param_id_1,384,1473,search
param_id_1,384,1483,search
param_id_1,384,1483,search
param_id_1,384,1473,search
param_id_1,384,1483,search
param_id_1,416,1593,search
param_id_1,416,1593,search
param_id_1,416,1593,search
param_id_1,416,1603,search
param_id_1,416,1613,search
param_id_1,448,1703,search
param_id_1,448,1703,search
param_id_1,448,1703,search
param_id_1,448,1703,search
param_id_1,448,1703,search
param_id_1,480,1823,search
param_id_1,480,1874,search
param_id_1,480,1824,search
param_id_1,480,1873,search
param_id_1,480,1823,search
