param,value,time,tag
param_id_0,1,706833,kernel_seidel_2d
param_id_0,1,700661,kernel_seidel_2d
param_id_0,1,706072,kernel_seidel_2d
param_id_0,1,700862,kernel_seidel_2d
param_id_0,1,704258,kernel_seidel_2d
param_id_0,1,700932,kernel_seidel_2d
param_id_0,1,700542,kernel_seidel_2d
param_id_0,1,700862,kernel_seidel_2d
param_id_0,1,700351,kernel_seidel_2d
param_id_0,1,703607,kernel_seidel_2d
param_id_0,9,6308528,kernel_seidel_2d
param_id_0,9,6303759,kernel_seidel_2d
param_id_0,9,6317014,kernel_seidel_2d
param_id_0,9,6310582,kernel_seidel_2d
param_id_0,9,6314119,kernel_seidel_2d
param_id_0,9,6304010,kernel_seidel_2d
param_id_0,9,6307195,kernel_seidel_2d
param_id_0,9,6308028,kernel_seidel_2d
param_id_0,9,6317746,kernel_seidel_2d
param_id_0,9,6304972,kernel_seidel_2d
param_id_0,17,11911818,kernel_seidel_2d
param_id_0,17,11912217,kernel_seidel_2d
param_id_0,17,11921034,kernel_seidel_2d
param_id_0,17,11924691,kernel_seidel_2d
param_id_0,17,11923508,kernel_seidel_2d
param_id_0,17,11921095,kernel_seidel_2d
param_id_0,17,11920112,kernel_seidel_2d
param_id_0,17,11924641,kernel_seidel_2d
param_id_0,17,11921525,kernel_seidel_2d
param_id_0,17,11924350,kernel_seidel_2d
param_id_0,25,17531666,kernel_seidel_2d
param_id_0,25,17518983,kernel_seidel_2d
param_id_0,25,17517229,kernel_seidel_2d
param_id_0,25,17521036,kernel_seidel_2d
param_id_0,25,17513070,kernel_seidel_2d
param_id_0,25,17533279,kernel_seidel_2d
param_id_0,25,17524703,kernel_seidel_2d
param_id_0,25,17519363,kernel_seidel_2d
param_id_0,25,17517450,kernel_seidel_2d
param_id_0,25,17519613,kernel_seidel_2d
param_id_0,33,23131868,kernel_seidel_2d
param_id_0,33,23140896,kernel_seidel_2d
param_id_0,33,23124995,kernel_seidel_2d
param_id_0,33,23140184,kernel_seidel_2d
param_id_0,33,23131999,kernel_seidel_2d
param_id_0,33,23136137,kernel_seidel_2d
param_id_0,33,23120998,kernel_seidel_2d
param_id_0,33,23134894,kernel_seidel_2d
param_id_0,33,23133702,kernel_seidel_2d
param_id_0,33,23128041,kernel_seidel_2d
param_id_0,41,28737200,kernel_seidel_2d
param_id_0,41,28733083,kernel_seidel_2d
param_id_0,41,28723906,kernel_seidel_2d
param_id_0,41,28759483,kernel_seidel_2d
param_id_0,41,28741148,kernel_seidel_2d
param_id_0,41,28744675,kernel_seidel_2d
param_id_0,41,28735917,kernel_seidel_2d
param_id_0,41,28744435,kernel_seidel_2d
param_id_0,41,28749804,kernel_seidel_2d
param_id_0,41,28738153,kernel_seidel_2d
param_id_0,49,34350337,kernel_seidel_2d
param_id_0,49,34346992,kernel_seidel_2d
param_id_0,49,34345729,kernel_seidel_2d
param_id_0,49,34353974,kernel_seidel_2d
param_id_0,49,34349998,kernel_seidel_2d
param_id_0,49,34349526,kernel_seidel_2d
param_id_0,49,34337974,kernel_seidel_2d
