param,value,time,tag
param_id_0,0,381,sharpen
param_id_0,0,190,sharpen
param_id_0,0,181,sharpen
param_id_0,0,181,sharpen
param_id_0,0,190,sharpen
param_id_0,32,30368,sharpen
param_id_0,32,30288,sharpen
param_id_0,32,30228,sharpen
param_id_0,32,30238,sharpen
param_id_0,32,30227,sharpen
param_id_0,64,62869,sharpen
param_id_0,64,62909,sharpen
param_id_0,64,62869,sharpen
param_id_0,64,62909,sharpen
param_id_0,64,62909,sharpen
param_id_0,96,95522,sharpen
param_id_0,96,95521,sharpen
param_id_0,96,95551,sharpen
param_id_0,96,95551,sharpen
param_id_0,96,95521,sharpen
param_id_0,128,128154,sharpen
param_id_0,128,128164,sharpen
param_id_0,128,128154,sharpen
param_id_0,128,128144,sharpen
param_id_0,128,128154,sharpen
param_id_0,160,160805,sharpen
param_id_0,160,160795,sharpen
param_id_0,160,160805,sharpen
param_id_0,160,160805,sharpen
param_id_0,160,160795,sharpen
param_id_0,192,193428,sharpen
param_id_0,192,193438,sharpen
param_id_0,192,193437,sharpen
param_id_0,192,193437,sharpen
param_id_0,192,193437,sharpen
param_id_0,224,226090,sharpen
param_id_0,224,226070,sharpen
param_id_0,224,226080,sharpen
param_id_0,224,226070,sharpen
param_id_0,224,226079,sharpen
param_id_0,256,258722,sharpen
param_id_0,256,258722,sharpen
param_id_0,256,258712,sharpen
param_id_0,256,262048,sharpen
param_id_0,256,258722,sharpen
param_id_0,288,291364,sharpen
param_id_0,288,291364,sharpen
param_id_0,288,291364,sharpen
param_id_0,288,291363,sharpen
param_id_0,288,291363,sharpen
param_id_0,320,323996,sharpen
param_id_0,320,324006,sharpen
param_id_0,320,323996,sharpen
param_id_0,320,324006,sharpen
param_id_0,320,324005,sharpen
param_id_0,352,356648,sharpen
param_id_0,352,359503,sharpen
param_id_0,352,361968,sharpen
param_id_0,352,356648,sharpen
param_id_0,352,356638,sharpen
param_id_0,384,389280,sharpen
param_id_0,384,389280,sharpen
param_id_0,384,389280,sharpen
param_id_0,384,389280,sharpen
param_id_0,384,389279,sharpen
param_id_0,416,421922,sharpen
param_id_0,416,424477,sharpen
param_id_0,416,426931,sharpen
param_id_0,416,421931,sharpen
param_id_0,416,421912,sharpen
param_id_0,448,454563,sharpen
param_id_0,448,454564,sharpen
param_id_0,448,459574,sharpen
param_id_0,448,454564,sharpen
param_id_0,448,454564,sharpen
param_id_0,480,490021,sharpen
param_id_0,480,487196,sharpen
param_id_0,480,487216,sharpen
param_id_0,480,487216,sharpen
param_id_0,480,487206,sharpen
param_id_1,0,180,sharpen
param_id_1,0,51,sharpen
param_id_1,0,51,sharpen
param_id_1,0,50,sharpen
param_id_1,0,40,sharpen
param_id_1,32,30507,sharpen
param_id_1,32,30478,sharpen
param_id_1,32,30448,sharpen
param_id_1,32,30448,sharpen
param_id_1,32,30448,sharpen
param_id_1,64,62900,sharpen
param_id_1,64,62900,sharpen
param_id_1,64,62879,sharpen
param_id_1,64,62899,sharpen
param_id_1,64,62900,sharpen
param_id_1,96,95291,sharpen
param_id_1,96,95331,sharpen
param_id_1,96,95331,sharpen
param_id_1,96,95281,sharpen
param_id_1,96,95281,sharpen
param_id_1,128,127713,sharpen
param_id_1,128,127712,sharpen
param_id_1,128,127713,sharpen
param_id_1,128,127712,sharpen
param_id_1,128,127713,sharpen
param_id_1,160,160205,sharpen
param_id_1,160,160194,sharpen
param_id_1,160,160204,sharpen
param_id_1,160,160135,sharpen
param_id_1,160,160215,sharpen
param_id_1,192,197976,sharpen
param_id_1,192,195762,sharpen
param_id_1,192,192556,sharpen
param_id_1,192,192556,sharpen
param_id_1,192,192646,sharpen
param_id_1,224,224967,sharpen
param_id_1,224,224978,sharpen
param_id_1,224,225078,sharpen
param_id_1,224,225078,sharpen
param_id_1,224,224987,sharpen
param_id_1,256,257399,sharpen
param_id_1,256,257529,sharpen
param_id_1,256,257520,sharpen
param_id_1,256,257520,sharpen
param_id_1,256,257399,sharpen
param_id_1,288,289971,sharpen
param_id_1,288,290272,sharpen
param_id_1,288,297766,sharpen
param_id_1,288,289811,sharpen
param_id_1,288,289811,sharpen
param_id_1,320,322403,sharpen
param_id_1,320,322393,sharpen
param_id_1,320,322392,sharpen
param_id_1,320,322403,sharpen
param_id_1,320,322393,sharpen
param_id_1,352,354654,sharpen
param_id_1,352,360155,sharpen
param_id_1,352,354825,sharpen
param_id_1,352,354844,sharpen
param_id_1,352,357459,sharpen
param_id_1,384,387075,sharpen
param_id_1,384,387085,sharpen
param_id_1,384,387306,sharpen
param_id_1,384,387086,sharpen
param_id_1,384,387286,sharpen
param_id_1,416,419497,sharpen
param_id_1,416,419708,sharpen
param_id_1,416,419487,sharpen
param_id_1,416,419698,sharpen
param_id_1,416,422773,sharpen
param_id_1,448,452149,sharpen
param_id_1,448,452149,sharpen
param_id_1,448,451929,sharpen
param_id_1,448,451919,sharpen
param_id_1,448,451918,sharpen
param_id_1,480,484581,sharpen
param_id_1,480,484581,sharpen
param_id_1,480,487065,sharpen
param_id_1,480,484601,sharpen
param_id_1,480,484340,sharpen
