param,value,time,tag
param_id_0,0,341,slice
param_id_0,0,40,slice
param_id_0,0,40,slice
param_id_0,0,40,slice
param_id_0,0,40,slice
param_id_0,32,10419,slice
param_id_0,32,7574,slice
param_id_0,32,6472,slice
param_id_0,32,6352,slice
param_id_0,32,6242,slice
param_id_0,64,16681,slice
param_id_0,64,14217,slice
param_id_0,64,13646,slice
param_id_0,64,13386,slice
param_id_0,64,13235,slice
param_id_0,96,23214,slice
param_id_0,96,21571,slice
param_id_0,96,20990,slice
param_id_0,96,20900,slice
param_id_0,96,20579,slice
param_id_0,128,30949,slice
param_id_0,128,29837,slice
param_id_0,128,29256,slice
param_id_0,128,28945,slice
param_id_0,128,28754,slice
param_id_0,160,38673,slice
param_id_0,160,38743,slice
param_id_0,160,43132,slice
param_id_0,160,37631,slice
param_id_0,160,37511,slice
param_id_0,192,47580,slice
param_id_0,192,47781,slice
param_id_0,192,47661,slice
param_id_0,192,47090,slice
param_id_0,192,47140,slice
param_id_0,224,57490,slice
param_id_0,224,58171,slice
param_id_0,224,57499,slice
param_id_0,224,57148,slice
param_id_0,224,57019,slice
param_id_0,256,68410,slice
param_id_0,256,68520,slice
param_id_0,256,68380,slice
param_id_0,256,73029,slice
param_id_0,256,67398,slice
param_id_0,288,78179,slice
param_id_0,288,78249,slice
param_id_0,288,78680,slice
param_id_0,288,78309,slice
param_id_0,288,78269,slice
param_id_0,320,87626,slice
param_id_0,320,89310,slice
param_id_0,320,88228,slice
param_id_0,320,88448,slice
param_id_0,320,88699,slice
param_id_0,352,102925,slice
param_id_0,352,99970,slice
param_id_0,352,99539,slice
param_id_0,352,99509,slice
param_id_0,352,98317,slice
param_id_0,384,110009,slice
param_id_0,384,110380,slice
param_id_0,384,109899,slice
param_id_0,384,114738,slice
param_id_0,384,108557,slice
param_id_0,416,120388,slice
param_id_0,416,121220,slice
param_id_0,416,120759,slice
param_id_0,416,120338,slice
param_id_0,416,120629,slice
param_id_0,448,131550,slice
param_id_0,448,131300,slice
param_id_0,448,130989,slice
param_id_0,448,130938,slice
param_id_0,448,131059,slice
param_id_0,480,141328,slice
param_id_0,480,142441,slice
param_id_0,480,143743,slice
param_id_0,480,142140,slice
param_id_0,480,142130,slice
param_id_1,0,221,slice
param_id_1,0,60,slice
param_id_1,0,50,slice
param_id_1,0,50,slice
param_id_1,0,50,slice
param_id_1,32,10520,slice
param_id_1,32,7465,slice
param_id_1,32,6483,slice
param_id_1,32,6262,slice
param_id_1,32,6112,slice
param_id_1,64,16531,slice
param_id_1,64,13896,slice
param_id_1,64,13425,slice
param_id_1,64,13065,slice
param_id_1,64,12914,slice
param_id_1,96,23435,slice
param_id_1,96,21841,slice
param_id_1,96,21250,slice
param_id_1,96,21120,slice
param_id_1,96,20829,slice
param_id_1,128,30808,slice
param_id_1,128,30368,slice
param_id_1,128,30037,slice
param_id_1,128,29405,slice
param_id_1,128,29175,slice
param_id_1,160,39325,slice
param_id_1,160,39025,slice
param_id_1,160,38684,slice
param_id_1,160,38163,slice
param_id_1,160,38093,slice
param_id_1,192,48062,slice
param_id_1,192,48381,slice
param_id_1,192,48292,slice
param_id_1,192,48131,slice
param_id_1,192,52490,slice
param_id_1,224,57820,slice
param_id_1,224,58341,slice
param_id_1,224,57820,slice
param_id_1,224,57479,slice
param_id_1,224,57229,slice
param_id_1,256,67899,slice
param_id_1,256,68531,slice
param_id_1,256,67859,slice
param_id_1,256,67689,slice
param_id_1,256,67248,slice
param_id_1,288,78258,slice
param_id_1,288,81806,slice
param_id_1,288,77998,slice
param_id_1,288,78159,slice
param_id_1,288,77778,slice
param_id_1,320,88058,slice
param_id_1,320,88297,slice
param_id_1,320,88919,slice
param_id_1,320,88449,slice
param_id_1,320,88588,slice
param_id_1,352,99139,slice
param_id_1,352,99158,slice
param_id_1,352,99239,slice
param_id_1,352,99068,slice
param_id_1,352,98958,slice
param_id_1,384,109087,slice
param_id_1,384,109549,slice
param_id_1,384,108947,slice
param_id_1,384,109308,slice
param_id_1,384,109257,slice
param_id_1,416,119928,slice
param_id_1,416,149073,slice
param_id_1,416,141600,slice
param_id_1,416,119206,slice
param_id_1,416,119838,slice
param_id_1,448,129936,slice
param_id_1,448,130658,slice
param_id_1,448,130488,slice
param_id_1,448,163381,slice
param_id_1,448,134486,slice
param_id_1,480,140917,slice
param_id_1,480,140747,slice
param_id_1,480,140427,slice
param_id_1,480,140397,slice
param_id_1,480,143463,slice
