param,value,time,tag
n,0,651,sort
n,0,401,sort
n,0,862,sort
n,0,541,sort
n,0,421,sort
n,0,160,sort
n,0,341,sort
n,0,551,sort
n,0,420,sort
n,0,431,sort
n,8,1453,sort
n,8,1062,sort
n,8,922,sort
n,8,611,sort
n,8,621,sort
n,8,901,sort
n,8,1212,sort
n,8,601,sort
n,8,902,sort
n,8,781,sort
n,16,1644,sort
n,16,1623,sort
n,16,1693,sort
n,16,1362,sort
n,16,1062,sort
n,16,1322,sort
n,16,1163,sort
n,16,1944,sort
n,16,1362,sort
n,16,1443,sort
n,24,1954,sort
n,24,2094,sort
n,24,2234,sort
n,24,2084,sort
n,24,2004,sort
n,24,2335,sort
n,24,2495,sort
n,24,2315,sort
n,24,2385,sort
n,24,1984,sort
n,32,2866,sort
n,32,2845,sort
n,32,2685,sort
n,32,3286,sort
n,32,3396,sort
n,32,3116,sort
n,32,3537,sort
n,32,3036,sort
n,32,3085,sort
n,32,2685,sort
n,40,3767,sort
n,40,3747,sort
n,40,4338,sort
n,40,4057,sort
n,40,4058,sort
n,40,4489,sort
n,40,4578,sort
n,40,3777,sort
n,40,3907,sort
n,40,4048,sort
n,48,5821,sort
n,48,5731,sort
n,48,5831,sort
n,48,5821,sort
n,48,5711,sort
n,48,5801,sort
n,48,5731,sort
n,48,6372,sort
n,48,5711,sort
n,48,6011,sort
n,56,7454,sort
n,56,7474,sort
n,56,7534,sort
n,56,7204,sort
n,56,7805,sort
n,56,7083,sort
n,56,7465,sort
n,56,7133,sort
n,56,7584,sort
n,56,7474,sort
n,64,8857,sort
n,64,9107,sort
n,64,8847,sort
n,64,8857,sort
n,64,9188,sort
n,64,9097,sort
n,64,8836,sort
n,64,9448,sort
n,64,9127,sort
n,64,9278,sort
n,72,11512,sort
n,72,20849,sort
n,72,11672,sort
n,72,11822,sort
n,72,11512,sort
n,72,11622,sort
n,72,11321,sort
n,72,12133,sort
n,72,11301,sort
n,72,11442,sort
n,80,14317,sort
n,80,14428,sort
n,80,13917,sort
n,80,14418,sort
n,80,14317,sort
n,80,14839,sort
n,80,14317,sort
n,80,14648,sort
n,80,14327,sort
n,80,14298,sort
n,88,16922,sort
n,88,16611,sort
n,88,16631,sort
n,88,16812,sort
n,88,16922,sort
n,88,17343,sort
n,88,17042,sort
n,88,16631,sort
n,88,16983,sort
n,88,17053,sort
n,96,19207,sort
n,96,19207,sort
n,96,19196,sort
n,96,19327,sort
n,96,19327,sort
n,96,19427,sort
n,96,19016,sort
n,96,19036,sort
n,96,19187,sort
n,96,19197,sort
n,104,22202,sort
n,104,21931,sort
n,104,21922,sort
n,104,22212,sort
n,104,22713,sort
n,104,22222,sort
n,104,22883,sort
n,104,22563,sort
n,104,22343,sort
n,104,22383,sort
n,112,24837,sort
n,112,24857,sort
n,112,24827,sort
n,112,25238,sort
n,112,25308,sort
n,112,25629,sort
n,112,25418,sort
n,112,25208,sort
n,112,25198,sort
n,112,25098,sort
n,120,33634,sort
n,120,28514,sort
n,120,28234,sort
n,120,28224,sort
n,120,28123,sort
n,120,28073,sort
n,120,27953,sort
n,120,34966,sort
n,120,28123,sort
n,120,28114,sort
n,128,31871,sort
n,128,32301,sort
n,128,31960,sort
n,128,31961,sort
n,128,40076,sort
n,128,32001,sort
n,128,32381,sort
n,128,31860,sort
n,128,31991,sort
n,128,31760,sort
n,136,37602,sort
n,136,37832,sort
n,136,37832,sort
n,136,37942,sort
n,136,47140,sort
n,136,37772,sort
n,136,37721,sort
n,136,38403,sort
n,136,37832,sort
n,136,38283,sort
n,144,42531,sort
n,144,42581,sort
n,144,42561,sort
n,144,42581,sort
n,144,42560,sort
n,144,42561,sort
n,144,42851,sort
n,144,42230,sort
n,144,42701,sort
n,144,42531,sort
n,152,48763,sort
n,152,46358,sort
n,152,45877,sort
n,152,46348,sort
n,152,46178,sort
n,152,46348,sort
n,152,46068,sort
n,152,46098,sort
n,152,46478,sort
n,152,46208,sort
n,160,51208,sort
n,160,51217,sort
n,160,51208,sort
n,160,51197,sort
n,160,51468,sort
n,160,51247,sort
n,160,51278,sort
n,160,51318,sort
n,160,51308,sort
n,160,51037,sort
n,168,55726,sort
n,168,55856,sort
n,168,55636,sort
n,168,69732,sort
n,168,55666,sort
n,168,55846,sort
n,168,57670,sort
n,168,55675,sort
n,168,55856,sort
n,168,56989,sort
n,176,60745,sort
n,176,61046,sort
n,176,60475,sort
n,176,60656,sort
n,176,60786,sort
n,176,60415,sort
n,176,67559,sort
n,176,60976,sort
n,176,60395,sort
n,176,60395,sort
n,184,65004,sort
n,184,64813,sort
n,184,64933,sort
n,184,64814,sort
n,184,64723,sort
n,184,64823,sort
n,184,64532,sort
n,184,64833,sort
n,184,64873,sort
n,184,65023,sort
n,192,70313,sort
n,192,70404,sort
n,192,70184,sort
n,192,70424,sort
n,192,70264,sort
n,192,70304,sort
n,192,70213,sort
n,192,70293,sort
n,192,70404,sort
n,192,70474,sort
n,200,75764,sort
n,200,75934,sort
n,200,76065,sort
n,200,75884,sort
n,200,75713,sort
n,200,75854,sort
n,200,75744,sort
n,200,75904,sort
n,200,75974,sort
n,200,75864,sort
n,208,81254,sort
n,208,81354,sort
n,208,81675,sort
n,208,81395,sort
n,208,81445,sort
n,208,81505,sort
n,208,81515,sort
n,208,81404,sort
n,208,81405,sort
n,208,81285,sort
n,216,86705,sort
n,216,86795,sort
n,216,86244,sort
n,216,86495,sort
n,216,86404,sort
n,216,86385,sort
n,216,93508,sort
n,216,87857,sort
n,216,86705,sort
n,216,86545,sort
n,224,93167,sort
n,224,93267,sort
n,224,92906,sort
n,224,93047,sort
n,224,93358,sort
n,224,92967,sort
n,224,93268,sort
n,224,93047,sort
n,224,93578,sort
n,224,92986,sort
n,232,99178,sort
n,232,99218,sort
n,232,99198,sort
n,232,99138,sort
n,232,99098,sort
n,232,99288,sort
n,232,99008,sort
n,232,99379,sort
n,232,99158,sort
n,232,107033,sort
n,240,105591,sort
n,240,106122,sort
n,240,105961,sort
n,240,105901,sort
n,240,105901,sort
n,240,105831,sort
n,240,106763,sort
n,240,105862,sort
n,240,106683,sort
n,240,106072,sort
n,248,112744,sort
n,248,112995,sort
n,248,112694,sort
n,248,112754,sort
n,248,112995,sort
n,248,112564,sort
n,248,112704,sort
n,248,113135,sort
n,248,113156,sort
n,248,112995,sort
n,256,119968,sort
n,256,120268,sort
n,256,119798,sort
n,256,120249,sort
n,256,120018,sort
n,256,120479,sort
n,256,120168,sort
n,256,119648,sort
n,256,119658,sort
n,256,120069,sort
n,264,126791,sort
n,264,126791,sort
n,264,127452,sort
n,264,126781,sort
n,264,128284,sort
n,264,127011,sort
n,264,127022,sort
n,264,127111,sort
n,264,126852,sort
n,264,126911,sort
n,272,146608,sort
n,272,137392,sort
n,272,164042,sort
n,272,137862,sort
n,272,137250,sort
n,272,150286,sort
n,272,137011,sort
n,272,140798,sort
n,272,137281,sort
n,272,137220,sort
n,280,145878,sort
n,280,145767,sort
n,280,167308,sort
n,280,145967,sort
n,280,146448,sort
n,280,145797,sort
n,280,145627,sort
n,280,145898,sort
n,280,145907,sort
n,280,146108,sort
n,288,154975,sort
n,288,155475,sort
n,288,155356,sort
n,288,155265,sort
n,288,172348,sort
n,288,155255,sort
n,288,194210,sort
n,288,155746,sort
n,288,184521,sort
n,288,155366,sort
n,296,162980,sort
n,296,162869,sort
n,296,163170,sort
n,296,168922,sort
n,296,163110,sort
n,296,169091,sort
n,296,162488,sort
n,296,183749,sort
n,296,162629,sort
n,296,163160,sort
n,304,169221,sort
n,304,169202,sort
n,304,169232,sort
n,304,169212,sort
n,304,169082,sort
n,304,169892,sort
n,304,170174,sort
n,304,169242,sort
n,304,175835,sort
n,304,169472,sort
n,312,178409,sort
n,312,178088,sort
n,312,177948,sort
n,312,178178,sort
n,312,177958,sort
n,312,178069,sort
n,312,177958,sort
n,312,178359,sort
n,312,178079,sort
n,312,178209,sort
n,320,187015,sort
n,320,187266,sort
n,320,186725,sort
n,320,187126,sort
n,320,187126,sort
n,320,186965,sort
n,320,186885,sort
n,320,186755,sort
n,320,187046,sort
n,320,192485,sort
n,328,200040,sort
n,328,200040,sort
n,328,199990,sort
n,328,199850,sort
n,328,200160,sort
n,328,199970,sort
n,328,199900,sort
n,328,199920,sort
n,328,200020,sort
n,328,199579,sort
n,336,208246,sort
n,336,208306,sort
n,336,208687,sort
n,336,208246,sort
n,336,208356,sort
n,336,208156,sort
n,336,208135,sort
n,336,208777,sort
n,336,208136,sort
n,336,208015,sort
n,344,217413,sort
n,344,217333,sort
n,344,226100,sort
n,344,217293,sort
n,344,217323,sort
n,344,217664,sort
n,344,217413,sort
n,344,217363,sort
n,344,217313,sort
n,344,217102,sort
n,352,227151,sort
n,352,226971,sort
n,352,227212,sort
n,352,226922,sort
n,352,227161,sort
n,352,227573,sort
n,352,227473,sort
n,352,227082,sort
n,352,227292,sort
n,352,236560,sort
n,360,257589,sort
n,360,236389,sort
n,360,275553,sort
n,360,236720,sort
n,360,287085,sort
n,360,236520,sort
n,360,286895,sort
n,360,236740,sort
n,360,271175,sort
n,360,236609,sort
n,368,268229,sort
n,368,247851,sort
n,368,252670,sort
n,368,247991,sort
n,368,247691,sort
n,368,247821,sort
n,368,247711,sort
n,368,248112,sort
n,368,248222,sort
n,368,247981,sort
n,376,258521,sort
n,376,266165,sort
n,376,258762,sort
n,376,263752,sort
n,376,258973,sort
n,376,258701,sort
n,376,258641,sort
n,376,258752,sort
n,376,259002,sort
n,376,258511,sort
n,384,267679,sort
n,384,268020,sort
n,384,267679,sort
n,384,267929,sort
n,384,267779,sort
n,384,268030,sort
n,384,267639,sort
n,384,268049,sort
n,384,268020,sort
n,384,267889,sort
n,392,277598,sort
n,392,278008,sort
n,392,277658,sort
n,392,277547,sort
n,392,284270,sort
n,392,277557,sort
n,392,277657,sort
n,392,277647,sort
n,392,277828,sort
n,392,277357,sort
n,400,288197,sort
n,400,288288,sort
n,400,295161,sort
n,400,288548,sort
n,400,288118,sort
n,400,288178,sort
n,400,288318,sort
n,400,288498,sort
n,400,288048,sort
n,400,295832,sort
n,408,305611,sort
n,408,305751,sort
n,408,305620,sort
n,408,305751,sort
n,408,305621,sort
n,408,305741,sort
n,408,305511,sort
n,408,305891,sort
n,408,305861,sort
n,408,306022,sort
n,416,316422,sort
n,416,316211,sort
n,416,316592,sort
n,416,316151,sort
n,416,316211,sort
n,416,316712,sort
n,416,316291,sort
n,416,316271,sort
n,416,316472,sort
n,416,316191,sort
n,424,328103,sort
n,424,327593,sort
n,424,327663,sort
n,424,327603,sort
n,424,328425,sort
n,424,327562,sort
n,424,327582,sort
n,424,327472,sort
n,424,331019,sort
n,424,327603,sort
n,432,346128,sort
n,432,341029,sort
n,432,345036,sort
n,432,340768,sort
n,432,348582,sort
n,432,340778,sort
n,432,340908,sort
n,432,341008,sort
n,432,380142,sort
n,432,340517,sort
n,440,379962,sort
n,440,376916,sort
n,440,358802,sort
n,440,403126,sort
n,440,359022,sort
n,440,358702,sort
n,440,363921,sort
n,440,358802,sort
n,440,358692,sort
n,440,364092,sort
n,448,370975,sort
n,448,394359,sort
n,448,370454,sort
n,448,389861,sort
n,448,370834,sort
n,448,370605,sort
n,448,370714,sort
n,448,370965,sort
n,448,370675,sort
n,448,378890,sort
n,456,387587,sort
n,456,388538,sort
n,456,388097,sort
n,456,388027,sort
n,456,388218,sort
n,456,387857,sort
n,456,387557,sort
n,456,388228,sort
n,456,393107,sort
n,456,387817,sort
n,464,436249,sort
n,464,443463,sort
n,464,406172,sort
n,464,433353,sort
n,464,406493,sort
n,464,406322,sort
n,464,406633,sort
n,464,447260,sort
n,464,406332,sort
n,464,406072,sort
n,472,477016,sort
n,472,420369,sort
n,472,420570,sort
n,472,427693,sort
n,472,463912,sort
n,472,420399,sort
n,472,423586,sort
n,472,475553,sort
n,472,420299,sort
n,472,420409,sort
n,480,437171,sort
n,480,470334,sort
n,480,432302,sort
n,480,441208,sort
n,480,494039,sort
n,480,432402,sort
n,480,432272,sort
n,480,432402,sort
n,480,464583,sort
n,480,433213,sort
n,488,446879,sort
n,488,446799,sort
n,488,452119,sort
n,488,446960,sort
n,488,447050,sort
n,488,454193,sort
n,488,446859,sort
n,488,446939,sort
n,488,451798,sort
n,488,447079,sort
n,496,467810,sort
n,496,474693,sort
n,496,467608,sort
n,496,467589,sort
n,496,472749,sort
n,496,467588,sort
n,496,467840,sort
n,496,467699,sort
n,496,467749,sort
n,496,467339,sort
n,504,482698,sort
n,504,482868,sort
n,504,490452,sort
n,504,482608,sort
n,504,482577,sort
n,504,482598,sort
n,504,482577,sort
n,504,483329,sort
n,504,482587,sort
n,504,483139,sort
n,512,499359,sort
n,512,498728,sort
n,512,504599,sort
n,512,508185,sort
n,512,499139,sort
n,512,503677,sort
n,512,503877,sort
