param,value,time,tag
param_id_0,0,250,square_root
param_id_0,0,90,square_root
param_id_0,0,100,square_root
param_id_0,0,130,square_root
param_id_0,0,130,square_root
param_id_0,32,4899,square_root
param_id_0,32,350,square_root
param_id_0,32,351,square_root
param_id_0,32,301,square_root
param_id_0,32,261,square_root
param_id_0,64,671,square_root
param_id_0,64,571,square_root
param_id_0,64,421,square_root
param_id_0,64,460,square_root
param_id_0,64,371,square_root
param_id_0,96,912,square_root
param_id_0,96,872,square_root
param_id_0,96,711,square_root
param_id_0,96,611,square_root
param_id_0,96,591,square_root
param_id_0,128,1052,square_root
param_id_0,128,991,square_root
param_id_0,128,681,square_root
param_id_0,128,721,square_root
param_id_0,128,701,square_root
param_id_0,160,1122,square_root
param_id_0,160,1092,square_root
param_id_0,160,872,square_root
param_id_0,160,862,square_root
param_id_0,160,872,square_root
param_id_0,192,1303,square_root
param_id_0,192,1193,square_root
param_id_0,192,1072,square_root
param_id_0,192,1072,square_root
param_id_0,192,992,square_root
param_id_0,224,1383,square_root
param_id_0,224,1513,square_root
param_id_0,224,1282,square_root
param_id_0,224,1262,square_root
param_id_0,224,1302,square_root
param_id_0,256,1653,square_root
param_id_0,256,1603,square_root
param_id_0,256,1372,square_root
param_id_0,256,1382,square_root
param_id_0,256,1373,square_root
param_id_0,288,1773,square_root
param_id_0,288,1603,square_root
param_id_0,288,1593,square_root
param_id_0,288,1503,square_root
param_id_0,288,1503,square_root
param_id_0,320,2054,square_root
param_id_0,320,1884,square_root
param_id_0,320,1723,square_root
param_id_0,320,1683,square_root
param_id_0,320,1693,square_root
param_id_0,352,2134,square_root
param_id_0,352,1963,square_root
param_id_0,352,1843,square_root
param_id_0,352,1894,square_root
param_id_0,352,1864,square_root
param_id_0,384,2264,square_root
param_id_0,384,2064,square_root
param_id_0,384,2014,square_root
param_id_0,384,1994,square_root
param_id_0,384,1983,square_root
param_id_0,416,2464,square_root
param_id_0,416,2254,square_root
param_id_0,416,2204,square_root
param_id_0,416,2194,square_root
param_id_0,416,2194,square_root
param_id_0,448,2665,square_root
param_id_0,448,2424,square_root
param_id_0,448,2374,square_root
param_id_0,448,2315,square_root
param_id_0,448,2364,square_root
param_id_0,480,2695,square_root
param_id_0,480,2515,square_root
param_id_0,480,2615,square_root
param_id_0,480,2444,square_root
param_id_0,480,2415,square_root
