param,value,time,tag
param_id_0,1,2255,squash
param_id_0,1,1643,squash
param_id_0,1,1533,squash
param_id_0,1,1513,squash
param_id_0,1,1522,squash
param_id_0,1,1493,squash
param_id_0,1,1503,squash
param_id_0,1,1513,squash
param_id_0,1,1523,squash
param_id_0,1,1563,squash
param_id_0,9,12134,squash
param_id_0,9,11983,squash
param_id_0,9,11892,squash
param_id_0,9,12113,squash
param_id_0,9,12043,squash
param_id_0,9,12203,squash
param_id_0,9,12093,squash
param_id_0,9,12173,squash
param_id_0,9,12163,squash
param_id_0,9,12173,squash
param_id_0,17,22463,squash
param_id_0,17,22313,squash
param_id_0,17,22382,squash
param_id_0,17,22563,squash
param_id_0,17,22703,squash
param_id_0,17,22312,squash
param_id_0,17,22883,squash
param_id_0,17,22813,squash
param_id_0,17,22373,squash
param_id_0,17,22633,squash
param_id_0,25,32963,squash
param_id_0,25,32952,squash
param_id_0,25,32992,squash
param_id_0,25,33082,squash
param_id_0,25,32812,squash
param_id_0,25,32763,squash
param_id_0,25,32762,squash
param_id_0,25,32812,squash
param_id_0,25,32672,squash
param_id_0,25,32952,squash
param_id_0,33,43202,squash
param_id_0,33,43322,squash
param_id_0,33,43503,squash
param_id_0,33,43622,squash
param_id_0,33,46679,squash
param_id_0,33,43573,squash
param_id_0,33,43192,squash
param_id_0,33,43573,squash
param_id_0,33,43172,squash
param_id_0,33,43072,squash
param_id_0,41,53982,squash
param_id_0,41,54103,squash
param_id_0,41,53582,squash
param_id_0,41,53562,squash
param_id_0,41,53832,squash
param_id_0,41,53732,squash
param_id_0,41,53702,squash
param_id_0,41,53722,squash
param_id_0,41,53853,squash
param_id_0,41,53742,squash
param_id_0,49,64413,squash
param_id_0,49,64132,squash
param_id_0,49,64813,squash
param_id_0,49,63421,squash
param_id_0,49,64412,squash
param_id_0,49,64081,squash
param_id_0,49,64442,squash
param_id_0,49,63601,squash
param_id_0,49,63902,squash
param_id_0,49,64272,squash
param_id_0,57,74221,squash
param_id_0,57,75073,squash
param_id_0,57,74542,squash
param_id_0,57,74431,squash
param_id_0,57,74622,squash
param_id_0,57,74221,squash
param_id_0,57,74652,squash
param_id_0,57,74271,squash
param_id_0,57,74181,squash
param_id_0,57,74692,squash
param_id_0,65,85022,squash
param_id_0,65,85102,squash
param_id_0,65,84981,squash
param_id_0,65,84821,squash
param_id_0,65,85242,squash
param_id_0,65,84922,squash
param_id_0,65,84932,squash
param_id_0,65,85182,squash
param_id_0,65,85032,squash
param_id_0,65,84931,squash
param_id_0,73,95121,squash
param_id_0,73,95030,squash
param_id_0,73,95441,squash
param_id_0,73,95160,squash
param_id_0,73,95481,squash
param_id_0,73,95221,squash
param_id_0,73,95391,squash
param_id_0,73,95141,squash
param_id_0,73,94961,squash
param_id_0,73,95321,squash
param_id_0,81,105851,squash
param_id_0,81,106151,squash
param_id_0,81,106392,squash
param_id_0,81,106122,squash
param_id_0,81,105911,squash
param_id_0,81,105601,squash
param_id_0,81,106232,squash
param_id_0,81,105441,squash
param_id_0,81,108125,squash
param_id_0,81,110940,squash
param_id_0,89,116331,squash
param_id_0,89,116081,squash
param_id_0,89,116110,squash
param_id_0,89,116291,squash
param_id_0,89,116090,squash
param_id_0,89,116190,squash
param_id_0,89,115770,squash
param_id_0,89,116241,squash
param_id_0,89,116351,squash
param_id_0,89,118065,squash
param_id_0,97,127202,squash
param_id_0,97,126411,squash
param_id_0,97,126520,squash
param_id_0,97,126460,squash
param_id_0,97,126219,squash
param_id_0,97,126590,squash
param_id_0,97,126760,squash
param_id_0,97,126791,squash
param_id_0,97,131831,squash
param_id_0,97,126651,squash
param_id_0,105,136620,squash
param_id_0,105,136509,squash
param_id_0,105,137171,squash
param_id_0,105,136520,squash
param_id_0,105,137341,squash
param_id_0,105,136690,squash
param_id_0,105,142250,squash
param_id_0,105,136870,squash
param_id_0,105,136750,squash
param_id_0,105,136680,squash
param_id_0,113,150075,squash
param_id_0,113,152850,squash
param_id_0,113,147921,squash
param_id_0,113,147520,squash
param_id_0,113,147831,squash
param_id_0,113,147140,squash
param_id_0,113,147881,squash
param_id_0,113,147410,squash
param_id_0,113,147510,squash
param_id_0,113,147621,squash
param_id_0,121,229186,squash
param_id_0,121,228775,squash
param_id_0,121,157449,squash
param_id_0,121,157689,squash
param_id_0,121,158140,squash
param_id_0,121,158461,squash
param_id_0,121,156968,squash
param_id_0,121,157870,squash
param_id_0,121,157710,squash
param_id_0,121,157529,squash
param_id_0,129,167979,squash
param_id_0,129,168780,squash
param_id_0,129,168040,squash
param_id_0,129,168470,squash
param_id_0,129,168490,squash
param_id_0,129,167999,squash
param_id_0,129,170985,squash
param_id_0,129,168220,squash
param_id_0,129,167779,squash
param_id_0,129,169913,squash
param_id_0,137,179070,squash
param_id_0,137,178920,squash
param_id_0,137,178529,squash
param_id_0,137,178669,squash
param_id_0,137,178529,squash
param_id_0,137,178740,squash
param_id_0,137,178008,squash
param_id_0,137,183478,squash
