param,value,time,tag
param_id_0,1,992,str_ncat
param_id_0,1,541,str_ncat
param_id_0,1,601,str_ncat
param_id_0,1,471,str_ncat
param_id_0,1,491,str_ncat
param_id_0,1,491,str_ncat
param_id_0,1,501,str_ncat
param_id_0,1,491,str_ncat
param_id_0,1,491,str_ncat
param_id_0,1,481,str_ncat
param_id_0,9,541,str_ncat
param_id_0,9,521,str_ncat
param_id_0,9,501,str_ncat
param_id_0,9,521,str_ncat
param_id_0,9,461,str_ncat
param_id_0,9,501,str_ncat
param_id_0,9,631,str_ncat
param_id_0,9,521,str_ncat
param_id_0,9,511,str_ncat
param_id_0,9,521,str_ncat
param_id_0,17,531,str_ncat
param_id_0,17,521,str_ncat
param_id_0,17,501,str_ncat
param_id_0,17,521,str_ncat
param_id_0,17,521,str_ncat
param_id_0,17,521,str_ncat
param_id_0,17,531,str_ncat
param_id_0,17,521,str_ncat
param_id_0,17,511,str_ncat
param_id_0,17,501,str_ncat
param_id_0,25,531,str_ncat
param_id_0,25,541,str_ncat
param_id_0,25,521,str_ncat
param_id_0,25,521,str_ncat
param_id_0,25,561,str_ncat
param_id_0,25,521,str_ncat
param_id_0,25,531,str_ncat
param_id_0,25,521,str_ncat
param_id_0,25,532,str_ncat
param_id_0,25,521,str_ncat
param_id_0,33,551,str_ncat
param_id_0,33,531,str_ncat
param_id_0,33,551,str_ncat
param_id_0,33,541,str_ncat
param_id_0,33,541,str_ncat
param_id_0,33,531,str_ncat
param_id_0,33,551,str_ncat
param_id_0,33,531,str_ncat
param_id_0,33,541,str_ncat
param_id_0,33,521,str_ncat
param_id_0,41,541,str_ncat
param_id_0,41,571,str_ncat
param_id_0,41,551,str_ncat
param_id_0,41,531,str_ncat
param_id_0,41,531,str_ncat
param_id_0,41,541,str_ncat
param_id_0,41,521,str_ncat
param_id_0,41,521,str_ncat
param_id_0,41,531,str_ncat
param_id_0,41,551,str_ncat
param_id_0,49,591,str_ncat
param_id_0,49,571,str_ncat
param_id_0,49,561,str_ncat
param_id_0,49,691,str_ncat
param_id_0,49,561,str_ncat
param_id_0,49,691,str_ncat
param_id_0,49,571,str_ncat
param_id_0,49,572,str_ncat
param_id_0,49,561,str_ncat
param_id_0,49,591,str_ncat
param_id_0,57,581,str_ncat
param_id_0,57,581,str_ncat
param_id_0,57,581,str_ncat
param_id_0,57,581,str_ncat
param_id_0,57,561,str_ncat
param_id_0,57,561,str_ncat
param_id_0,57,521,str_ncat
param_id_0,57,591,str_ncat
param_id_0,57,592,str_ncat
param_id_0,57,581,str_ncat
param_id_0,65,591,str_ncat
param_id_0,65,591,str_ncat
param_id_0,65,561,str_ncat
param_id_0,65,581,str_ncat
param_id_0,65,641,str_ncat
param_id_0,65,611,str_ncat
param_id_0,65,571,str_ncat
param_id_0,65,581,str_ncat
param_id_0,65,571,str_ncat
param_id_0,65,571,str_ncat
param_id_0,73,602,str_ncat
param_id_0,73,601,str_ncat
param_id_0,73,591,str_ncat
param_id_0,73,561,str_ncat
param_id_0,73,581,str_ncat
param_id_0,73,601,str_ncat
param_id_0,73,592,str_ncat
param_id_0,73,581,str_ncat
param_id_0,73,612,str_ncat
param_id_0,73,571,str_ncat
param_id_0,81,641,str_ncat
param_id_0,81,762,str_ncat
param_id_0,81,672,str_ncat
param_id_0,81,681,str_ncat
param_id_0,81,601,str_ncat
param_id_0,81,591,str_ncat
param_id_0,81,591,str_ncat
param_id_0,81,581,str_ncat
param_id_0,81,611,str_ncat
param_id_0,81,591,str_ncat
param_id_0,89,541,str_ncat
param_id_0,89,601,str_ncat
param_id_0,89,591,str_ncat
param_id_0,89,601,str_ncat
param_id_0,89,612,str_ncat
param_id_0,89,591,str_ncat
param_id_0,89,621,str_ncat
param_id_0,89,591,str_ncat
param_id_0,89,581,str_ncat
param_id_0,89,591,str_ncat
param_id_0,97,621,str_ncat
param_id_0,97,601,str_ncat
param_id_0,97,581,str_ncat
param_id_0,97,582,str_ncat
param_id_0,97,601,str_ncat
param_id_0,97,631,str_ncat
param_id_0,97,571,str_ncat
param_id_0,97,592,str_ncat
param_id_0,97,601,str_ncat
param_id_0,97,591,str_ncat
param_id_0,105,591,str_ncat
param_id_0,105,601,str_ncat
param_id_0,105,571,str_ncat
param_id_0,105,591,str_ncat
param_id_0,105,611,str_ncat
param_id_0,105,591,str_ncat
param_id_0,105,601,str_ncat
param_id_0,105,721,str_ncat
param_id_0,105,581,str_ncat
param_id_0,105,732,str_ncat
param_id_0,113,581,str_ncat
param_id_0,113,591,str_ncat
param_id_0,113,621,str_ncat
param_id_0,113,601,str_ncat
param_id_0,113,591,str_ncat
param_id_0,113,601,str_ncat
param_id_0,113,591,str_ncat
param_id_0,113,591,str_ncat
param_id_0,113,582,str_ncat
param_id_0,113,591,str_ncat
param_id_0,121,561,str_ncat
param_id_0,121,541,str_ncat
param_id_0,121,551,str_ncat
param_id_0,121,591,str_ncat
param_id_0,121,591,str_ncat
param_id_0,121,591,str_ncat
param_id_0,121,591,str_ncat
param_id_0,121,602,str_ncat
param_id_0,121,581,str_ncat
param_id_0,121,592,str_ncat
param_id_0,129,581,str_ncat
param_id_0,129,601,str_ncat
param_id_0,129,561,str_ncat
param_id_0,129,601,str_ncat
param_id_0,129,581,str_ncat
param_id_0,129,572,str_ncat
param_id_0,129,551,str_ncat
param_id_0,129,591,str_ncat
param_id_0,129,581,str_ncat
param_id_0,129,601,str_ncat
param_id_0,137,602,str_ncat
param_id_0,137,591,str_ncat
param_id_0,137,561,str_ncat
param_id_0,137,591,str_ncat
param_id_0,137,611,str_ncat
param_id_0,137,591,str_ncat
param_id_0,137,591,str_ncat
param_id_0,137,581,str_ncat
param_id_0,137,581,str_ncat
param_id_0,137,592,str_ncat
param_id_0,145,601,str_ncat
param_id_0,145,611,str_ncat
param_id_0,145,741,str_ncat
param_id_0,145,602,str_ncat
param_id_0,145,591,str_ncat
param_id_0,145,551,str_ncat
param_id_0,145,701,str_ncat
param_id_0,145,591,str_ncat
param_id_0,145,742,str_ncat
param_id_0,145,601,str_ncat
param_id_0,153,551,str_ncat
param_id_0,153,592,str_ncat
param_id_0,153,722,str_ncat
param_id_0,153,601,str_ncat
param_id_0,153,741,str_ncat
param_id_0,153,601,str_ncat
param_id_0,153,611,str_ncat
param_id_0,153,621,str_ncat
param_id_0,153,591,str_ncat
param_id_0,153,612,str_ncat
param_id_0,161,701,str_ncat
param_id_0,161,611,str_ncat
param_id_0,161,611,str_ncat
param_id_0,161,601,str_ncat
param_id_0,161,591,str_ncat
param_id_0,161,621,str_ncat
param_id_0,161,591,str_ncat
param_id_0,161,611,str_ncat
param_id_0,161,591,str_ncat
param_id_0,161,601,str_ncat
param_id_0,169,601,str_ncat
param_id_0,169,591,str_ncat
param_id_0,169,591,str_ncat
param_id_0,169,591,str_ncat
param_id_0,169,611,str_ncat
param_id_0,169,591,str_ncat
param_id_0,169,591,str_ncat
param_id_0,169,581,str_ncat
param_id_0,169,621,str_ncat
param_id_0,169,602,str_ncat
param_id_0,177,591,str_ncat
param_id_0,177,581,str_ncat
param_id_0,177,591,str_ncat
