param,value,time,tag
param_id_0,1,742,str_ncmp
param_id_0,1,111,str_ncmp
param_id_0,1,80,str_ncmp
param_id_0,1,120,str_ncmp
param_id_0,1,70,str_ncmp
param_id_0,1,71,str_ncmp
param_id_0,1,80,str_ncmp
param_id_0,1,90,str_ncmp
param_id_0,1,110,str_ncmp
param_id_0,1,111,str_ncmp
param_id_0,9,150,str_ncmp
param_id_0,9,181,str_ncmp
param_id_0,9,130,str_ncmp
param_id_0,9,111,str_ncmp
param_id_0,9,131,str_ncmp
param_id_0,9,140,str_ncmp
param_id_0,9,130,str_ncmp
param_id_0,9,140,str_ncmp
param_id_0,9,120,str_ncmp
param_id_0,9,151,str_ncmp
param_id_0,17,171,str_ncmp
param_id_0,17,101,str_ncmp
param_id_0,17,130,str_ncmp
param_id_0,17,130,str_ncmp
param_id_0,17,140,str_ncmp
param_id_0,17,100,str_ncmp
param_id_0,17,140,str_ncmp
param_id_0,17,100,str_ncmp
param_id_0,17,151,str_ncmp
param_id_0,17,150,str_ncmp
param_id_0,25,170,str_ncmp
param_id_0,25,171,str_ncmp
param_id_0,25,161,str_ncmp
param_id_0,25,130,str_ncmp
param_id_0,25,110,str_ncmp
param_id_0,25,111,str_ncmp
param_id_0,25,131,str_ncmp
param_id_0,25,111,str_ncmp
param_id_0,25,110,str_ncmp
param_id_0,25,151,str_ncmp
param_id_0,33,150,str_ncmp
param_id_0,33,180,str_ncmp
param_id_0,33,181,str_ncmp
param_id_0,33,180,str_ncmp
param_id_0,33,121,str_ncmp
param_id_0,33,140,str_ncmp
param_id_0,33,181,str_ncmp
param_id_0,33,120,str_ncmp
param_id_0,33,170,str_ncmp
param_id_0,33,160,str_ncmp
param_id_0,41,201,str_ncmp
param_id_0,41,220,str_ncmp
param_id_0,41,180,str_ncmp
param_id_0,41,140,str_ncmp
param_id_0,41,130,str_ncmp
param_id_0,41,160,str_ncmp
param_id_0,41,170,str_ncmp
param_id_0,41,161,str_ncmp
param_id_0,41,211,str_ncmp
param_id_0,41,160,str_ncmp
param_id_0,49,161,str_ncmp
param_id_0,49,240,str_ncmp
param_id_0,49,181,str_ncmp
param_id_0,49,180,str_ncmp
param_id_0,49,180,str_ncmp
param_id_0,49,160,str_ncmp
param_id_0,49,190,str_ncmp
param_id_0,49,151,str_ncmp
param_id_0,49,131,str_ncmp
param_id_0,49,120,str_ncmp
param_id_0,57,190,str_ncmp
param_id_0,57,140,str_ncmp
param_id_0,57,140,str_ncmp
param_id_0,57,151,str_ncmp
param_id_0,57,150,str_ncmp
param_id_0,57,150,str_ncmp
param_id_0,57,141,str_ncmp
param_id_0,57,140,str_ncmp
param_id_0,57,180,str_ncmp
param_id_0,57,180,str_ncmp
param_id_0,65,140,str_ncmp
param_id_0,65,130,str_ncmp
param_id_0,65,140,str_ncmp
param_id_0,65,161,str_ncmp
param_id_0,65,170,str_ncmp
param_id_0,65,150,str_ncmp
param_id_0,65,170,str_ncmp
param_id_0,65,171,str_ncmp
param_id_0,65,160,str_ncmp
param_id_0,65,140,str_ncmp
param_id_0,73,120,str_ncmp
param_id_0,73,141,str_ncmp
param_id_0,73,140,str_ncmp
param_id_0,73,140,str_ncmp
param_id_0,73,140,str_ncmp
param_id_0,73,210,str_ncmp
param_id_0,73,121,str_ncmp
param_id_0,73,140,str_ncmp
param_id_0,73,171,str_ncmp
param_id_0,73,140,str_ncmp
param_id_0,81,120,str_ncmp
param_id_0,81,181,str_ncmp
param_id_0,81,180,str_ncmp
param_id_0,81,140,str_ncmp
param_id_0,81,130,str_ncmp
param_id_0,81,141,str_ncmp
param_id_0,81,131,str_ncmp
param_id_0,81,140,str_ncmp
param_id_0,81,150,str_ncmp
param_id_0,81,150,str_ncmp
param_id_0,89,140,str_ncmp
param_id_0,89,140,str_ncmp
param_id_0,89,170,str_ncmp
param_id_0,89,170,str_ncmp
param_id_0,89,140,str_ncmp
param_id_0,89,140,str_ncmp
param_id_0,89,181,str_ncmp
param_id_0,89,131,str_ncmp
param_id_0,89,130,str_ncmp
param_id_0,89,180,str_ncmp
param_id_0,97,180,str_ncmp
param_id_0,97,131,str_ncmp
param_id_0,97,130,str_ncmp
param_id_0,97,141,str_ncmp
param_id_0,97,130,str_ncmp
param_id_0,97,170,str_ncmp
param_id_0,97,130,str_ncmp
param_id_0,97,231,str_ncmp
param_id_0,97,170,str_ncmp
param_id_0,97,130,str_ncmp
param_id_0,105,131,str_ncmp
param_id_0,105,171,str_ncmp
param_id_0,105,140,str_ncmp
param_id_0,105,160,str_ncmp
param_id_0,105,140,str_ncmp
param_id_0,105,130,str_ncmp
param_id_0,105,170,str_ncmp
param_id_0,105,181,str_ncmp
param_id_0,105,190,str_ncmp
param_id_0,105,170,str_ncmp
param_id_0,113,170,str_ncmp
param_id_0,113,130,str_ncmp
param_id_0,113,131,str_ncmp
param_id_0,113,150,str_ncmp
param_id_0,113,140,str_ncmp
param_id_0,113,140,str_ncmp
param_id_0,113,131,str_ncmp
param_id_0,113,141,str_ncmp
param_id_0,113,120,str_ncmp
param_id_0,113,150,str_ncmp
param_id_0,121,270,str_ncmp
param_id_0,121,171,str_ncmp
param_id_0,121,191,str_ncmp
param_id_0,121,141,str_ncmp
param_id_0,121,181,str_ncmp
param_id_0,121,150,str_ncmp
param_id_0,121,140,str_ncmp
param_id_0,121,151,str_ncmp
param_id_0,121,140,str_ncmp
param_id_0,121,140,str_ncmp
param_id_0,129,131,str_ncmp
param_id_0,129,140,str_ncmp
param_id_0,129,120,str_ncmp
param_id_0,129,120,str_ncmp
param_id_0,129,130,str_ncmp
param_id_0,129,140,str_ncmp
param_id_0,129,120,str_ncmp
param_id_0,129,141,str_ncmp
param_id_0,129,140,str_ncmp
param_id_0,129,140,str_ncmp
param_id_0,137,160,str_ncmp
param_id_0,137,141,str_ncmp
param_id_0,137,140,str_ncmp
param_id_0,137,130,str_ncmp
param_id_0,137,141,str_ncmp
param_id_0,137,141,str_ncmp
param_id_0,137,140,str_ncmp
param_id_0,137,140,str_ncmp
param_id_0,137,131,str_ncmp
param_id_0,137,141,str_ncmp
param_id_0,145,131,str_ncmp
param_id_0,145,131,str_ncmp
param_id_0,145,121,str_ncmp
param_id_0,145,131,str_ncmp
param_id_0,145,130,str_ncmp
param_id_0,145,130,str_ncmp
param_id_0,145,150,str_ncmp
