param,value,time,tag
n,0,1763,str_ncpy
n,0,100,str_ncpy
n,0,80,str_ncpy
n,0,60,str_ncpy
n,0,50,str_ncpy
n,0,71,str_ncpy
n,0,50,str_ncpy
n,0,71,str_ncpy
n,0,90,str_ncpy
n,0,60,str_ncpy
n,8,120,str_ncpy
n,8,110,str_ncpy
n,8,71,str_ncpy
n,8,100,str_ncpy
n,8,60,str_ncpy
n,8,71,str_ncpy
n,8,70,str_ncpy
n,8,50,str_ncpy
n,8,70,str_ncpy
n,8,80,str_ncpy
n,16,210,str_ncpy
n,16,150,str_ncpy
n,16,181,str_ncpy
n,16,80,str_ncpy
n,16,80,str_ncpy
n,16,171,str_ncpy
n,16,70,str_ncpy
n,16,60,str_ncpy
n,16,160,str_ncpy
n,16,80,str_ncpy
n,24,180,str_ncpy
n,24,240,str_ncpy
n,24,200,str_ncpy
n,24,100,str_ncpy
n,24,61,str_ncpy
n,24,141,str_ncpy
n,24,70,str_ncpy
n,24,120,str_ncpy
n,24,291,str_ncpy
n,24,130,str_ncpy
n,32,70,str_ncpy
n,32,120,str_ncpy
n,32,150,str_ncpy
n,32,101,str_ncpy
n,32,80,str_ncpy
n,32,140,str_ncpy
n,32,60,str_ncpy
n,32,110,str_ncpy
n,32,160,str_ncpy
n,32,110,str_ncpy
n,40,171,str_ncpy
n,40,200,str_ncpy
n,40,70,str_ncpy
n,40,100,str_ncpy
n,40,90,str_ncpy
n,40,110,str_ncpy
n,40,90,str_ncpy
n,40,110,str_ncpy
n,40,60,str_ncpy
n,40,50,str_ncpy
n,48,70,str_ncpy
n,48,80,str_ncpy
n,48,90,str_ncpy
n,48,130,str_ncpy
n,48,90,str_ncpy
n,48,80,str_ncpy
n,48,60,str_ncpy
n,48,70,str_ncpy
n,48,110,str_ncpy
n,48,90,str_ncpy
n,56,70,str_ncpy
n,56,110,str_ncpy
n,56,170,str_ncpy
n,56,70,str_ncpy
n,56,100,str_ncpy
n,56,120,str_ncpy
n,56,60,str_ncpy
n,56,120,str_ncpy
n,56,60,str_ncpy
n,56,81,str_ncpy
n,64,70,str_ncpy
n,64,80,str_ncpy
n,64,80,str_ncpy
n,64,101,str_ncpy
n,64,231,str_ncpy
n,64,80,str_ncpy
n,64,70,str_ncpy
n,64,70,str_ncpy
n,64,80,str_ncpy
n,64,90,str_ncpy
n,72,200,str_ncpy
n,72,60,str_ncpy
n,72,121,str_ncpy
n,72,80,str_ncpy
n,72,180,str_ncpy
n,72,121,str_ncpy
n,72,211,str_ncpy
n,72,120,str_ncpy
n,72,110,str_ncpy
n,72,120,str_ncpy
n,80,130,str_ncpy
n,80,120,str_ncpy
n,80,70,str_ncpy
n,80,120,str_ncpy
n,80,100,str_ncpy
n,80,71,str_ncpy
n,80,230,str_ncpy
n,80,90,str_ncpy
n,80,111,str_ncpy
n,80,81,str_ncpy
n,88,110,str_ncpy
n,88,80,str_ncpy
n,88,121,str_ncpy
n,88,70,str_ncpy
n,88,111,str_ncpy
n,88,70,str_ncpy
n,88,120,str_ncpy
n,88,80,str_ncpy
n,88,111,str_ncpy
n,88,60,str_ncpy
n,96,120,str_ncpy
n,96,111,str_ncpy
n,96,120,str_ncpy
n,96,91,str_ncpy
n,96,111,str_ncpy
n,96,80,str_ncpy
n,96,120,str_ncpy
n,96,120,str_ncpy
n,96,131,str_ncpy
n,96,71,str_ncpy
n,104,121,str_ncpy
n,104,120,str_ncpy
n,104,81,str_ncpy
n,104,70,str_ncpy
n,104,70,str_ncpy
n,104,70,str_ncpy
n,104,110,str_ncpy
n,104,80,str_ncpy
n,104,81,str_ncpy
n,104,110,str_ncpy
n,112,80,str_ncpy
n,112,170,str_ncpy
n,112,70,str_ncpy
n,112,70,str_ncpy
n,112,70,str_ncpy
n,112,70,str_ncpy
n,112,170,str_ncpy
n,112,70,str_ncpy
n,112,91,str_ncpy
n,112,111,str_ncpy
n,120,80,str_ncpy
n,120,71,str_ncpy
n,120,91,str_ncpy
n,120,120,str_ncpy
n,120,90,str_ncpy
n,120,110,str_ncpy
n,120,70,str_ncpy
n,120,90,str_ncpy
n,120,70,str_ncpy
n,120,101,str_ncpy
n,128,80,str_ncpy
n,128,60,str_ncpy
n,128,110,str_ncpy
n,128,81,str_ncpy
n,128,110,str_ncpy
n,128,60,str_ncpy
n,128,141,str_ncpy
n,128,81,str_ncpy
n,128,101,str_ncpy
n,128,120,str_ncpy
n,136,70,str_ncpy
n,136,60,str_ncpy
n,136,110,str_ncpy
n,136,130,str_ncpy
n,136,70,str_ncpy
n,136,80,str_ncpy
n,136,70,str_ncpy
n,136,80,str_ncpy
n,136,71,str_ncpy
n,136,70,str_ncpy
n,144,70,str_ncpy
n,144,70,str_ncpy
n,144,70,str_ncpy
n,144,110,str_ncpy
n,144,80,str_ncpy
n,144,80,str_ncpy
n,144,210,str_ncpy
n,144,80,str_ncpy
n,144,90,str_ncpy
n,144,80,str_ncpy
n,152,90,str_ncpy
n,152,60,str_ncpy
n,152,161,str_ncpy
n,152,70,str_ncpy
n,152,60,str_ncpy
n,152,60,str_ncpy
n,152,100,str_ncpy
n,152,80,str_ncpy
n,152,70,str_ncpy
n,152,100,str_ncpy
n,160,150,str_ncpy
n,160,80,str_ncpy
n,160,70,str_ncpy
n,160,130,str_ncpy
n,160,181,str_ncpy
n,160,110,str_ncpy
n,160,220,str_ncpy
n,160,60,str_ncpy
n,160,70,str_ncpy
n,160,60,str_ncpy
n,168,90,str_ncpy
n,168,70,str_ncpy
n,168,80,str_ncpy
n,168,120,str_ncpy
n,168,161,str_ncpy
n,168,161,str_ncpy
n,168,130,str_ncpy
n,168,110,str_ncpy
n,168,121,str_ncpy
n,168,120,str_ncpy
n,176,81,str_ncpy
n,176,110,str_ncpy
n,176,110,str_ncpy
n,176,81,str_ncpy
n,176,110,str_ncpy
n,176,80,str_ncpy
n,176,110,str_ncpy
n,176,81,str_ncpy
n,176,110,str_ncpy
n,176,140,str_ncpy
n,184,110,str_ncpy
n,184,70,str_ncpy
n,184,120,str_ncpy
n,184,130,str_ncpy
n,184,110,str_ncpy
n,184,91,str_ncpy
n,184,120,str_ncpy
n,184,100,str_ncpy
n,184,110,str_ncpy
n,184,120,str_ncpy
n,192,151,str_ncpy
n,192,120,str_ncpy
n,192,120,str_ncpy
n,192,120,str_ncpy
n,192,120,str_ncpy
n,192,60,str_ncpy
n,192,81,str_ncpy
n,192,70,str_ncpy
n,192,121,str_ncpy
n,192,80,str_ncpy
n,200,110,str_ncpy
n,200,110,str_ncpy
n,200,70,str_ncpy
n,200,100,str_ncpy
n,200,90,str_ncpy
n,200,140,str_ncpy
n,200,110,str_ncpy
n,200,70,str_ncpy
n,200,70,str_ncpy
n,200,131,str_ncpy
n,208,60,str_ncpy
n,208,111,str_ncpy
n,208,71,str_ncpy
n,208,140,str_ncpy
n,208,70,str_ncpy
n,208,130,str_ncpy
n,208,81,str_ncpy
n,208,140,str_ncpy
n,208,60,str_ncpy
n,208,120,str_ncpy
n,216,140,str_ncpy
n,216,110,str_ncpy
n,216,80,str_ncpy
n,216,201,str_ncpy
n,216,110,str_ncpy
n,216,130,str_ncpy
n,216,120,str_ncpy
n,216,120,str_ncpy
n,216,70,str_ncpy
n,216,110,str_ncpy
n,224,60,str_ncpy
n,224,70,str_ncpy
n,224,100,str_ncpy
n,224,120,str_ncpy
n,224,110,str_ncpy
n,224,70,str_ncpy
n,224,70,str_ncpy
n,224,70,str_ncpy
n,224,71,str_ncpy
n,224,60,str_ncpy
n,232,60,str_ncpy
n,232,170,str_ncpy
n,232,120,str_ncpy
n,232,70,str_ncpy
n,232,60,str_ncpy
n,232,90,str_ncpy
n,232,70,str_ncpy
n,232,110,str_ncpy
