param,value,time,tag
n,0,1523,subeq
n,0,451,subeq
n,0,1062,subeq
n,0,981,subeq
n,0,972,subeq
n,0,832,subeq
n,0,511,subeq
n,0,631,subeq
n,0,481,subeq
n,0,531,subeq
n,8,631,subeq
n,8,621,subeq
n,8,1172,subeq
n,8,531,subeq
n,8,1152,subeq
n,8,962,subeq
n,8,651,subeq
n,8,541,subeq
n,8,521,subeq
n,8,1173,subeq
n,16,892,subeq
n,16,1082,subeq
n,16,1072,subeq
n,16,762,subeq
n,16,561,subeq
n,16,582,subeq
n,16,1102,subeq
n,16,802,subeq
n,16,1743,subeq
n,16,1082,subeq
n,24,1182,subeq
n,24,1763,subeq
n,24,671,subeq
n,24,1102,subeq
n,24,651,subeq
n,24,872,subeq
n,24,1082,subeq
n,24,1132,subeq
n,24,1112,subeq
n,24,591,subeq
n,32,591,subeq
n,32,682,subeq
n,32,551,subeq
n,32,822,subeq
n,32,972,subeq
n,32,1102,subeq
n,32,742,subeq
n,32,541,subeq
n,32,1212,subeq
n,32,1323,subeq
n,40,1372,subeq
n,40,771,subeq
n,40,471,subeq
n,40,1313,subeq
n,40,652,subeq
n,40,561,subeq
n,40,792,subeq
n,40,771,subeq
n,40,1092,subeq
n,40,962,subeq
n,48,1322,subeq
n,48,1333,subeq
n,48,1203,subeq
n,48,1203,subeq
n,48,1062,subeq
n,48,591,subeq
n,48,591,subeq
n,48,761,subeq
n,48,952,subeq
n,48,562,subeq
n,56,1213,subeq
n,56,1603,subeq
n,56,942,subeq
n,56,601,subeq
n,56,601,subeq
n,56,1102,subeq
n,56,1443,subeq
n,56,972,subeq
n,56,692,subeq
n,56,771,subeq
n,64,1112,subeq
n,64,772,subeq
n,64,1343,subeq
n,64,791,subeq
n,64,1192,subeq
n,64,772,subeq
n,64,581,subeq
n,64,902,subeq
n,64,902,subeq
n,64,591,subeq
n,72,1323,subeq
n,72,682,subeq
n,72,611,subeq
n,72,772,subeq
n,72,912,subeq
n,72,1332,subeq
n,72,1223,subeq
n,72,1663,subeq
n,72,611,subeq
n,72,822,subeq
n,80,1222,subeq
n,80,801,subeq
n,80,1232,subeq
n,80,822,subeq
n,80,932,subeq
n,80,782,subeq
n,80,621,subeq
n,80,892,subeq
n,80,931,subeq
n,80,631,subeq
n,88,1242,subeq
n,88,821,subeq
n,88,781,subeq
n,88,1203,subeq
n,88,1453,subeq
