param,value,time,tag
b,0,862,subeq_sca
b,0,661,subeq_sca
b,0,832,subeq_sca
b,0,952,subeq_sca
b,0,762,subeq_sca
b,0,992,subeq_sca
b,0,1302,subeq_sca
b,0,1112,subeq_sca
b,0,1002,subeq_sca
b,0,1002,subeq_sca
b,8,1052,subeq_sca
b,8,982,subeq_sca
b,8,1232,subeq_sca
b,8,1062,subeq_sca
b,8,752,subeq_sca
b,8,982,subeq_sca
b,8,1042,subeq_sca
b,8,1162,subeq_sca
b,8,872,subeq_sca
b,8,1813,subeq_sca
b,16,1293,subeq_sca
b,16,841,subeq_sca
b,16,871,subeq_sca
b,16,862,subeq_sca
b,16,861,subeq_sca
b,16,1012,subeq_sca
b,16,892,subeq_sca
b,16,831,subeq_sca
b,16,992,subeq_sca
b,16,852,subeq_sca
b,24,450,subeq_sca
b,24,481,subeq_sca
b,24,661,subeq_sca
b,24,882,subeq_sca
b,24,952,subeq_sca
b,24,692,subeq_sca
b,24,812,subeq_sca
b,24,862,subeq_sca
b,24,861,subeq_sca
b,24,882,subeq_sca
b,32,1263,subeq_sca
b,32,682,subeq_sca
b,32,852,subeq_sca
b,32,892,subeq_sca
b,32,1372,subeq_sca
b,32,1272,subeq_sca
b,32,781,subeq_sca
b,32,881,subeq_sca
b,32,902,subeq_sca
b,32,841,subeq_sca
b,40,481,subeq_sca
b,40,471,subeq_sca
b,40,992,subeq_sca
b,40,1012,subeq_sca
b,40,992,subeq_sca
b,40,942,subeq_sca
b,40,1813,subeq_sca
b,40,1362,subeq_sca
b,40,1002,subeq_sca
b,40,892,subeq_sca
b,48,892,subeq_sca
b,48,761,subeq_sca
b,48,861,subeq_sca
b,48,1323,subeq_sca
b,48,471,subeq_sca
b,48,450,subeq_sca
b,48,881,subeq_sca
b,48,861,subeq_sca
b,48,892,subeq_sca
b,48,992,subeq_sca
b,56,852,subeq_sca
b,56,822,subeq_sca
b,56,1002,subeq_sca
b,56,791,subeq_sca
b,56,871,subeq_sca
b,56,1042,subeq_sca
b,56,1022,subeq_sca
b,56,892,subeq_sca
b,56,872,subeq_sca
b,56,782,subeq_sca
b,64,801,subeq_sca
b,64,481,subeq_sca
b,64,861,subeq_sca
b,64,1113,subeq_sca
b,64,972,subeq_sca
b,64,1032,subeq_sca
b,64,872,subeq_sca
b,64,851,subeq_sca
b,64,992,subeq_sca
b,64,861,subeq_sca
b,72,1253,subeq_sca
b,72,871,subeq_sca
b,72,852,subeq_sca
b,72,882,subeq_sca
b,72,862,subeq_sca
b,72,861,subeq_sca
b,72,1082,subeq_sca
b,72,792,subeq_sca
b,72,692,subeq_sca
b,72,861,subeq_sca
b,80,1162,subeq_sca
b,80,1202,subeq_sca
b,80,862,subeq_sca
b,80,861,subeq_sca
b,80,842,subeq_sca
b,80,1012,subeq_sca
b,80,941,subeq_sca
b,80,742,subeq_sca
b,80,1022,subeq_sca
b,80,1072,subeq_sca
b,88,812,subeq_sca
b,88,982,subeq_sca
b,88,842,subeq_sca
b,88,862,subeq_sca
b,88,1092,subeq_sca
b,88,952,subeq_sca
b,88,742,subeq_sca
b,88,972,subeq_sca
b,88,862,subeq_sca
b,88,1253,subeq_sca
b,96,992,subeq_sca
b,96,982,subeq_sca
b,96,471,subeq_sca
b,96,881,subeq_sca
b,96,992,subeq_sca
b,96,702,subeq_sca
b,96,1603,subeq_sca
b,96,841,subeq_sca
b,96,741,subeq_sca
b,96,752,subeq_sca
b,104,862,subeq_sca
b,104,841,subeq_sca
b,104,652,subeq_sca
b,104,962,subeq_sca
b,104,642,subeq_sca
b,104,441,subeq_sca
b,104,732,subeq_sca
b,104,1543,subeq_sca
b,104,1002,subeq_sca
b,104,1192,subeq_sca
b,112,992,subeq_sca
b,112,872,subeq_sca
b,112,731,subeq_sca
b,112,752,subeq_sca
b,112,1163,subeq_sca
b,112,882,subeq_sca
b,112,531,subeq_sca
b,112,932,subeq_sca
b,112,881,subeq_sca
b,112,862,subeq_sca
b,120,1553,subeq_sca
b,120,1052,subeq_sca
b,120,881,subeq_sca
b,120,782,subeq_sca
b,120,851,subeq_sca
b,120,721,subeq_sca
b,120,972,subeq_sca
b,120,731,subeq_sca
b,120,1082,subeq_sca
b,120,1092,subeq_sca
b,128,1032,subeq_sca
b,128,941,subeq_sca
b,128,932,subeq_sca
b,128,691,subeq_sca
b,128,862,subeq_sca
b,128,1012,subeq_sca
b,128,852,subeq_sca
b,128,1001,subeq_sca
b,128,1593,subeq_sca
b,128,881,subeq_sca
b,136,712,subeq_sca
b,136,972,subeq_sca
b,136,782,subeq_sca
b,136,862,subeq_sca
b,136,862,subeq_sca
b,136,961,subeq_sca
b,136,851,subeq_sca
b,136,892,subeq_sca
b,136,841,subeq_sca
b,136,992,subeq_sca
b,144,972,subeq_sca
b,144,882,subeq_sca
b,144,1042,subeq_sca
b,144,1583,subeq_sca
b,144,992,subeq_sca
b,144,992,subeq_sca
b,144,841,subeq_sca
b,144,932,subeq_sca
b,144,1072,subeq_sca
b,144,631,subeq_sca
b,152,1603,subeq_sca
b,152,872,subeq_sca
b,152,1573,subeq_sca
b,152,871,subeq_sca
b,152,891,subeq_sca
b,152,901,subeq_sca
b,152,872,subeq_sca
b,152,761,subeq_sca
b,152,861,subeq_sca
b,152,882,subeq_sca
b,160,862,subeq_sca
b,160,1002,subeq_sca
b,160,581,subeq_sca
b,160,892,subeq_sca
b,160,851,subeq_sca
b,160,992,subeq_sca
b,160,1062,subeq_sca
b,160,1032,subeq_sca
b,160,871,subeq_sca
b,160,902,subeq_sca
b,168,842,subeq_sca
b,168,1192,subeq_sca
b,168,1222,subeq_sca
b,168,921,subeq_sca
b,168,992,subeq_sca
b,168,871,subeq_sca
b,168,1242,subeq_sca
b,168,741,subeq_sca
b,168,852,subeq_sca
b,168,961,subeq_sca
b,176,962,subeq_sca
b,176,481,subeq_sca
b,176,471,subeq_sca
b,176,981,subeq_sca
b,176,461,subeq_sca
b,176,1002,subeq_sca
b,176,1152,subeq_sca
b,176,881,subeq_sca
b,176,871,subeq_sca
b,176,992,subeq_sca
b,184,962,subeq_sca
b,184,791,subeq_sca
b,184,1162,subeq_sca
b,184,952,subeq_sca
b,184,1493,subeq_sca
b,184,871,subeq_sca
b,184,1002,subeq_sca
b,184,862,subeq_sca
b,184,862,subeq_sca
b,184,882,subeq_sca
b,192,851,subeq_sca
b,192,1011,subeq_sca
b,192,862,subeq_sca
b,192,872,subeq_sca
b,192,971,subeq_sca
b,192,741,subeq_sca
b,192,1162,subeq_sca
b,192,1312,subeq_sca
b,192,852,subeq_sca
b,192,872,subeq_sca
b,200,982,subeq_sca
b,200,782,subeq_sca
b,200,792,subeq_sca
b,200,891,subeq_sca
b,200,741,subeq_sca
b,200,1373,subeq_sca
b,200,852,subeq_sca
b,200,1503,subeq_sca
b,200,791,subeq_sca
b,200,1002,subeq_sca
b,208,992,subeq_sca
b,208,872,subeq_sca
b,208,881,subeq_sca
b,208,1012,subeq_sca
b,208,821,subeq_sca
b,208,982,subeq_sca
b,208,761,subeq_sca
b,208,862,subeq_sca
b,208,491,subeq_sca
b,208,952,subeq_sca
b,216,761,subeq_sca
b,216,1002,subeq_sca
b,216,862,subeq_sca
b,216,842,subeq_sca
b,216,481,subeq_sca
b,216,832,subeq_sca
b,216,1162,subeq_sca
b,216,460,subeq_sca
b,216,1362,subeq_sca
b,216,732,subeq_sca
b,224,1203,subeq_sca
b,224,1322,subeq_sca
b,224,1834,subeq_sca
b,224,1021,subeq_sca
b,224,1503,subeq_sca
b,224,752,subeq_sca
b,224,881,subeq_sca
b,224,1002,subeq_sca
b,224,982,subeq_sca
b,224,872,subeq_sca
b,232,1483,subeq_sca
b,232,1012,subeq_sca
b,232,851,subeq_sca
b,232,831,subeq_sca
b,232,801,subeq_sca
b,232,692,subeq_sca
b,232,892,subeq_sca
b,232,481,subeq_sca
b,232,451,subeq_sca
b,232,962,subeq_sca
b,240,1272,subeq_sca
b,240,1332,subeq_sca
b,240,972,subeq_sca
b,240,972,subeq_sca
b,240,972,subeq_sca
b,240,832,subeq_sca
b,240,1823,subeq_sca
b,240,982,subeq_sca
b,240,732,subeq_sca
b,240,1563,subeq_sca
b,248,832,subeq_sca
b,248,782,subeq_sca
b,248,841,subeq_sca
b,248,2134,subeq_sca
b,248,1163,subeq_sca
b,248,882,subeq_sca
b,248,851,subeq_sca
b,248,1152,subeq_sca
b,248,932,subeq_sca
b,248,1472,subeq_sca
b,256,971,subeq_sca
b,256,962,subeq_sca
b,256,962,subeq_sca
b,256,1573,subeq_sca
b,256,691,subeq_sca
b,256,952,subeq_sca
b,256,862,subeq_sca
b,256,1082,subeq_sca
b,256,752,subeq_sca
b,256,872,subeq_sca
b,264,841,subeq_sca
b,264,992,subeq_sca
b,264,862,subeq_sca
b,264,762,subeq_sca
b,264,1022,subeq_sca
b,264,832,subeq_sca
b,264,1573,subeq_sca
b,264,1293,subeq_sca
b,264,1483,subeq_sca
b,264,852,subeq_sca
b,272,2705,subeq_sca
b,272,771,subeq_sca
b,272,1202,subeq_sca
b,272,992,subeq_sca
b,272,641,subeq_sca
b,272,1062,subeq_sca
b,272,741,subeq_sca
b,272,851,subeq_sca
b,272,992,subeq_sca
b,272,992,subeq_sca
b,280,1192,subeq_sca
b,280,962,subeq_sca
b,280,982,subeq_sca
b,280,832,subeq_sca
b,280,962,subeq_sca
b,280,1162,subeq_sca
b,280,791,subeq_sca
b,280,862,subeq_sca
b,280,862,subeq_sca
b,280,1493,subeq_sca
b,288,862,subeq_sca
b,288,902,subeq_sca
b,288,871,subeq_sca
b,288,952,subeq_sca
b,288,992,subeq_sca
b,288,982,subeq_sca
b,288,922,subeq_sca
b,288,781,subeq_sca
b,288,1012,subeq_sca
b,288,972,subeq_sca
b,296,982,subeq_sca
b,296,1472,subeq_sca
b,296,1092,subeq_sca
b,296,460,subeq_sca
b,296,1032,subeq_sca
b,296,862,subeq_sca
b,296,1042,subeq_sca
b,296,871,subeq_sca
b,296,972,subeq_sca
b,296,761,subeq_sca
b,304,782,subeq_sca
b,304,2094,subeq_sca
b,304,902,subeq_sca
b,304,851,subeq_sca
b,304,962,subeq_sca
b,304,692,subeq_sca
b,304,901,subeq_sca
b,304,1332,subeq_sca
b,304,841,subeq_sca
b,304,1153,subeq_sca
b,312,1062,subeq_sca
b,312,1002,subeq_sca
b,312,741,subeq_sca
b,312,1603,subeq_sca
b,312,1022,subeq_sca
b,312,1012,subeq_sca
b,312,981,subeq_sca
