param,value,time,tag
param_id_0,1,922,subtract_of_min_reverse
param_id_0,1,1202,subtract_of_min_reverse
param_id_0,1,711,subtract_of_min_reverse
param_id_0,1,571,subtract_of_min_reverse
param_id_0,1,241,subtract_of_min_reverse
param_id_0,1,361,subtract_of_min_reverse
param_id_0,1,531,subtract_of_min_reverse
param_id_0,1,882,subtract_of_min_reverse
param_id_0,1,771,subtract_of_min_reverse
param_id_0,1,1213,subtract_of_min_reverse
param_id_0,9,731,subtract_of_min_reverse
param_id_0,9,1332,subtract_of_min_reverse
param_id_0,9,1202,subtract_of_min_reverse
param_id_0,9,962,subtract_of_min_reverse
param_id_0,9,971,subtract_of_min_reverse
param_id_0,9,1082,subtract_of_min_reverse
param_id_0,9,912,subtract_of_min_reverse
param_id_0,9,581,subtract_of_min_reverse
param_id_0,9,671,subtract_of_min_reverse
param_id_0,9,571,subtract_of_min_reverse
param_id_0,17,1362,subtract_of_min_reverse
param_id_0,17,721,subtract_of_min_reverse
param_id_0,17,661,subtract_of_min_reverse
param_id_0,17,461,subtract_of_min_reverse
param_id_0,17,1012,subtract_of_min_reverse
param_id_0,17,501,subtract_of_min_reverse
param_id_0,17,1333,subtract_of_min_reverse
param_id_0,17,421,subtract_of_min_reverse
param_id_0,17,1372,subtract_of_min_reverse
param_id_0,17,692,subtract_of_min_reverse
param_id_0,25,722,subtract_of_min_reverse
param_id_0,25,1804,subtract_of_min_reverse
param_id_0,25,1372,subtract_of_min_reverse
param_id_0,25,1794,subtract_of_min_reverse
param_id_0,25,722,subtract_of_min_reverse
param_id_0,25,371,subtract_of_min_reverse
param_id_0,25,1022,subtract_of_min_reverse
param_id_0,25,972,subtract_of_min_reverse
param_id_0,25,1242,subtract_of_min_reverse
param_id_0,25,652,subtract_of_min_reverse
param_id_0,33,1793,subtract_of_min_reverse
param_id_0,33,2034,subtract_of_min_reverse
param_id_0,33,752,subtract_of_min_reverse
param_id_0,33,922,subtract_of_min_reverse
param_id_0,33,832,subtract_of_min_reverse
param_id_0,33,892,subtract_of_min_reverse
param_id_0,33,1343,subtract_of_min_reverse
param_id_0,33,741,subtract_of_min_reverse
param_id_0,33,892,subtract_of_min_reverse
param_id_0,33,721,subtract_of_min_reverse
param_id_0,41,1082,subtract_of_min_reverse
param_id_0,41,752,subtract_of_min_reverse
param_id_0,41,1153,subtract_of_min_reverse
param_id_0,41,591,subtract_of_min_reverse
param_id_0,41,511,subtract_of_min_reverse
param_id_0,41,1913,subtract_of_min_reverse
param_id_0,41,751,subtract_of_min_reverse
param_id_0,41,1032,subtract_of_min_reverse
param_id_0,41,952,subtract_of_min_reverse
param_id_0,41,1673,subtract_of_min_reverse
param_id_0,49,1823,subtract_of_min_reverse
param_id_0,49,1914,subtract_of_min_reverse
param_id_0,49,951,subtract_of_min_reverse
param_id_0,49,842,subtract_of_min_reverse
param_id_0,49,972,subtract_of_min_reverse
param_id_0,49,1714,subtract_of_min_reverse
param_id_0,49,521,subtract_of_min_reverse
param_id_0,49,901,subtract_of_min_reverse
param_id_0,49,1032,subtract_of_min_reverse
param_id_0,49,1933,subtract_of_min_reverse
param_id_0,57,1313,subtract_of_min_reverse
param_id_0,57,1072,subtract_of_min_reverse
param_id_0,57,931,subtract_of_min_reverse
param_id_0,57,1152,subtract_of_min_reverse
param_id_0,57,832,subtract_of_min_reverse
param_id_0,57,891,subtract_of_min_reverse
param_id_0,57,932,subtract_of_min_reverse
param_id_0,57,1042,subtract_of_min_reverse
param_id_0,57,1804,subtract_of_min_reverse
param_id_0,57,1183,subtract_of_min_reverse
param_id_0,65,1313,subtract_of_min_reverse
param_id_0,65,1262,subtract_of_min_reverse
param_id_0,65,1152,subtract_of_min_reverse
param_id_0,65,1273,subtract_of_min_reverse
param_id_0,65,1372,subtract_of_min_reverse
param_id_0,65,1232,subtract_of_min_reverse
param_id_0,65,2294,subtract_of_min_reverse
param_id_0,65,1442,subtract_of_min_reverse
param_id_0,65,932,subtract_of_min_reverse
param_id_0,65,2024,subtract_of_min_reverse
param_id_0,73,1031,subtract_of_min_reverse
param_id_0,73,1954,subtract_of_min_reverse
param_id_0,73,1493,subtract_of_min_reverse
param_id_0,73,1232,subtract_of_min_reverse
param_id_0,73,2224,subtract_of_min_reverse
param_id_0,73,2595,subtract_of_min_reverse
param_id_0,73,1282,subtract_of_min_reverse
param_id_0,73,1903,subtract_of_min_reverse
param_id_0,73,1223,subtract_of_min_reverse
param_id_0,73,1874,subtract_of_min_reverse
param_id_0,81,1142,subtract_of_min_reverse
param_id_0,81,1052,subtract_of_min_reverse
param_id_0,81,1162,subtract_of_min_reverse
param_id_0,81,1233,subtract_of_min_reverse
param_id_0,81,621,subtract_of_min_reverse
param_id_0,81,1192,subtract_of_min_reverse
param_id_0,81,1844,subtract_of_min_reverse
param_id_0,81,1613,subtract_of_min_reverse
param_id_0,81,1153,subtract_of_min_reverse
param_id_0,81,1442,subtract_of_min_reverse
param_id_0,89,1213,subtract_of_min_reverse
param_id_0,89,1513,subtract_of_min_reverse
param_id_0,89,1533,subtract_of_min_reverse
param_id_0,89,1072,subtract_of_min_reverse
param_id_0,89,1062,subtract_of_min_reverse
param_id_0,89,1483,subtract_of_min_reverse
param_id_0,89,1082,subtract_of_min_reverse
param_id_0,89,1303,subtract_of_min_reverse
param_id_0,89,1172,subtract_of_min_reverse
param_id_0,89,1052,subtract_of_min_reverse
param_id_0,97,1433,subtract_of_min_reverse
param_id_0,97,2234,subtract_of_min_reverse
param_id_0,97,1132,subtract_of_min_reverse
param_id_0,97,962,subtract_of_min_reverse
param_id_0,97,1843,subtract_of_min_reverse
param_id_0,97,921,subtract_of_min_reverse
param_id_0,97,1302,subtract_of_min_reverse
param_id_0,97,1332,subtract_of_min_reverse
param_id_0,97,872,subtract_of_min_reverse
param_id_0,97,1513,subtract_of_min_reverse
param_id_0,105,1002,subtract_of_min_reverse
param_id_0,105,1323,subtract_of_min_reverse
param_id_0,105,1002,subtract_of_min_reverse
param_id_0,105,1814,subtract_of_min_reverse
param_id_0,105,1613,subtract_of_min_reverse
param_id_0,105,2064,subtract_of_min_reverse
param_id_0,105,1282,subtract_of_min_reverse
param_id_0,105,1293,subtract_of_min_reverse
param_id_0,105,1332,subtract_of_min_reverse
param_id_0,105,1202,subtract_of_min_reverse
param_id_0,113,921,subtract_of_min_reverse
param_id_0,113,1253,subtract_of_min_reverse
param_id_0,113,1222,subtract_of_min_reverse
param_id_0,113,921,subtract_of_min_reverse
param_id_0,113,1633,subtract_of_min_reverse
param_id_0,113,1062,subtract_of_min_reverse
param_id_0,113,1914,subtract_of_min_reverse
param_id_0,113,1062,subtract_of_min_reverse
param_id_0,113,1242,subtract_of_min_reverse
param_id_0,113,932,subtract_of_min_reverse
param_id_0,121,1553,subtract_of_min_reverse
param_id_0,121,2074,subtract_of_min_reverse
param_id_0,121,1273,subtract_of_min_reverse
param_id_0,121,1823,subtract_of_min_reverse
param_id_0,121,2655,subtract_of_min_reverse
param_id_0,121,1413,subtract_of_min_reverse
param_id_0,121,1383,subtract_of_min_reverse
param_id_0,121,1413,subtract_of_min_reverse
param_id_0,121,1132,subtract_of_min_reverse
param_id_0,121,1382,subtract_of_min_reverse
param_id_0,129,1122,subtract_of_min_reverse
param_id_0,129,2244,subtract_of_min_reverse
param_id_0,129,1503,subtract_of_min_reverse
param_id_0,129,1483,subtract_of_min_reverse
param_id_0,129,1272,subtract_of_min_reverse
param_id_0,129,1333,subtract_of_min_reverse
param_id_0,129,1793,subtract_of_min_reverse
param_id_0,129,1403,subtract_of_min_reverse
param_id_0,129,2205,subtract_of_min_reverse
param_id_0,129,1323,subtract_of_min_reverse
param_id_0,137,1493,subtract_of_min_reverse
param_id_0,137,1463,subtract_of_min_reverse
param_id_0,137,1513,subtract_of_min_reverse
param_id_0,137,1493,subtract_of_min_reverse
param_id_0,137,1513,subtract_of_min_reverse
param_id_0,137,952,subtract_of_min_reverse
param_id_0,137,2234,subtract_of_min_reverse
param_id_0,137,1704,subtract_of_min_reverse
param_id_0,137,1513,subtract_of_min_reverse
param_id_0,137,1392,subtract_of_min_reverse
param_id_0,145,2044,subtract_of_min_reverse
param_id_0,145,2164,subtract_of_min_reverse
param_id_0,145,2395,subtract_of_min_reverse
param_id_0,145,2114,subtract_of_min_reverse
param_id_0,145,1413,subtract_of_min_reverse
param_id_0,145,1413,subtract_of_min_reverse
