param,value,time,tag
n,0,1042,sum_abs
n,0,902,sum_abs
n,0,461,sum_abs
n,0,501,sum_abs
n,0,441,sum_abs
n,0,401,sum_abs
n,0,451,sum_abs
n,0,551,sum_abs
n,0,461,sum_abs
n,0,441,sum_abs
n,8,1773,sum_abs
n,8,782,sum_abs
n,8,882,sum_abs
n,8,1152,sum_abs
n,8,2204,sum_abs
n,8,1272,sum_abs
n,8,871,sum_abs
n,8,852,sum_abs
n,8,1042,sum_abs
n,8,1242,sum_abs
n,16,1062,sum_abs
n,16,771,sum_abs
n,16,1243,sum_abs
n,16,912,sum_abs
n,16,1142,sum_abs
n,16,1272,sum_abs
n,16,1143,sum_abs
n,16,871,sum_abs
n,16,1443,sum_abs
n,16,802,sum_abs
n,24,1142,sum_abs
n,24,1373,sum_abs
n,24,822,sum_abs
n,24,1493,sum_abs
n,24,802,sum_abs
n,24,821,sum_abs
n,24,962,sum_abs
n,24,791,sum_abs
n,24,972,sum_abs
n,24,1223,sum_abs
n,32,832,sum_abs
n,32,731,sum_abs
n,32,832,sum_abs
n,32,1223,sum_abs
n,32,1132,sum_abs
n,32,831,sum_abs
n,32,821,sum_abs
n,32,982,sum_abs
n,32,1092,sum_abs
n,32,1272,sum_abs
n,40,1493,sum_abs
n,40,1292,sum_abs
n,40,882,sum_abs
n,40,1473,sum_abs
n,40,1322,sum_abs
n,40,852,sum_abs
n,40,862,sum_abs
n,40,761,sum_abs
n,40,852,sum_abs
n,40,1644,sum_abs
n,48,1152,sum_abs
n,48,892,sum_abs
n,48,1002,sum_abs
n,48,1273,sum_abs
n,48,752,sum_abs
n,48,742,sum_abs
n,48,872,sum_abs
n,48,1513,sum_abs
n,48,892,sum_abs
n,48,912,sum_abs
n,56,922,sum_abs
n,56,1542,sum_abs
n,56,1463,sum_abs
n,56,1192,sum_abs
n,56,952,sum_abs
n,56,1533,sum_abs
n,56,1062,sum_abs
n,56,1934,sum_abs
n,56,1543,sum_abs
n,56,932,sum_abs
n,64,1442,sum_abs
n,64,1062,sum_abs
n,64,1453,sum_abs
n,64,2284,sum_abs
n,64,932,sum_abs
n,64,1342,sum_abs
n,64,992,sum_abs
n,64,1052,sum_abs
n,64,1443,sum_abs
n,64,962,sum_abs
n,72,1263,sum_abs
n,72,1022,sum_abs
n,72,2013,sum_abs
n,72,992,sum_abs
n,72,1102,sum_abs
n,72,1603,sum_abs
n,72,901,sum_abs
n,72,1022,sum_abs
n,72,1372,sum_abs
n,72,951,sum_abs
n,80,1142,sum_abs
n,80,992,sum_abs
n,80,982,sum_abs
n,80,1633,sum_abs
n,80,1563,sum_abs
n,80,1022,sum_abs
n,80,1724,sum_abs
n,80,1122,sum_abs
n,80,1273,sum_abs
n,80,1533,sum_abs
n,88,1062,sum_abs
n,88,1052,sum_abs
n,88,1543,sum_abs
n,88,1653,sum_abs
n,88,1293,sum_abs
n,88,1062,sum_abs
n,88,1643,sum_abs
n,88,1653,sum_abs
n,88,1703,sum_abs
n,88,1613,sum_abs
n,96,931,sum_abs
n,96,1543,sum_abs
n,96,922,sum_abs
n,96,1804,sum_abs
n,96,2335,sum_abs
n,96,1202,sum_abs
n,96,1533,sum_abs
n,96,1213,sum_abs
n,96,1343,sum_abs
n,96,1182,sum_abs
n,104,1994,sum_abs
n,104,1102,sum_abs
n,104,1172,sum_abs
n,104,1112,sum_abs
n,104,1583,sum_abs
n,104,1714,sum_abs
n,104,2134,sum_abs
n,104,1202,sum_abs
n,104,1844,sum_abs
