param,value,time,tag
n,0,390,sum_elts
n,0,331,sum_elts
n,0,612,sum_elts
n,0,832,sum_elts
n,0,561,sum_elts
n,0,481,sum_elts
n,0,381,sum_elts
n,0,711,sum_elts
n,0,471,sum_elts
n,0,481,sum_elts
n,8,1403,sum_elts
n,8,872,sum_elts
n,8,561,sum_elts
n,8,1563,sum_elts
n,8,1283,sum_elts
n,8,831,sum_elts
n,8,1252,sum_elts
n,8,872,sum_elts
n,8,1312,sum_elts
n,8,982,sum_elts
n,16,761,sum_elts
n,16,771,sum_elts
n,16,842,sum_elts
n,16,902,sum_elts
n,16,1382,sum_elts
n,16,681,sum_elts
n,16,751,sum_elts
n,16,681,sum_elts
n,16,752,sum_elts
n,16,861,sum_elts
n,24,931,sum_elts
n,24,1903,sum_elts
n,24,912,sum_elts
n,24,881,sum_elts
n,24,1312,sum_elts
n,24,1072,sum_elts
n,24,1172,sum_elts
n,24,1062,sum_elts
n,24,1492,sum_elts
n,24,1273,sum_elts
n,32,1283,sum_elts
n,32,782,sum_elts
n,32,671,sum_elts
n,32,801,sum_elts
n,32,792,sum_elts
n,32,1173,sum_elts
n,32,1282,sum_elts
n,32,1112,sum_elts
n,32,1012,sum_elts
n,32,1062,sum_elts
n,40,1663,sum_elts
n,40,1092,sum_elts
n,40,772,sum_elts
n,40,892,sum_elts
n,40,992,sum_elts
n,40,1022,sum_elts
n,40,911,sum_elts
n,40,881,sum_elts
n,40,972,sum_elts
n,40,1042,sum_elts
n,48,1714,sum_elts
n,48,1362,sum_elts
n,48,852,sum_elts
n,48,1042,sum_elts
n,48,802,sum_elts
n,48,1313,sum_elts
n,48,1252,sum_elts
n,48,1062,sum_elts
n,48,912,sum_elts
n,48,2334,sum_elts
n,56,951,sum_elts
n,56,772,sum_elts
n,56,932,sum_elts
n,56,931,sum_elts
n,56,912,sum_elts
n,56,982,sum_elts
n,56,1011,sum_elts
n,56,1192,sum_elts
n,56,1163,sum_elts
n,56,1243,sum_elts
n,64,1573,sum_elts
n,64,1113,sum_elts
n,64,902,sum_elts
n,64,942,sum_elts
n,64,1273,sum_elts
n,64,1052,sum_elts
n,64,1202,sum_elts
n,64,1102,sum_elts
n,64,1062,sum_elts
n,64,942,sum_elts
n,72,1012,sum_elts
n,72,992,sum_elts
n,72,1342,sum_elts
n,72,1413,sum_elts
n,72,952,sum_elts
n,72,1042,sum_elts
n,72,932,sum_elts
n,72,1042,sum_elts
n,72,1293,sum_elts
n,72,792,sum_elts
n,80,1092,sum_elts
n,80,992,sum_elts
n,80,1142,sum_elts
n,80,1132,sum_elts
n,80,1082,sum_elts
n,80,1032,sum_elts
n,80,892,sum_elts
n,80,922,sum_elts
n,80,1563,sum_elts
n,80,1783,sum_elts
n,88,961,sum_elts
n,88,1363,sum_elts
n,88,841,sum_elts
n,88,1233,sum_elts
n,88,922,sum_elts
n,88,1162,sum_elts
n,88,1193,sum_elts
n,88,1212,sum_elts
n,88,1913,sum_elts
n,88,1984,sum_elts
n,96,1834,sum_elts
n,96,1072,sum_elts
n,96,932,sum_elts
n,96,1442,sum_elts
n,96,1453,sum_elts
n,96,1352,sum_elts
n,96,992,sum_elts
n,96,1322,sum_elts
n,96,1022,sum_elts
n,96,1693,sum_elts
n,104,1283,sum_elts
n,104,1904,sum_elts
n,104,1142,sum_elts
n,104,1052,sum_elts
n,104,911,sum_elts
n,104,1142,sum_elts
n,104,1102,sum_elts
n,104,1212,sum_elts
n,104,1603,sum_elts
n,104,1352,sum_elts
n,112,1383,sum_elts
n,112,1373,sum_elts
n,112,2184,sum_elts
n,112,2324,sum_elts
n,112,992,sum_elts
n,112,1723,sum_elts
n,112,2044,sum_elts
n,112,1723,sum_elts
n,112,1102,sum_elts
n,112,1803,sum_elts
n,120,1833,sum_elts
n,120,1002,sum_elts
n,120,1042,sum_elts
n,120,1262,sum_elts
n,120,1102,sum_elts
n,120,1322,sum_elts
n,120,1363,sum_elts
n,120,2334,sum_elts
n,120,1593,sum_elts
n,120,1123,sum_elts
n,128,1392,sum_elts
n,128,1252,sum_elts
n,128,1253,sum_elts
n,128,1001,sum_elts
n,128,1002,sum_elts
n,128,1162,sum_elts
n,128,1062,sum_elts
n,128,1303,sum_elts
n,128,1092,sum_elts
n,128,962,sum_elts
n,136,1242,sum_elts
n,136,1222,sum_elts
n,136,1272,sum_elts
n,136,922,sum_elts
n,136,1292,sum_elts
n,136,1874,sum_elts
n,136,852,sum_elts
n,136,1062,sum_elts
n,136,1232,sum_elts
n,136,1192,sum_elts
n,144,2094,sum_elts
n,144,1954,sum_elts
n,144,1212,sum_elts
n,144,1312,sum_elts
n,144,1362,sum_elts
n,144,1753,sum_elts
n,144,1703,sum_elts
n,144,1433,sum_elts
n,144,1563,sum_elts
n,144,1173,sum_elts
n,152,1232,sum_elts
n,152,2174,sum_elts
n,152,1894,sum_elts
n,152,1032,sum_elts
n,152,1643,sum_elts
n,152,1042,sum_elts
n,152,1192,sum_elts
n,152,1803,sum_elts
n,152,1282,sum_elts
n,152,1593,sum_elts
n,160,1543,sum_elts
n,160,1082,sum_elts
n,160,1213,sum_elts
n,160,1673,sum_elts
n,160,1783,sum_elts
n,160,1253,sum_elts
n,160,1212,sum_elts
n,160,1293,sum_elts
n,160,1162,sum_elts
n,160,1623,sum_elts
n,168,1313,sum_elts
n,168,1153,sum_elts
n,168,1042,sum_elts
n,168,1333,sum_elts
n,168,1313,sum_elts
n,168,2034,sum_elts
n,168,1222,sum_elts
n,168,1492,sum_elts
n,168,1713,sum_elts
n,168,1232,sum_elts
n,176,1233,sum_elts
n,176,1332,sum_elts
n,176,1222,sum_elts
n,176,1262,sum_elts
n,176,1703,sum_elts
n,176,1232,sum_elts
n,176,1442,sum_elts
n,176,1713,sum_elts
n,176,1793,sum_elts
n,176,1363,sum_elts
n,184,1182,sum_elts
n,184,1522,sum_elts
n,184,1462,sum_elts
n,184,1223,sum_elts
n,184,1413,sum_elts
n,184,1353,sum_elts
n,184,1272,sum_elts
n,184,1332,sum_elts
n,184,1362,sum_elts
n,184,1213,sum_elts
n,192,1743,sum_elts
n,192,2004,sum_elts
n,192,2395,sum_elts
n,192,1593,sum_elts
n,192,1212,sum_elts
n,192,1152,sum_elts
n,192,1232,sum_elts
n,192,1242,sum_elts
n,192,1383,sum_elts
n,192,1183,sum_elts
n,200,1633,sum_elts
n,200,1783,sum_elts
n,200,1674,sum_elts
n,200,1774,sum_elts
n,200,1322,sum_elts
n,200,1303,sum_elts
n,200,1362,sum_elts
n,200,1533,sum_elts
n,200,1253,sum_elts
n,200,1333,sum_elts
n,208,1372,sum_elts
n,208,1353,sum_elts
n,208,902,sum_elts
n,208,1633,sum_elts
n,208,1212,sum_elts
n,208,1483,sum_elts
n,208,1893,sum_elts
n,208,1082,sum_elts
n,208,1293,sum_elts
n,208,1112,sum_elts
n,216,1042,sum_elts
n,216,1152,sum_elts
n,216,1363,sum_elts
n,216,1232,sum_elts
n,216,2225,sum_elts
n,216,1353,sum_elts
n,216,1132,sum_elts
n,216,2145,sum_elts
n,216,1533,sum_elts
n,216,1262,sum_elts
n,224,2044,sum_elts
n,224,1252,sum_elts
n,224,1864,sum_elts
n,224,1433,sum_elts
n,224,941,sum_elts
n,224,1543,sum_elts
n,224,992,sum_elts
n,224,1363,sum_elts
n,224,1433,sum_elts
n,224,1483,sum_elts
n,232,1423,sum_elts
n,232,1423,sum_elts
n,232,1463,sum_elts
n,232,1373,sum_elts
n,232,1412,sum_elts
n,232,1352,sum_elts
n,232,1232,sum_elts
n,232,1463,sum_elts
n,232,1212,sum_elts
n,232,1784,sum_elts
n,240,1623,sum_elts
n,240,1273,sum_elts
n,240,1343,sum_elts
n,240,1563,sum_elts
n,240,2294,sum_elts
n,240,1443,sum_elts
n,240,2174,sum_elts
n,240,1442,sum_elts
n,240,1293,sum_elts
n,240,1242,sum_elts
n,248,1503,sum_elts
n,248,1473,sum_elts
n,248,1353,sum_elts
n,248,1803,sum_elts
n,248,1814,sum_elts
n,248,1453,sum_elts
n,248,1944,sum_elts
n,248,1393,sum_elts
n,248,1643,sum_elts
n,248,2024,sum_elts
n,256,1443,sum_elts
n,256,1172,sum_elts
n,256,2395,sum_elts
n,256,1303,sum_elts
n,256,1393,sum_elts
n,256,1934,sum_elts
n,256,1202,sum_elts
n,256,1623,sum_elts
n,256,1603,sum_elts
n,256,1502,sum_elts
n,264,1443,sum_elts
n,264,1183,sum_elts
n,264,1503,sum_elts
n,264,1343,sum_elts
n,264,1803,sum_elts
n,264,1472,sum_elts
n,264,1273,sum_elts
n,264,1573,sum_elts
n,264,1984,sum_elts
n,264,1262,sum_elts
n,272,1413,sum_elts
n,272,1392,sum_elts
n,272,912,sum_elts
n,272,1714,sum_elts
n,272,1373,sum_elts
n,272,2164,sum_elts
n,272,1533,sum_elts
n,272,1653,sum_elts
n,272,1382,sum_elts
n,272,1943,sum_elts
n,280,1583,sum_elts
n,280,1443,sum_elts
n,280,1613,sum_elts
n,280,1492,sum_elts
n,280,1392,sum_elts
n,280,2134,sum_elts
n,280,1433,sum_elts
n,280,1493,sum_elts
n,280,1553,sum_elts
n,280,1273,sum_elts
n,288,1543,sum_elts
n,288,1753,sum_elts
n,288,1884,sum_elts
n,288,1453,sum_elts
n,288,1513,sum_elts
n,288,1443,sum_elts
n,288,2074,sum_elts
n,288,1773,sum_elts
n,288,1593,sum_elts
n,288,2154,sum_elts
n,296,1533,sum_elts
n,296,1413,sum_elts
n,296,1723,sum_elts
n,296,1533,sum_elts
n,296,1222,sum_elts
n,296,1553,sum_elts
n,296,1523,sum_elts
n,296,1402,sum_elts
n,296,1352,sum_elts
n,296,1703,sum_elts
n,304,1353,sum_elts
n,304,1443,sum_elts
n,304,1393,sum_elts
n,304,1613,sum_elts
n,304,1313,sum_elts
n,304,2044,sum_elts
n,304,2114,sum_elts
n,304,1543,sum_elts
n,304,1713,sum_elts
n,304,1733,sum_elts
n,312,1893,sum_elts
n,312,1383,sum_elts
n,312,1683,sum_elts
n,312,2235,sum_elts
n,312,1583,sum_elts
n,312,1472,sum_elts
n,312,1704,sum_elts
n,312,1383,sum_elts
n,312,1352,sum_elts
n,312,1362,sum_elts
n,320,2034,sum_elts
n,320,1303,sum_elts
n,320,1533,sum_elts
n,320,2284,sum_elts
n,320,1473,sum_elts
n,320,1343,sum_elts
n,320,1273,sum_elts
n,320,1713,sum_elts
n,320,1322,sum_elts
n,320,2014,sum_elts
n,328,1874,sum_elts
n,328,1372,sum_elts
n,328,1322,sum_elts
n,328,1483,sum_elts
n,328,1222,sum_elts
n,328,1292,sum_elts
n,328,1533,sum_elts
n,328,1593,sum_elts
n,328,1412,sum_elts
n,328,1553,sum_elts
n,336,1873,sum_elts
n,336,1423,sum_elts
n,336,1663,sum_elts
n,336,1803,sum_elts
n,336,1644,sum_elts
n,336,1794,sum_elts
n,336,1954,sum_elts
n,336,1773,sum_elts
n,336,1353,sum_elts
n,336,1743,sum_elts
n,344,1793,sum_elts
n,344,1784,sum_elts
n,344,1683,sum_elts
n,344,1333,sum_elts
n,344,1403,sum_elts
n,344,1603,sum_elts
n,344,1633,sum_elts
n,344,1522,sum_elts
n,344,2264,sum_elts
n,344,1844,sum_elts
n,352,2114,sum_elts
n,352,2525,sum_elts
n,352,1553,sum_elts
n,352,2284,sum_elts
n,352,2344,sum_elts
n,352,1543,sum_elts
n,352,2134,sum_elts
n,352,1644,sum_elts
n,352,1794,sum_elts
n,352,1513,sum_elts
n,360,1443,sum_elts
n,360,1783,sum_elts
n,360,1754,sum_elts
n,360,1764,sum_elts
n,360,1703,sum_elts
n,360,1523,sum_elts
n,360,1913,sum_elts
n,360,2866,sum_elts
n,360,1943,sum_elts
n,360,2374,sum_elts
n,368,2134,sum_elts
n,368,2164,sum_elts
n,368,1873,sum_elts
n,368,1643,sum_elts
n,368,1934,sum_elts
n,368,2625,sum_elts
n,368,1453,sum_elts
n,368,1714,sum_elts
n,368,1533,sum_elts
n,368,1753,sum_elts
n,376,2505,sum_elts
n,376,2074,sum_elts
n,376,2475,sum_elts
n,376,1593,sum_elts
n,376,1553,sum_elts
n,376,1413,sum_elts
n,376,1392,sum_elts
n,376,1873,sum_elts
n,376,1523,sum_elts
n,376,2324,sum_elts
n,384,2605,sum_elts
n,384,1833,sum_elts
n,384,2154,sum_elts
n,384,1553,sum_elts
n,384,1593,sum_elts
n,384,1543,sum_elts
n,384,1704,sum_elts
n,384,1754,sum_elts
n,384,1072,sum_elts
n,384,1723,sum_elts
n,392,1703,sum_elts
n,392,2705,sum_elts
n,392,1753,sum_elts
n,392,2215,sum_elts
n,392,1984,sum_elts
n,392,2024,sum_elts
n,392,1573,sum_elts
n,392,1713,sum_elts
n,392,1542,sum_elts
n,392,1674,sum_elts
n,400,2144,sum_elts
n,400,1864,sum_elts
n,400,1773,sum_elts
n,400,1874,sum_elts
n,400,2024,sum_elts
n,400,2324,sum_elts
n,400,1653,sum_elts
n,400,1593,sum_elts
n,400,1773,sum_elts
n,400,1853,sum_elts
n,408,1954,sum_elts
n,408,1693,sum_elts
n,408,1744,sum_elts
n,408,1703,sum_elts
n,408,1884,sum_elts
n,408,1954,sum_elts
n,408,1513,sum_elts
n,408,2254,sum_elts
n,408,1764,sum_elts
n,408,1673,sum_elts
n,416,1623,sum_elts
n,416,2214,sum_elts
n,416,2314,sum_elts
n,416,1954,sum_elts
n,416,2194,sum_elts
n,416,1754,sum_elts
n,416,1573,sum_elts
n,416,1633,sum_elts
n,416,1904,sum_elts
n,416,1764,sum_elts
n,424,1863,sum_elts
n,424,1643,sum_elts
n,424,1563,sum_elts
n,424,1683,sum_elts
n,424,1793,sum_elts
n,424,1513,sum_elts
n,424,2124,sum_elts
n,424,1984,sum_elts
n,424,1673,sum_elts
n,424,2234,sum_elts
n,432,1803,sum_elts
n,432,1553,sum_elts
n,432,1533,sum_elts
n,432,2345,sum_elts
n,432,2174,sum_elts
n,432,2114,sum_elts
n,432,2304,sum_elts
n,432,2154,sum_elts
n,432,1553,sum_elts
n,432,1323,sum_elts
n,440,1934,sum_elts
n,440,2044,sum_elts
n,440,2796,sum_elts
n,440,1764,sum_elts
n,440,1833,sum_elts
n,440,1673,sum_elts
n,440,1673,sum_elts
n,440,1683,sum_elts
n,440,1834,sum_elts
n,440,1704,sum_elts
n,448,2144,sum_elts
n,448,1844,sum_elts
n,448,1733,sum_elts
n,448,2084,sum_elts
n,448,1804,sum_elts
n,448,1603,sum_elts
n,448,1704,sum_elts
n,448,3286,sum_elts
n,448,1703,sum_elts
n,448,1693,sum_elts
n,456,1673,sum_elts
n,456,2524,sum_elts
n,456,2134,sum_elts
n,456,1583,sum_elts
n,456,2155,sum_elts
n,456,1954,sum_elts
n,456,2405,sum_elts
n,456,2254,sum_elts
n,456,1784,sum_elts
n,456,2675,sum_elts
n,464,1643,sum_elts
n,464,1994,sum_elts
n,464,1864,sum_elts
n,464,2234,sum_elts
n,464,2194,sum_elts
n,464,2434,sum_elts
n,464,1854,sum_elts
n,464,2514,sum_elts
n,464,2534,sum_elts
n,464,1863,sum_elts
n,472,2174,sum_elts
n,472,2345,sum_elts
n,472,2004,sum_elts
n,472,1713,sum_elts
n,472,2044,sum_elts
n,472,1452,sum_elts
n,472,2835,sum_elts
n,472,1883,sum_elts
n,472,1793,sum_elts
n,472,1733,sum_elts
n,480,2245,sum_elts
n,480,1873,sum_elts
n,480,1703,sum_elts
n,480,2014,sum_elts
n,480,2424,sum_elts
n,480,2565,sum_elts
n,480,1603,sum_elts
n,480,2545,sum_elts
n,480,1623,sum_elts
n,480,2014,sum_elts
n,488,1763,sum_elts
n,488,1513,sum_elts
n,488,1864,sum_elts
n,488,2374,sum_elts
n,488,1793,sum_elts
n,488,1823,sum_elts
n,488,1873,sum_elts
n,488,2024,sum_elts
n,488,2224,sum_elts
n,488,1904,sum_elts
n,496,1684,sum_elts
n,496,1834,sum_elts
n,496,2605,sum_elts
n,496,2003,sum_elts
n,496,2635,sum_elts
n,496,1673,sum_elts
n,496,1893,sum_elts
n,496,2565,sum_elts
n,496,1713,sum_elts
n,496,2014,sum_elts
n,504,1773,sum_elts
n,504,2054,sum_elts
n,504,2063,sum_elts
n,504,1953,sum_elts
n,504,1954,sum_elts
n,504,1703,sum_elts
n,504,1653,sum_elts
n,504,1673,sum_elts
n,504,1844,sum_elts
n,504,1633,sum_elts
n,512,1854,sum_elts
n,512,2424,sum_elts
n,512,2885,sum_elts
n,512,2194,sum_elts
n,512,2044,sum_elts
n,512,1693,sum_elts
n,512,1683,sum_elts
n,512,2806,sum_elts
n,512,2314,sum_elts
n,512,1974,sum_elts
n,520,2204,sum_elts
n,520,1813,sum_elts
n,520,2074,sum_elts
n,520,2415,sum_elts
n,520,1673,sum_elts
n,520,2575,sum_elts
n,520,1663,sum_elts
n,520,2245,sum_elts
n,520,2194,sum_elts
n,520,2194,sum_elts
n,528,1903,sum_elts
n,528,1923,sum_elts
n,528,1764,sum_elts
n,528,1873,sum_elts
n,528,1804,sum_elts
n,528,1893,sum_elts
n,528,2004,sum_elts
n,528,1893,sum_elts
n,528,1784,sum_elts
n,528,2074,sum_elts
n,536,1553,sum_elts
n,536,2174,sum_elts
n,536,1733,sum_elts
n,536,1784,sum_elts
n,536,1824,sum_elts
n,536,2164,sum_elts
n,536,2144,sum_elts
n,536,1362,sum_elts
n,536,1964,sum_elts
n,536,2404,sum_elts
n,544,2024,sum_elts
n,544,2204,sum_elts
n,544,1774,sum_elts
n,544,1763,sum_elts
n,544,2054,sum_elts
n,544,1843,sum_elts
n,544,2215,sum_elts
n,544,2004,sum_elts
n,544,1734,sum_elts
n,544,1833,sum_elts
n,552,2535,sum_elts
n,552,2274,sum_elts
n,552,2495,sum_elts
n,552,2154,sum_elts
n,552,1963,sum_elts
n,552,1824,sum_elts
n,552,2033,sum_elts
n,552,1933,sum_elts
n,552,2094,sum_elts
n,552,1914,sum_elts
n,560,1914,sum_elts
n,560,2495,sum_elts
n,560,2575,sum_elts
n,560,2555,sum_elts
n,560,2024,sum_elts
n,560,2204,sum_elts
n,560,2254,sum_elts
n,560,2184,sum_elts
n,560,1834,sum_elts
n,560,2305,sum_elts
n,568,2404,sum_elts
n,568,1823,sum_elts
n,568,1603,sum_elts
n,568,1884,sum_elts
n,568,2215,sum_elts
n,568,2074,sum_elts
n,568,2685,sum_elts
n,568,2124,sum_elts
n,568,1934,sum_elts
n,568,1462,sum_elts
n,576,2064,sum_elts
n,576,2124,sum_elts
n,576,2024,sum_elts
n,576,1974,sum_elts
n,576,1794,sum_elts
n,576,2324,sum_elts
n,576,2014,sum_elts
n,576,1834,sum_elts
n,576,1963,sum_elts
n,576,1854,sum_elts
n,584,1894,sum_elts
n,584,2004,sum_elts
n,584,1803,sum_elts
n,584,1944,sum_elts
n,584,2304,sum_elts
n,584,1944,sum_elts
n,584,1844,sum_elts
n,584,2034,sum_elts
n,584,2435,sum_elts
n,584,2475,sum_elts
n,592,2294,sum_elts
n,592,2274,sum_elts
n,592,2755,sum_elts
n,592,2224,sum_elts
n,592,2074,sum_elts
n,592,2074,sum_elts
n,592,2114,sum_elts
n,592,2365,sum_elts
n,592,2164,sum_elts
n,592,2074,sum_elts
n,600,1894,sum_elts
n,600,2444,sum_elts
n,600,2374,sum_elts
n,600,3377,sum_elts
n,600,1693,sum_elts
n,600,2154,sum_elts
n,600,2385,sum_elts
n,600,2064,sum_elts
n,600,1934,sum_elts
n,600,2114,sum_elts
n,608,1743,sum_elts
n,608,2134,sum_elts
n,608,2084,sum_elts
n,608,2225,sum_elts
n,608,2224,sum_elts
n,608,2114,sum_elts
n,608,2625,sum_elts
n,608,2244,sum_elts
n,608,1533,sum_elts
n,608,2695,sum_elts
n,616,1944,sum_elts
n,616,2325,sum_elts
n,616,2274,sum_elts
n,616,1432,sum_elts
n,616,2505,sum_elts
n,616,2114,sum_elts
n,616,2625,sum_elts
n,616,1873,sum_elts
n,616,2124,sum_elts
n,616,3066,sum_elts
n,624,2094,sum_elts
n,624,2145,sum_elts
n,624,2074,sum_elts
n,624,2404,sum_elts
n,624,2134,sum_elts
n,624,2034,sum_elts
n,624,2074,sum_elts
n,624,1874,sum_elts
n,624,1854,sum_elts
n,624,2325,sum_elts
n,632,2194,sum_elts
n,632,2405,sum_elts
n,632,2555,sum_elts
n,632,2054,sum_elts
n,632,2896,sum_elts
n,632,2024,sum_elts
n,632,2064,sum_elts
n,632,1893,sum_elts
n,632,2835,sum_elts
n,632,2144,sum_elts
n,640,2164,sum_elts
n,640,2034,sum_elts
n,640,1863,sum_elts
n,640,2985,sum_elts
n,640,1934,sum_elts
n,640,2124,sum_elts
n,640,2064,sum_elts
n,640,2325,sum_elts
n,640,2595,sum_elts
n,640,2074,sum_elts
n,648,2204,sum_elts
n,648,2415,sum_elts
n,648,2485,sum_elts
n,648,2735,sum_elts
n,648,2695,sum_elts
n,648,2114,sum_elts
n,648,2244,sum_elts
n,648,2244,sum_elts
n,648,2114,sum_elts
n,648,2325,sum_elts
n,656,2414,sum_elts
n,656,2946,sum_elts
n,656,2114,sum_elts
n,656,2395,sum_elts
n,656,1944,sum_elts
n,656,2014,sum_elts
n,656,2084,sum_elts
n,656,2524,sum_elts
n,656,1993,sum_elts
n,656,2334,sum_elts
n,664,2755,sum_elts
n,664,1894,sum_elts
n,664,2665,sum_elts
n,664,2384,sum_elts
n,664,2245,sum_elts
n,664,2204,sum_elts
n,664,1984,sum_elts
n,664,2074,sum_elts
n,664,2374,sum_elts
n,664,2374,sum_elts
n,672,3266,sum_elts
n,672,1713,sum_elts
n,672,2234,sum_elts
n,672,2144,sum_elts
n,672,2204,sum_elts
n,672,2454,sum_elts
n,672,2034,sum_elts
n,672,2385,sum_elts
n,672,2124,sum_elts
n,672,2565,sum_elts
n,680,2053,sum_elts
n,680,2364,sum_elts
n,680,2194,sum_elts
n,680,2024,sum_elts
n,680,2174,sum_elts
n,680,2425,sum_elts
n,680,2385,sum_elts
n,680,2014,sum_elts
n,680,2154,sum_elts
n,680,2725,sum_elts
n,688,2004,sum_elts
n,688,2836,sum_elts
n,688,2545,sum_elts
n,688,1963,sum_elts
n,688,3086,sum_elts
n,688,2435,sum_elts
n,688,1974,sum_elts
n,688,2725,sum_elts
n,688,2144,sum_elts
n,688,2245,sum_elts
n,696,2795,sum_elts
n,696,2114,sum_elts
n,696,2094,sum_elts
n,696,2795,sum_elts
n,696,2265,sum_elts
n,696,3196,sum_elts
n,696,2736,sum_elts
n,696,1873,sum_elts
n,696,2324,sum_elts
n,696,2665,sum_elts
n,704,2415,sum_elts
n,704,2034,sum_elts
n,704,2134,sum_elts
n,704,2003,sum_elts
n,704,2154,sum_elts
n,704,2144,sum_elts
n,704,2205,sum_elts
n,704,2434,sum_elts
n,704,1953,sum_elts
n,704,2154,sum_elts
n,712,2164,sum_elts
n,712,2234,sum_elts
n,712,2415,sum_elts
n,712,2845,sum_elts
n,712,2174,sum_elts
n,712,2094,sum_elts
n,712,2154,sum_elts
n,712,2234,sum_elts
n,712,1844,sum_elts
n,712,1693,sum_elts
n,720,2304,sum_elts
n,720,2445,sum_elts
n,720,2465,sum_elts
n,720,2505,sum_elts
n,720,2695,sum_elts
n,720,2345,sum_elts
n,720,2204,sum_elts
n,720,2565,sum_elts
n,720,2324,sum_elts
n,720,2825,sum_elts
n,728,2365,sum_elts
n,728,2315,sum_elts
n,728,2355,sum_elts
n,728,2224,sum_elts
n,728,2154,sum_elts
n,728,2715,sum_elts
n,728,2765,sum_elts
n,728,2335,sum_elts
n,728,9098,sum_elts
n,728,2214,sum_elts
n,736,2675,sum_elts
n,736,2004,sum_elts
n,736,2655,sum_elts
n,736,2165,sum_elts
n,736,2545,sum_elts
n,736,2776,sum_elts
n,736,2364,sum_elts
n,736,3407,sum_elts
n,736,2194,sum_elts
n,736,2215,sum_elts
n,744,2535,sum_elts
n,744,2234,sum_elts
n,744,2094,sum_elts
n,744,2255,sum_elts
n,744,1984,sum_elts
n,744,2945,sum_elts
n,744,2234,sum_elts
n,744,2405,sum_elts
n,744,2625,sum_elts
n,744,2885,sum_elts
n,752,2254,sum_elts
n,752,2896,sum_elts
n,752,2364,sum_elts
n,752,2465,sum_elts
n,752,2094,sum_elts
n,752,1994,sum_elts
n,752,2665,sum_elts
n,752,3707,sum_elts
n,752,2756,sum_elts
n,752,2675,sum_elts
n,760,2204,sum_elts
n,760,2785,sum_elts
n,760,1984,sum_elts
n,760,2434,sum_elts
n,760,2755,sum_elts
n,760,2635,sum_elts
n,760,2405,sum_elts
n,760,2395,sum_elts
n,760,2565,sum_elts
n,760,2625,sum_elts
n,768,2595,sum_elts
n,768,2394,sum_elts
n,768,2204,sum_elts
n,768,2375,sum_elts
n,768,2385,sum_elts
n,768,2545,sum_elts
n,768,2665,sum_elts
n,768,2254,sum_elts
n,768,2515,sum_elts
n,768,2274,sum_elts
n,776,2184,sum_elts
n,776,2435,sum_elts
n,776,3246,sum_elts
n,776,2285,sum_elts
n,776,2445,sum_elts
n,776,2946,sum_elts
n,776,2214,sum_elts
