param,value,time,tag
n,0,230,sum_n_squared
n,0,30,sum_n_squared
n,0,20,sum_n_squared
n,0,20,sum_n_squared
n,0,20,sum_n_squared
n,0,30,sum_n_squared
n,0,30,sum_n_squared
n,0,20,sum_n_squared
n,0,30,sum_n_squared
n,0,30,sum_n_squared
n,8,71,sum_n_squared
n,8,30,sum_n_squared
n,8,30,sum_n_squared
n,8,20,sum_n_squared
n,8,30,sum_n_squared
n,8,30,sum_n_squared
n,8,30,sum_n_squared
n,8,30,sum_n_squared
n,8,30,sum_n_squared
n,8,30,sum_n_squared
n,16,50,sum_n_squared
n,16,40,sum_n_squared
n,16,50,sum_n_squared
n,16,50,sum_n_squared
n,16,40,sum_n_squared
n,16,40,sum_n_squared
n,16,40,sum_n_squared
n,16,40,sum_n_squared
n,16,30,sum_n_squared
n,16,40,sum_n_squared
n,24,60,sum_n_squared
n,24,50,sum_n_squared
n,24,40,sum_n_squared
n,24,50,sum_n_squared
n,24,40,sum_n_squared
n,24,40,sum_n_squared
n,24,40,sum_n_squared
n,24,40,sum_n_squared
n,24,41,sum_n_squared
n,24,30,sum_n_squared
n,32,60,sum_n_squared
n,32,60,sum_n_squared
n,32,60,sum_n_squared
n,32,50,sum_n_squared
n,32,40,sum_n_squared
n,32,41,sum_n_squared
n,32,40,sum_n_squared
n,32,40,sum_n_squared
n,32,40,sum_n_squared
n,32,40,sum_n_squared
n,40,61,sum_n_squared
n,40,60,sum_n_squared
n,40,60,sum_n_squared
n,40,50,sum_n_squared
n,40,50,sum_n_squared
n,40,50,sum_n_squared
n,40,50,sum_n_squared
n,40,50,sum_n_squared
n,40,50,sum_n_squared
n,40,50,sum_n_squared
n,48,70,sum_n_squared
n,48,70,sum_n_squared
n,48,60,sum_n_squared
n,48,60,sum_n_squared
n,48,50,sum_n_squared
n,48,60,sum_n_squared
n,48,60,sum_n_squared
n,48,60,sum_n_squared
n,48,50,sum_n_squared
n,48,61,sum_n_squared
n,56,70,sum_n_squared
n,56,70,sum_n_squared
n,56,60,sum_n_squared
n,56,60,sum_n_squared
n,56,60,sum_n_squared
n,56,50,sum_n_squared
n,56,61,sum_n_squared
n,56,60,sum_n_squared
n,56,60,sum_n_squared
n,56,50,sum_n_squared
n,64,70,sum_n_squared
n,64,70,sum_n_squared
n,64,70,sum_n_squared
n,64,70,sum_n_squared
n,64,60,sum_n_squared
n,64,60,sum_n_squared
n,64,60,sum_n_squared
n,64,61,sum_n_squared
n,64,60,sum_n_squared
n,64,60,sum_n_squared
n,72,70,sum_n_squared
n,72,80,sum_n_squared
n,72,80,sum_n_squared
n,72,70,sum_n_squared
n,72,61,sum_n_squared
n,72,61,sum_n_squared
n,72,60,sum_n_squared
n,72,60,sum_n_squared
n,72,60,sum_n_squared
n,72,60,sum_n_squared
n,80,80,sum_n_squared
n,80,80,sum_n_squared
n,80,70,sum_n_squared
n,80,70,sum_n_squared
n,80,60,sum_n_squared
n,80,70,sum_n_squared
n,80,70,sum_n_squared
n,80,61,sum_n_squared
n,80,71,sum_n_squared
n,80,60,sum_n_squared
n,88,80,sum_n_squared
n,88,80,sum_n_squared
n,88,80,sum_n_squared
n,88,70,sum_n_squared
n,88,71,sum_n_squared
n,88,61,sum_n_squared
n,88,71,sum_n_squared
n,88,71,sum_n_squared
n,88,71,sum_n_squared
n,88,71,sum_n_squared
n,96,80,sum_n_squared
n,96,90,sum_n_squared
n,96,90,sum_n_squared
n,96,70,sum_n_squared
n,96,80,sum_n_squared
n,96,80,sum_n_squared
n,96,90,sum_n_squared
n,96,80,sum_n_squared
n,96,80,sum_n_squared
n,96,80,sum_n_squared
n,104,80,sum_n_squared
n,104,81,sum_n_squared
n,104,80,sum_n_squared
n,104,80,sum_n_squared
n,104,90,sum_n_squared
n,104,81,sum_n_squared
n,104,91,sum_n_squared
n,104,81,sum_n_squared
n,104,81,sum_n_squared
n,104,80,sum_n_squared
n,112,80,sum_n_squared
n,112,80,sum_n_squared
n,112,80,sum_n_squared
n,112,90,sum_n_squared
n,112,80,sum_n_squared
n,112,80,sum_n_squared
n,112,80,sum_n_squared
n,112,90,sum_n_squared
n,112,90,sum_n_squared
n,112,80,sum_n_squared
n,120,90,sum_n_squared
n,120,100,sum_n_squared
n,120,80,sum_n_squared
n,120,81,sum_n_squared
n,120,81,sum_n_squared
n,120,81,sum_n_squared
n,120,81,sum_n_squared
n,120,90,sum_n_squared
n,120,80,sum_n_squared
n,120,80,sum_n_squared
n,128,100,sum_n_squared
n,128,90,sum_n_squared
n,128,80,sum_n_squared
n,128,80,sum_n_squared
n,128,80,sum_n_squared
n,128,80,sum_n_squared
n,128,90,sum_n_squared
n,128,90,sum_n_squared
n,128,90,sum_n_squared
n,128,90,sum_n_squared
n,136,90,sum_n_squared
n,136,90,sum_n_squared
n,136,80,sum_n_squared
n,136,90,sum_n_squared
n,136,90,sum_n_squared
n,136,90,sum_n_squared
n,136,80,sum_n_squared
n,136,80,sum_n_squared
n,136,90,sum_n_squared
n,136,90,sum_n_squared
n,144,91,sum_n_squared
n,144,91,sum_n_squared
n,144,90,sum_n_squared
n,144,90,sum_n_squared
n,144,111,sum_n_squared
n,144,91,sum_n_squared
n,144,90,sum_n_squared
n,144,90,sum_n_squared
n,144,90,sum_n_squared
n,144,90,sum_n_squared
n,152,111,sum_n_squared
n,152,91,sum_n_squared
n,152,91,sum_n_squared
n,152,91,sum_n_squared
n,152,91,sum_n_squared
n,152,91,sum_n_squared
n,152,90,sum_n_squared
n,152,90,sum_n_squared
n,152,80,sum_n_squared
n,152,100,sum_n_squared
n,160,120,sum_n_squared
n,160,120,sum_n_squared
n,160,100,sum_n_squared
n,160,90,sum_n_squared
n,160,100,sum_n_squared
n,160,100,sum_n_squared
n,160,100,sum_n_squared
n,160,100,sum_n_squared
n,160,101,sum_n_squared
n,160,101,sum_n_squared
n,168,120,sum_n_squared
n,168,90,sum_n_squared
n,168,90,sum_n_squared
n,168,90,sum_n_squared
n,168,100,sum_n_squared
n,168,90,sum_n_squared
n,168,100,sum_n_squared
n,168,100,sum_n_squared
n,168,90,sum_n_squared
n,168,100,sum_n_squared
n,176,100,sum_n_squared
n,176,100,sum_n_squared
n,176,90,sum_n_squared
n,176,130,sum_n_squared
n,176,130,sum_n_squared
n,176,100,sum_n_squared
n,176,100,sum_n_squared
n,176,100,sum_n_squared
n,176,100,sum_n_squared
n,176,100,sum_n_squared
n,184,120,sum_n_squared
n,184,110,sum_n_squared
n,184,100,sum_n_squared
n,184,110,sum_n_squared
n,184,100,sum_n_squared
n,184,130,sum_n_squared
n,184,100,sum_n_squared
n,184,100,sum_n_squared
n,184,100,sum_n_squared
n,184,110,sum_n_squared
n,192,110,sum_n_squared
n,192,111,sum_n_squared
n,192,111,sum_n_squared
n,192,101,sum_n_squared
n,192,101,sum_n_squared
n,192,100,sum_n_squared
n,192,110,sum_n_squared
n,192,100,sum_n_squared
n,192,100,sum_n_squared
n,192,100,sum_n_squared
n,200,130,sum_n_squared
n,200,110,sum_n_squared
n,200,110,sum_n_squared
n,200,101,sum_n_squared
n,200,141,sum_n_squared
n,200,101,sum_n_squared
n,200,111,sum_n_squared
n,200,111,sum_n_squared
n,200,111,sum_n_squared
n,200,111,sum_n_squared
n,208,140,sum_n_squared
n,208,140,sum_n_squared
n,208,140,sum_n_squared
n,208,110,sum_n_squared
n,208,110,sum_n_squared
n,208,110,sum_n_squared
n,208,110,sum_n_squared
n,208,140,sum_n_squared
n,208,110,sum_n_squared
n,208,110,sum_n_squared
n,216,110,sum_n_squared
n,216,110,sum_n_squared
n,216,110,sum_n_squared
n,216,110,sum_n_squared
n,216,110,sum_n_squared
n,216,110,sum_n_squared
n,216,110,sum_n_squared
n,216,110,sum_n_squared
n,216,120,sum_n_squared
n,216,120,sum_n_squared
n,224,121,sum_n_squared
n,224,111,sum_n_squared
n,224,111,sum_n_squared
n,224,111,sum_n_squared
n,224,110,sum_n_squared
n,224,121,sum_n_squared
n,224,111,sum_n_squared
n,224,121,sum_n_squared
n,224,121,sum_n_squared
n,224,121,sum_n_squared
n,232,110,sum_n_squared
n,232,110,sum_n_squared
n,232,110,sum_n_squared
n,232,120,sum_n_squared
n,232,110,sum_n_squared
n,232,110,sum_n_squared
n,232,120,sum_n_squared
n,232,110,sum_n_squared
n,232,150,sum_n_squared
n,232,121,sum_n_squared
n,240,160,sum_n_squared
n,240,110,sum_n_squared
n,240,120,sum_n_squared
n,240,120,sum_n_squared
n,240,120,sum_n_squared
n,240,120,sum_n_squared
n,240,120,sum_n_squared
n,240,120,sum_n_squared
n,240,110,sum_n_squared
n,240,120,sum_n_squared
n,248,120,sum_n_squared
n,248,120,sum_n_squared
n,248,120,sum_n_squared
n,248,120,sum_n_squared
n,248,160,sum_n_squared
n,248,120,sum_n_squared
n,248,160,sum_n_squared
n,248,120,sum_n_squared
n,248,110,sum_n_squared
n,248,120,sum_n_squared
n,256,120,sum_n_squared
n,256,120,sum_n_squared
n,256,120,sum_n_squared
n,256,120,sum_n_squared
n,256,120,sum_n_squared
n,256,130,sum_n_squared
n,256,120,sum_n_squared
n,256,120,sum_n_squared
n,256,120,sum_n_squared
n,256,120,sum_n_squared
n,264,171,sum_n_squared
n,264,131,sum_n_squared
n,264,121,sum_n_squared
n,264,130,sum_n_squared
n,264,130,sum_n_squared
n,264,120,sum_n_squared
n,264,120,sum_n_squared
n,264,130,sum_n_squared
n,264,130,sum_n_squared
n,264,170,sum_n_squared
n,272,130,sum_n_squared
n,272,120,sum_n_squared
n,272,130,sum_n_squared
n,272,130,sum_n_squared
n,272,130,sum_n_squared
n,272,120,sum_n_squared
n,272,120,sum_n_squared
n,272,130,sum_n_squared
n,272,130,sum_n_squared
n,272,170,sum_n_squared
n,280,131,sum_n_squared
n,280,131,sum_n_squared
n,280,131,sum_n_squared
n,280,130,sum_n_squared
n,280,130,sum_n_squared
n,280,180,sum_n_squared
n,280,180,sum_n_squared
n,280,130,sum_n_squared
n,280,131,sum_n_squared
n,280,181,sum_n_squared
n,288,190,sum_n_squared
n,288,130,sum_n_squared
n,288,130,sum_n_squared
n,288,130,sum_n_squared
n,288,130,sum_n_squared
n,288,130,sum_n_squared
n,288,140,sum_n_squared
n,288,140,sum_n_squared
n,288,130,sum_n_squared
n,288,140,sum_n_squared
n,296,140,sum_n_squared
n,296,130,sum_n_squared
n,296,130,sum_n_squared
n,296,130,sum_n_squared
n,296,130,sum_n_squared
n,296,130,sum_n_squared
n,296,140,sum_n_squared
n,296,140,sum_n_squared
n,296,140,sum_n_squared
n,296,180,sum_n_squared
n,304,140,sum_n_squared
n,304,140,sum_n_squared
n,304,190,sum_n_squared
n,304,140,sum_n_squared
n,304,140,sum_n_squared
n,304,190,sum_n_squared
n,304,140,sum_n_squared
n,304,130,sum_n_squared
n,304,140,sum_n_squared
n,304,140,sum_n_squared
n,312,141,sum_n_squared
n,312,201,sum_n_squared
n,312,140,sum_n_squared
n,312,190,sum_n_squared
n,312,190,sum_n_squared
n,312,140,sum_n_squared
n,312,140,sum_n_squared
n,312,140,sum_n_squared
n,312,140,sum_n_squared
n,312,140,sum_n_squared
n,320,151,sum_n_squared
n,320,140,sum_n_squared
n,320,140,sum_n_squared
n,320,140,sum_n_squared
n,320,150,sum_n_squared
n,320,140,sum_n_squared
n,320,140,sum_n_squared
n,320,140,sum_n_squared
n,320,140,sum_n_squared
n,320,140,sum_n_squared
n,328,140,sum_n_squared
n,328,150,sum_n_squared
n,328,140,sum_n_squared
n,328,140,sum_n_squared
n,328,140,sum_n_squared
n,328,150,sum_n_squared
n,328,200,sum_n_squared
n,328,140,sum_n_squared
n,328,150,sum_n_squared
n,328,140,sum_n_squared
n,336,201,sum_n_squared
n,336,150,sum_n_squared
n,336,210,sum_n_squared
n,336,140,sum_n_squared
n,336,150,sum_n_squared
n,336,140,sum_n_squared
n,336,150,sum_n_squared
n,336,151,sum_n_squared
n,336,151,sum_n_squared
n,336,151,sum_n_squared
n,344,150,sum_n_squared
n,344,150,sum_n_squared
n,344,150,sum_n_squared
n,344,150,sum_n_squared
n,344,150,sum_n_squared
n,344,210,sum_n_squared
n,344,150,sum_n_squared
n,344,151,sum_n_squared
n,344,141,sum_n_squared
n,344,151,sum_n_squared
n,352,160,sum_n_squared
n,352,150,sum_n_squared
n,352,160,sum_n_squared
n,352,150,sum_n_squared
n,352,151,sum_n_squared
n,352,161,sum_n_squared
n,352,151,sum_n_squared
n,352,151,sum_n_squared
n,352,151,sum_n_squared
n,352,150,sum_n_squared
n,360,220,sum_n_squared
n,360,151,sum_n_squared
n,360,161,sum_n_squared
n,360,161,sum_n_squared
n,360,161,sum_n_squared
n,360,151,sum_n_squared
n,360,150,sum_n_squared
n,360,150,sum_n_squared
n,360,150,sum_n_squared
n,360,220,sum_n_squared
n,368,151,sum_n_squared
n,368,230,sum_n_squared
n,368,160,sum_n_squared
n,368,160,sum_n_squared
n,368,160,sum_n_squared
n,368,150,sum_n_squared
n,368,160,sum_n_squared
n,368,160,sum_n_squared
n,368,160,sum_n_squared
n,368,151,sum_n_squared
n,376,160,sum_n_squared
n,376,160,sum_n_squared
n,376,160,sum_n_squared
n,376,160,sum_n_squared
n,376,160,sum_n_squared
n,376,221,sum_n_squared
n,376,161,sum_n_squared
n,376,161,sum_n_squared
n,376,160,sum_n_squared
n,376,160,sum_n_squared
n,384,241,sum_n_squared
n,384,161,sum_n_squared
n,384,161,sum_n_squared
n,384,160,sum_n_squared
n,384,160,sum_n_squared
n,384,160,sum_n_squared
n,384,160,sum_n_squared
n,384,160,sum_n_squared
n,384,150,sum_n_squared
n,384,160,sum_n_squared
n,392,160,sum_n_squared
n,392,160,sum_n_squared
n,392,160,sum_n_squared
