param,value,time,tag
param_id_0,1,772,sum_of_positives
param_id_0,1,301,sum_of_positives
param_id_0,1,300,sum_of_positives
param_id_0,1,421,sum_of_positives
param_id_0,1,551,sum_of_positives
param_id_0,1,301,sum_of_positives
param_id_0,1,300,sum_of_positives
param_id_0,1,581,sum_of_positives
param_id_0,1,290,sum_of_positives
param_id_0,1,291,sum_of_positives
param_id_0,9,370,sum_of_positives
param_id_0,9,370,sum_of_positives
param_id_0,9,421,sum_of_positives
param_id_0,9,320,sum_of_positives
param_id_0,9,351,sum_of_positives
param_id_0,9,1042,sum_of_positives
param_id_0,9,230,sum_of_positives
param_id_0,9,330,sum_of_positives
param_id_0,9,1042,sum_of_positives
param_id_0,9,601,sum_of_positives
param_id_0,17,491,sum_of_positives
param_id_0,17,431,sum_of_positives
param_id_0,17,501,sum_of_positives
param_id_0,17,571,sum_of_positives
param_id_0,17,1122,sum_of_positives
param_id_0,17,410,sum_of_positives
param_id_0,17,440,sum_of_positives
param_id_0,17,541,sum_of_positives
param_id_0,17,441,sum_of_positives
param_id_0,17,491,sum_of_positives
param_id_0,25,982,sum_of_positives
param_id_0,25,481,sum_of_positives
param_id_0,25,461,sum_of_positives
param_id_0,25,501,sum_of_positives
param_id_0,25,391,sum_of_positives
param_id_0,25,541,sum_of_positives
param_id_0,25,381,sum_of_positives
param_id_0,25,381,sum_of_positives
param_id_0,25,501,sum_of_positives
param_id_0,25,581,sum_of_positives
param_id_0,33,652,sum_of_positives
param_id_0,33,621,sum_of_positives
param_id_0,33,661,sum_of_positives
param_id_0,33,1933,sum_of_positives
param_id_0,33,421,sum_of_positives
param_id_0,33,481,sum_of_positives
param_id_0,33,831,sum_of_positives
param_id_0,33,571,sum_of_positives
param_id_0,33,591,sum_of_positives
param_id_0,33,461,sum_of_positives
param_id_0,41,451,sum_of_positives
param_id_0,41,611,sum_of_positives
param_id_0,41,631,sum_of_positives
param_id_0,41,531,sum_of_positives
param_id_0,41,751,sum_of_positives
param_id_0,41,361,sum_of_positives
param_id_0,41,1212,sum_of_positives
param_id_0,41,591,sum_of_positives
param_id_0,41,1282,sum_of_positives
param_id_0,41,632,sum_of_positives
param_id_0,49,652,sum_of_positives
param_id_0,49,711,sum_of_positives
param_id_0,49,871,sum_of_positives
param_id_0,49,741,sum_of_positives
param_id_0,49,781,sum_of_positives
param_id_0,49,641,sum_of_positives
param_id_0,49,861,sum_of_positives
param_id_0,49,631,sum_of_positives
param_id_0,49,721,sum_of_positives
param_id_0,49,811,sum_of_positives
param_id_0,57,871,sum_of_positives
param_id_0,57,1012,sum_of_positives
param_id_0,57,801,sum_of_positives
param_id_0,57,732,sum_of_positives
param_id_0,57,942,sum_of_positives
param_id_0,57,771,sum_of_positives
param_id_0,57,771,sum_of_positives
param_id_0,57,1693,sum_of_positives
param_id_0,57,1122,sum_of_positives
param_id_0,57,661,sum_of_positives
param_id_0,65,782,sum_of_positives
param_id_0,65,611,sum_of_positives
param_id_0,65,762,sum_of_positives
param_id_0,65,791,sum_of_positives
param_id_0,65,621,sum_of_positives
param_id_0,65,932,sum_of_positives
param_id_0,65,741,sum_of_positives
param_id_0,65,661,sum_of_positives
param_id_0,65,641,sum_of_positives
param_id_0,65,661,sum_of_positives
param_id_0,73,812,sum_of_positives
param_id_0,73,801,sum_of_positives
param_id_0,73,772,sum_of_positives
param_id_0,73,822,sum_of_positives
param_id_0,73,781,sum_of_positives
param_id_0,73,852,sum_of_positives
param_id_0,73,551,sum_of_positives
param_id_0,73,511,sum_of_positives
param_id_0,73,1012,sum_of_positives
param_id_0,73,772,sum_of_positives
param_id_0,81,952,sum_of_positives
param_id_0,81,971,sum_of_positives
param_id_0,81,671,sum_of_positives
param_id_0,81,771,sum_of_positives
param_id_0,81,771,sum_of_positives
param_id_0,81,671,sum_of_positives
param_id_0,81,1923,sum_of_positives
param_id_0,81,572,sum_of_positives
param_id_0,81,681,sum_of_positives
param_id_0,81,772,sum_of_positives
param_id_0,89,922,sum_of_positives
param_id_0,89,721,sum_of_positives
param_id_0,89,952,sum_of_positives
param_id_0,89,832,sum_of_positives
param_id_0,89,822,sum_of_positives
param_id_0,89,691,sum_of_positives
param_id_0,89,792,sum_of_positives
param_id_0,89,1393,sum_of_positives
param_id_0,89,922,sum_of_positives
param_id_0,89,751,sum_of_positives
param_id_0,97,882,sum_of_positives
param_id_0,97,812,sum_of_positives
param_id_0,97,1032,sum_of_positives
param_id_0,97,1092,sum_of_positives
param_id_0,97,882,sum_of_positives
param_id_0,97,802,sum_of_positives
param_id_0,97,811,sum_of_positives
param_id_0,97,1082,sum_of_positives
param_id_0,97,992,sum_of_positives
param_id_0,97,911,sum_of_positives
param_id_0,105,1072,sum_of_positives
param_id_0,105,891,sum_of_positives
param_id_0,105,861,sum_of_positives
param_id_0,105,982,sum_of_positives
param_id_0,105,992,sum_of_positives
param_id_0,105,662,sum_of_positives
param_id_0,105,831,sum_of_positives
param_id_0,105,862,sum_of_positives
param_id_0,105,1032,sum_of_positives
param_id_0,105,751,sum_of_positives
param_id_0,113,972,sum_of_positives
param_id_0,113,882,sum_of_positives
param_id_0,113,1012,sum_of_positives
param_id_0,113,902,sum_of_positives
param_id_0,113,1002,sum_of_positives
param_id_0,113,972,sum_of_positives
param_id_0,113,1073,sum_of_positives
param_id_0,113,791,sum_of_positives
param_id_0,113,862,sum_of_positives
param_id_0,113,992,sum_of_positives
param_id_0,121,841,sum_of_positives
param_id_0,121,812,sum_of_positives
param_id_0,121,942,sum_of_positives
param_id_0,121,881,sum_of_positives
param_id_0,121,901,sum_of_positives
param_id_0,121,892,sum_of_positives
param_id_0,121,931,sum_of_positives
param_id_0,121,1553,sum_of_positives
param_id_0,121,1192,sum_of_positives
param_id_0,121,952,sum_of_positives
param_id_0,129,1042,sum_of_positives
param_id_0,129,1052,sum_of_positives
param_id_0,129,711,sum_of_positives
param_id_0,129,1172,sum_of_positives
param_id_0,129,1353,sum_of_positives
param_id_0,129,932,sum_of_positives
param_id_0,129,1042,sum_of_positives
param_id_0,129,802,sum_of_positives
param_id_0,129,1072,sum_of_positives
param_id_0,129,1012,sum_of_positives
param_id_0,137,821,sum_of_positives
param_id_0,137,931,sum_of_positives
param_id_0,137,1032,sum_of_positives
param_id_0,137,962,sum_of_positives
param_id_0,137,892,sum_of_positives
param_id_0,137,1583,sum_of_positives
param_id_0,137,992,sum_of_positives
param_id_0,137,902,sum_of_positives
param_id_0,137,972,sum_of_positives
param_id_0,137,992,sum_of_positives
param_id_0,145,1002,sum_of_positives
param_id_0,145,1072,sum_of_positives
param_id_0,145,962,sum_of_positives
param_id_0,145,922,sum_of_positives
param_id_0,145,711,sum_of_positives
param_id_0,145,1052,sum_of_positives
param_id_0,145,881,sum_of_positives
param_id_0,145,882,sum_of_positives
param_id_0,145,1102,sum_of_positives
param_id_0,145,1082,sum_of_positives
param_id_0,153,882,sum_of_positives
param_id_0,153,1102,sum_of_positives
param_id_0,153,1102,sum_of_positives
param_id_0,153,972,sum_of_positives
param_id_0,153,1042,sum_of_positives
param_id_0,153,1102,sum_of_positives
param_id_0,153,962,sum_of_positives
param_id_0,153,1403,sum_of_positives
param_id_0,153,1082,sum_of_positives
param_id_0,153,1282,sum_of_positives
param_id_0,161,1122,sum_of_positives
param_id_0,161,992,sum_of_positives
param_id_0,161,1122,sum_of_positives
param_id_0,161,852,sum_of_positives
param_id_0,161,1312,sum_of_positives
param_id_0,161,852,sum_of_positives
param_id_0,161,981,sum_of_positives
param_id_0,161,1132,sum_of_positives
param_id_0,161,862,sum_of_positives
param_id_0,161,802,sum_of_positives
param_id_0,169,882,sum_of_positives
param_id_0,169,1242,sum_of_positives
param_id_0,169,1162,sum_of_positives
param_id_0,169,992,sum_of_positives
param_id_0,169,1072,sum_of_positives
param_id_0,169,1082,sum_of_positives
param_id_0,169,1152,sum_of_positives
param_id_0,169,1042,sum_of_positives
param_id_0,169,982,sum_of_positives
param_id_0,169,1032,sum_of_positives
param_id_0,177,1172,sum_of_positives
param_id_0,177,1132,sum_of_positives
param_id_0,177,1012,sum_of_positives
param_id_0,177,1162,sum_of_positives
param_id_0,177,932,sum_of_positives
param_id_0,177,1112,sum_of_positives
param_id_0,177,1132,sum_of_positives
param_id_0,177,912,sum_of_positives
param_id_0,177,1072,sum_of_positives
param_id_0,177,902,sum_of_positives
param_id_0,185,1093,sum_of_positives
param_id_0,185,982,sum_of_positives
param_id_0,185,1553,sum_of_positives
param_id_0,185,1112,sum_of_positives
param_id_0,185,1253,sum_of_positives
param_id_0,185,1092,sum_of_positives
param_id_0,185,1102,sum_of_positives
param_id_0,185,1022,sum_of_positives
param_id_0,185,911,sum_of_positives
param_id_0,185,952,sum_of_positives
param_id_0,193,952,sum_of_positives
param_id_0,193,1092,sum_of_positives
param_id_0,193,1012,sum_of_positives
param_id_0,193,1142,sum_of_positives
param_id_0,193,902,sum_of_positives
param_id_0,193,952,sum_of_positives
param_id_0,193,1352,sum_of_positives
param_id_0,193,1152,sum_of_positives
param_id_0,193,1122,sum_of_positives
param_id_0,193,1052,sum_of_positives
param_id_0,201,1072,sum_of_positives
param_id_0,201,1052,sum_of_positives
param_id_0,201,1163,sum_of_positives
param_id_0,201,1112,sum_of_positives
param_id_0,201,1132,sum_of_positives
param_id_0,201,942,sum_of_positives
param_id_0,201,1062,sum_of_positives
param_id_0,201,1323,sum_of_positives
param_id_0,201,1092,sum_of_positives
param_id_0,201,992,sum_of_positives
param_id_0,209,1153,sum_of_positives
param_id_0,209,1072,sum_of_positives
param_id_0,209,1012,sum_of_positives
param_id_0,209,1082,sum_of_positives
param_id_0,209,1233,sum_of_positives
param_id_0,209,1223,sum_of_positives
param_id_0,209,1062,sum_of_positives
param_id_0,209,1102,sum_of_positives
param_id_0,209,1212,sum_of_positives
param_id_0,209,1813,sum_of_positives
param_id_0,217,1763,sum_of_positives
param_id_0,217,1172,sum_of_positives
param_id_0,217,1202,sum_of_positives
param_id_0,217,1152,sum_of_positives
