param,value,time,tag
param_id_0,1,1212,sum_of_squares
param_id_0,1,931,sum_of_squares
param_id_0,1,571,sum_of_squares
param_id_0,1,421,sum_of_squares
param_id_0,1,731,sum_of_squares
param_id_0,1,240,sum_of_squares
param_id_0,1,681,sum_of_squares
param_id_0,1,281,sum_of_squares
param_id_0,1,340,sum_of_squares
param_id_0,1,220,sum_of_squares
param_id_0,9,722,sum_of_squares
param_id_0,9,481,sum_of_squares
param_id_0,9,451,sum_of_squares
param_id_0,9,401,sum_of_squares
param_id_0,9,621,sum_of_squares
param_id_0,9,511,sum_of_squares
param_id_0,9,391,sum_of_squares
param_id_0,9,310,sum_of_squares
param_id_0,9,361,sum_of_squares
param_id_0,9,301,sum_of_squares
param_id_0,17,711,sum_of_squares
param_id_0,17,632,sum_of_squares
param_id_0,17,441,sum_of_squares
param_id_0,17,501,sum_of_squares
param_id_0,17,311,sum_of_squares
param_id_0,17,671,sum_of_squares
param_id_0,17,250,sum_of_squares
param_id_0,17,240,sum_of_squares
param_id_0,17,331,sum_of_squares
param_id_0,17,811,sum_of_squares
param_id_0,25,351,sum_of_squares
param_id_0,25,661,sum_of_squares
param_id_0,25,922,sum_of_squares
param_id_0,25,401,sum_of_squares
param_id_0,25,651,sum_of_squares
param_id_0,25,331,sum_of_squares
param_id_0,25,341,sum_of_squares
param_id_0,25,371,sum_of_squares
param_id_0,25,471,sum_of_squares
param_id_0,25,361,sum_of_squares
param_id_0,33,1213,sum_of_squares
param_id_0,33,1022,sum_of_squares
param_id_0,33,431,sum_of_squares
param_id_0,33,501,sum_of_squares
param_id_0,33,651,sum_of_squares
param_id_0,33,471,sum_of_squares
param_id_0,33,672,sum_of_squares
param_id_0,33,461,sum_of_squares
param_id_0,33,541,sum_of_squares
param_id_0,33,642,sum_of_squares
param_id_0,41,571,sum_of_squares
param_id_0,41,651,sum_of_squares
param_id_0,41,641,sum_of_squares
param_id_0,41,852,sum_of_squares
param_id_0,41,481,sum_of_squares
param_id_0,41,491,sum_of_squares
param_id_0,41,612,sum_of_squares
param_id_0,41,661,sum_of_squares
param_id_0,41,601,sum_of_squares
param_id_0,41,621,sum_of_squares
param_id_0,49,551,sum_of_squares
param_id_0,49,771,sum_of_squares
param_id_0,49,601,sum_of_squares
param_id_0,49,551,sum_of_squares
param_id_0,49,521,sum_of_squares
param_id_0,49,1002,sum_of_squares
param_id_0,49,771,sum_of_squares
param_id_0,49,761,sum_of_squares
param_id_0,49,471,sum_of_squares
param_id_0,49,591,sum_of_squares
param_id_0,57,561,sum_of_squares
param_id_0,57,911,sum_of_squares
param_id_0,57,611,sum_of_squares
param_id_0,57,682,sum_of_squares
param_id_0,57,611,sum_of_squares
param_id_0,57,661,sum_of_squares
param_id_0,57,451,sum_of_squares
param_id_0,57,872,sum_of_squares
param_id_0,57,872,sum_of_squares
param_id_0,57,811,sum_of_squares
param_id_0,65,722,sum_of_squares
param_id_0,65,591,sum_of_squares
param_id_0,65,722,sum_of_squares
param_id_0,65,722,sum_of_squares
param_id_0,65,712,sum_of_squares
param_id_0,65,751,sum_of_squares
param_id_0,65,581,sum_of_squares
param_id_0,65,681,sum_of_squares
param_id_0,65,791,sum_of_squares
param_id_0,65,651,sum_of_squares
param_id_0,73,1042,sum_of_squares
param_id_0,73,942,sum_of_squares
param_id_0,73,962,sum_of_squares
param_id_0,73,702,sum_of_squares
param_id_0,73,731,sum_of_squares
param_id_0,73,702,sum_of_squares
param_id_0,73,621,sum_of_squares
param_id_0,73,1082,sum_of_squares
param_id_0,73,711,sum_of_squares
param_id_0,73,571,sum_of_squares
param_id_0,81,751,sum_of_squares
param_id_0,81,1112,sum_of_squares
param_id_0,81,1122,sum_of_squares
param_id_0,81,771,sum_of_squares
param_id_0,81,1293,sum_of_squares
param_id_0,81,951,sum_of_squares
param_id_0,81,711,sum_of_squares
param_id_0,81,902,sum_of_squares
param_id_0,81,711,sum_of_squares
param_id_0,81,861,sum_of_squares
param_id_0,89,972,sum_of_squares
param_id_0,89,882,sum_of_squares
param_id_0,89,1172,sum_of_squares
param_id_0,89,922,sum_of_squares
param_id_0,89,1021,sum_of_squares
param_id_0,89,902,sum_of_squares
param_id_0,89,881,sum_of_squares
param_id_0,89,891,sum_of_squares
param_id_0,89,952,sum_of_squares
param_id_0,89,862,sum_of_squares
param_id_0,97,1082,sum_of_squares
param_id_0,97,792,sum_of_squares
param_id_0,97,851,sum_of_squares
param_id_0,97,942,sum_of_squares
param_id_0,97,871,sum_of_squares
param_id_0,97,1153,sum_of_squares
param_id_0,97,772,sum_of_squares
param_id_0,97,962,sum_of_squares
param_id_0,97,762,sum_of_squares
param_id_0,97,1162,sum_of_squares
param_id_0,105,1243,sum_of_squares
param_id_0,105,1022,sum_of_squares
param_id_0,105,782,sum_of_squares
param_id_0,105,721,sum_of_squares
param_id_0,105,1052,sum_of_squares
param_id_0,105,671,sum_of_squares
param_id_0,105,932,sum_of_squares
param_id_0,105,951,sum_of_squares
param_id_0,105,1022,sum_of_squares
param_id_0,105,962,sum_of_squares
param_id_0,113,1002,sum_of_squares
param_id_0,113,921,sum_of_squares
param_id_0,113,972,sum_of_squares
param_id_0,113,832,sum_of_squares
param_id_0,113,972,sum_of_squares
param_id_0,113,1052,sum_of_squares
param_id_0,113,952,sum_of_squares
param_id_0,113,822,sum_of_squares
param_id_0,113,1022,sum_of_squares
param_id_0,113,922,sum_of_squares
param_id_0,121,1122,sum_of_squares
param_id_0,121,1002,sum_of_squares
param_id_0,121,1052,sum_of_squares
param_id_0,121,862,sum_of_squares
param_id_0,121,1142,sum_of_squares
