param,value,time,tag
n,0,1122,swap
n,0,471,swap
n,0,401,swap
n,0,1172,swap
n,0,501,swap
n,0,451,swap
n,0,411,swap
n,0,331,swap
n,0,451,swap
n,0,440,swap
n,8,551,swap
n,8,601,swap
n,8,331,swap
n,8,461,swap
n,8,541,swap
n,8,331,swap
n,8,411,swap
n,8,261,swap
n,8,441,swap
n,8,451,swap
n,16,571,swap
n,16,411,swap
n,16,441,swap
n,16,1283,swap
n,16,511,swap
n,16,551,swap
n,16,531,swap
n,16,612,swap
n,16,511,swap
n,16,411,swap
n,24,521,swap
n,24,501,swap
n,24,1103,swap
n,24,1282,swap
n,24,741,swap
n,24,682,swap
n,24,661,swap
n,24,581,swap
n,24,972,swap
n,24,521,swap
n,32,672,swap
n,32,551,swap
n,32,631,swap
n,32,531,swap
n,32,652,swap
n,32,1533,swap
n,32,771,swap
n,32,551,swap
n,32,742,swap
n,32,521,swap
n,40,521,swap
n,40,571,swap
n,40,571,swap
n,40,762,swap
n,40,712,swap
n,40,571,swap
n,40,481,swap
n,40,882,swap
n,40,551,swap
n,40,541,swap
n,48,582,swap
n,48,561,swap
n,48,1173,swap
n,48,571,swap
n,48,782,swap
n,48,591,swap
n,48,831,swap
n,48,902,swap
n,48,791,swap
n,48,671,swap
n,56,591,swap
n,56,591,swap
n,56,571,swap
n,56,581,swap
n,56,621,swap
n,56,831,swap
n,56,541,swap
n,56,1363,swap
n,56,1453,swap
n,56,1142,swap
n,64,642,swap
n,64,622,swap
n,64,481,swap
n,64,581,swap
n,64,621,swap
n,64,671,swap
n,64,702,swap
n,64,1443,swap
n,64,691,swap
n,64,731,swap
n,72,1363,swap
n,72,641,swap
n,72,891,swap
n,72,861,swap
n,72,511,swap
n,72,471,swap
n,72,601,swap
n,72,691,swap
n,72,511,swap
n,72,511,swap
n,80,942,swap
n,80,791,swap
n,80,521,swap
n,80,962,swap
n,80,611,swap
n,80,631,swap
n,80,521,swap
n,80,1342,swap
n,80,772,swap
n,80,701,swap
n,88,481,swap
n,88,721,swap
n,88,330,swap
n,88,762,swap
n,88,681,swap
n,88,521,swap
n,88,862,swap
n,88,491,swap
n,88,611,swap
n,88,511,swap
n,96,561,swap
n,96,501,swap
n,96,862,swap
n,96,631,swap
n,96,1032,swap
n,96,842,swap
n,96,1163,swap
n,96,451,swap
n,96,1022,swap
n,96,1092,swap
n,104,771,swap
n,104,841,swap
n,104,631,swap
n,104,742,swap
n,104,1222,swap
n,104,931,swap
n,104,501,swap
n,104,872,swap
n,104,561,swap
n,104,671,swap
n,112,561,swap
n,112,641,swap
n,112,601,swap
n,112,942,swap
n,112,601,swap
n,112,911,swap
n,112,892,swap
n,112,572,swap
n,112,741,swap
n,112,672,swap
n,120,1532,swap
n,120,1083,swap
n,120,851,swap
n,120,1423,swap
n,120,441,swap
n,120,701,swap
n,120,902,swap
n,120,681,swap
n,120,471,swap
n,120,1202,swap
n,128,481,swap
n,128,802,swap
n,128,701,swap
n,128,1222,swap
n,128,1453,swap
n,128,611,swap
n,128,872,swap
n,128,631,swap
n,128,571,swap
n,128,922,swap
n,136,942,swap
n,136,551,swap
n,136,682,swap
n,136,571,swap
n,136,791,swap
n,136,791,swap
n,136,681,swap
n,136,682,swap
n,136,812,swap
n,136,591,swap
n,144,1473,swap
n,144,961,swap
n,144,1022,swap
n,144,1433,swap
n,144,762,swap
n,144,1232,swap
n,144,732,swap
n,144,591,swap
n,144,771,swap
n,144,2024,swap
n,152,591,swap
n,152,1543,swap
n,152,822,swap
n,152,941,swap
n,152,772,swap
n,152,561,swap
n,152,1152,swap
n,152,771,swap
n,152,912,swap
n,152,1623,swap
n,160,871,swap
n,160,982,swap
n,160,511,swap
n,160,1472,swap
n,160,691,swap
n,160,911,swap
n,160,932,swap
n,160,841,swap
n,160,581,swap
n,160,892,swap
n,168,652,swap
n,168,1894,swap
n,168,1483,swap
n,168,1794,swap
n,168,782,swap
n,168,1553,swap
n,168,932,swap
n,168,621,swap
n,168,1122,swap
n,168,722,swap
n,176,851,swap
n,176,1012,swap
n,176,782,swap
n,176,681,swap
n,176,601,swap
n,176,581,swap
n,176,792,swap
n,176,1473,swap
n,176,891,swap
n,176,771,swap
n,184,1182,swap
n,184,771,swap
n,184,972,swap
n,184,591,swap
n,184,702,swap
n,184,661,swap
n,184,1423,swap
n,184,882,swap
n,184,842,swap
n,184,1844,swap
n,192,792,swap
n,192,682,swap
n,192,1432,swap
n,192,711,swap
n,192,922,swap
n,192,712,swap
n,192,711,swap
n,192,1052,swap
n,192,1513,swap
n,192,1232,swap
n,200,882,swap
n,200,1242,swap
n,200,692,swap
n,200,531,swap
n,200,722,swap
n,200,821,swap
n,200,961,swap
n,200,812,swap
n,200,941,swap
n,200,1503,swap
n,208,1473,swap
n,208,1493,swap
n,208,741,swap
n,208,772,swap
n,208,771,swap
n,208,721,swap
n,208,1432,swap
n,208,1373,swap
n,208,742,swap
n,208,1012,swap
n,216,642,swap
n,216,1483,swap
n,216,811,swap
n,216,691,swap
n,216,872,swap
n,216,701,swap
n,216,801,swap
n,216,1292,swap
n,216,1473,swap
n,216,972,swap
n,224,1373,swap
n,224,642,swap
n,224,812,swap
n,224,1383,swap
n,224,672,swap
n,224,661,swap
n,224,722,swap
n,224,791,swap
n,224,632,swap
n,224,511,swap
n,232,1062,swap
n,232,1362,swap
n,232,962,swap
n,232,841,swap
n,232,511,swap
n,232,922,swap
n,232,1122,swap
n,232,1512,swap
n,232,1483,swap
n,232,1834,swap
n,240,1363,swap
n,240,1573,swap
n,240,1162,swap
n,240,881,swap
n,240,612,swap
n,240,942,swap
n,240,802,swap
n,240,772,swap
n,240,531,swap
n,240,992,swap
n,248,591,swap
n,248,891,swap
n,248,661,swap
n,248,601,swap
n,248,962,swap
n,248,792,swap
n,248,661,swap
n,248,731,swap
n,248,1964,swap
n,248,702,swap
n,256,712,swap
n,256,872,swap
n,256,602,swap
n,256,882,swap
n,256,1352,swap
n,256,802,swap
n,256,771,swap
n,256,1452,swap
n,256,510,swap
n,256,1533,swap
n,264,1814,swap
n,264,822,swap
n,264,902,swap
n,264,821,swap
n,264,1232,swap
n,264,1553,swap
n,264,842,swap
