param,value,time,tag
param_id_0,1,213606,kernel_symm
param_id_0,1,214518,kernel_symm
param_id_0,1,213936,kernel_symm
param_id_0,1,213666,kernel_symm
param_id_0,1,213877,kernel_symm
param_id_0,1,214037,kernel_symm
param_id_0,1,213657,kernel_symm
param_id_0,1,214137,kernel_symm
param_id_0,1,213626,kernel_symm
param_id_0,1,213806,kernel_symm
param_id_0,9,1918936,kernel_symm
param_id_0,9,1933294,kernel_symm
param_id_0,9,1923656,kernel_symm
param_id_0,9,1953963,kernel_symm
param_id_0,9,1909047,kernel_symm
param_id_0,9,1908297,kernel_symm
param_id_0,9,1913626,kernel_symm
param_id_0,9,1913616,kernel_symm
param_id_0,9,1913436,kernel_symm
param_id_0,9,1912645,kernel_symm
param_id_0,17,3611163,kernel_symm
param_id_0,17,3611302,kernel_symm
param_id_0,17,3611844,kernel_symm
param_id_0,17,3611082,kernel_symm
param_id_0,17,3618346,kernel_symm
param_id_0,17,3611193,kernel_symm
param_id_0,17,3607816,kernel_symm
param_id_0,17,3612635,kernel_symm
param_id_0,17,3619167,kernel_symm
param_id_0,17,3611624,kernel_symm
param_id_0,25,5317735,kernel_symm
param_id_0,25,5312626,kernel_symm
param_id_0,25,5313969,kernel_symm
param_id_0,25,5314539,kernel_symm
param_id_0,25,5367169,kernel_symm
param_id_0,25,5351539,kernel_symm
param_id_0,25,5355327,kernel_symm
param_id_0,25,5314951,kernel_symm
param_id_0,25,5312997,kernel_symm
param_id_0,25,5317274,kernel_symm
param_id_0,33,7027074,kernel_symm
param_id_0,33,7027725,kernel_symm
param_id_0,33,7024508,kernel_symm
param_id_0,33,7025421,kernel_symm
param_id_0,33,7016743,kernel_symm
param_id_0,33,7026643,kernel_symm
param_id_0,33,7026693,kernel_symm
param_id_0,33,7027415,kernel_symm
param_id_0,33,7025761,kernel_symm
param_id_0,33,7052653,kernel_symm
param_id_0,41,8799862,kernel_symm
param_id_0,41,8736022,kernel_symm
param_id_0,41,8748124,kernel_symm
param_id_0,41,8742163,kernel_symm
param_id_0,41,8742965,kernel_symm
param_id_0,41,8742013,kernel_symm
param_id_0,41,8744077,kernel_symm
param_id_0,41,8745218,kernel_symm
param_id_0,41,8742604,kernel_symm
param_id_0,41,8741973,kernel_symm
param_id_0,49,10410203,kernel_symm
param_id_0,49,10483834,kernel_symm
param_id_0,49,10459276,kernel_symm
param_id_0,49,10416235,kernel_symm
param_id_0,49,10420864,kernel_symm
param_id_0,49,10411505,kernel_symm
param_id_0,49,10417296,kernel_symm
param_id_0,49,10421285,kernel_symm
param_id_0,49,10419029,kernel_symm
param_id_0,49,10415383,kernel_symm
param_id_0,57,12140471,kernel_symm
param_id_0,57,12167081,kernel_symm
param_id_0,57,12141273,kernel_symm
param_id_0,57,12143648,kernel_symm
param_id_0,57,12145691,kernel_symm
param_id_0,57,12139960,kernel_symm
param_id_0,57,12139099,kernel_symm
param_id_0,57,12135572,kernel_symm
param_id_0,57,12136293,kernel_symm
param_id_0,57,12139559,kernel_symm
param_id_0,65,13837667,kernel_symm
param_id_0,65,13824562,kernel_symm
param_id_0,65,13844540,kernel_symm
param_id_0,65,13835643,kernel_symm
param_id_0,65,13858977,kernel_symm
param_id_0,65,13844730,kernel_symm
param_id_0,65,13837026,kernel_symm
param_id_0,65,13830222,kernel_symm
param_id_0,65,13836053,kernel_symm
param_id_0,65,13892550,kernel_symm
param_id_0,73,15583545,kernel_symm
param_id_0,73,15616557,kernel_symm
param_id_0,73,15580960,kernel_symm
param_id_0,73,15584086,kernel_symm
param_id_0,73,15591058,kernel_symm
param_id_0,73,15579897,kernel_symm
param_id_0,73,15589966,kernel_symm
param_id_0,73,15581550,kernel_symm
param_id_0,73,15583233,kernel_symm
param_id_0,73,15575379,kernel_symm
param_id_0,81,17333169,kernel_symm
param_id_0,81,17334221,kernel_symm
param_id_0,81,17313712,kernel_symm
param_id_0,81,17329212,kernel_symm
param_id_0,81,17312149,kernel_symm
param_id_0,81,17323140,kernel_symm
param_id_0,81,17320666,kernel_symm
param_id_0,81,17428972,kernel_symm
param_id_0,81,17324452,kernel_symm
param_id_0,81,17328971,kernel_symm
param_id_0,89,19045443,kernel_symm
param_id_0,89,19032228,kernel_symm
param_id_0,89,19033652,kernel_symm
param_id_0,89,19091631,kernel_symm
