param,value,time,tag
param_id_0,1,3316,kernel_syr2k
param_id_0,1,3086,kernel_syr2k
param_id_0,1,3036,kernel_syr2k
param_id_0,1,2896,kernel_syr2k
param_id_0,1,2625,kernel_syr2k
param_id_0,1,2625,kernel_syr2k
param_id_0,1,2985,kernel_syr2k
param_id_0,1,2695,kernel_syr2k
param_id_0,1,2726,kernel_syr2k
param_id_0,1,2775,kernel_syr2k
param_id_0,9,172117,kernel_syr2k
param_id_0,9,172228,kernel_syr2k
param_id_0,9,172598,kernel_syr2k
param_id_0,9,180553,kernel_syr2k
param_id_0,9,173399,kernel_syr2k
param_id_0,9,172077,kernel_syr2k
param_id_0,9,171927,kernel_syr2k
param_id_0,9,172017,kernel_syr2k
param_id_0,9,172688,kernel_syr2k
param_id_0,9,171866,kernel_syr2k
param_id_0,17,613937,kernel_syr2k
param_id_0,17,614227,kernel_syr2k
param_id_0,17,613966,kernel_syr2k
param_id_0,17,614067,kernel_syr2k
param_id_0,17,613726,kernel_syr2k
param_id_0,17,618425,kernel_syr2k
param_id_0,17,613425,kernel_syr2k
param_id_0,17,613827,kernel_syr2k
param_id_0,17,613626,kernel_syr2k
param_id_0,17,613637,kernel_syr2k
param_id_0,25,1327843,kernel_syr2k
param_id_0,25,1328665,kernel_syr2k
param_id_0,25,1324367,kernel_syr2k
param_id_0,25,1329847,kernel_syr2k
param_id_0,25,1334636,kernel_syr2k
param_id_0,25,1335367,kernel_syr2k
param_id_0,25,1323876,kernel_syr2k
param_id_0,25,1325138,kernel_syr2k
param_id_0,25,1329667,kernel_syr2k
param_id_0,25,1328304,kernel_syr2k
param_id_0,33,2309007,kernel_syr2k
param_id_0,33,2309168,kernel_syr2k
param_id_0,33,2316683,kernel_syr2k
param_id_0,33,2304960,kernel_syr2k
param_id_0,33,2309259,kernel_syr2k
param_id_0,33,2304329,kernel_syr2k
param_id_0,33,2314058,kernel_syr2k
param_id_0,33,2342330,kernel_syr2k
param_id_0,33,2313687,kernel_syr2k
param_id_0,33,2309570,kernel_syr2k
param_id_0,41,3570485,kernel_syr2k
param_id_0,41,3566096,kernel_syr2k
param_id_0,41,3571757,kernel_syr2k
param_id_0,41,3572940,kernel_syr2k
param_id_0,41,3576096,kernel_syr2k
param_id_0,41,3560576,kernel_syr2k
param_id_0,41,3567740,kernel_syr2k
param_id_0,41,3562710,kernel_syr2k
param_id_0,41,3567940,kernel_syr2k
param_id_0,41,3562700,kernel_syr2k
param_id_0,49,5094491,kernel_syr2k
param_id_0,49,5095293,kernel_syr2k
param_id_0,49,5091074,kernel_syr2k
param_id_0,49,5095764,kernel_syr2k
param_id_0,49,5095193,kernel_syr2k
param_id_0,49,5095442,kernel_syr2k
param_id_0,49,5092227,kernel_syr2k
param_id_0,49,5095523,kernel_syr2k
param_id_0,49,5094392,kernel_syr2k
param_id_0,49,5093339,kernel_syr2k
param_id_0,57,6886967,kernel_syr2k
param_id_0,57,6884292,kernel_syr2k
param_id_0,57,6888640,kernel_syr2k
param_id_0,57,6898409,kernel_syr2k
param_id_0,57,6882389,kernel_syr2k
param_id_0,57,6884092,kernel_syr2k
param_id_0,57,6889602,kernel_syr2k
param_id_0,57,6884834,kernel_syr2k
param_id_0,57,6889802,kernel_syr2k
param_id_0,57,6888441,kernel_syr2k
param_id_0,65,8948044,kernel_syr2k
param_id_0,65,8953085,kernel_syr2k
param_id_0,65,8953925,kernel_syr2k
param_id_0,65,8960879,kernel_syr2k
param_id_0,65,8953395,kernel_syr2k
param_id_0,65,8958023,kernel_syr2k
param_id_0,65,8966309,kernel_syr2k
param_id_0,65,8965907,kernel_syr2k
param_id_0,65,8965768,kernel_syr2k
param_id_0,65,8960298,kernel_syr2k
param_id_0,73,11297409,kernel_syr2k
param_id_0,73,11289044,kernel_syr2k
param_id_0,73,11300244,kernel_syr2k
param_id_0,73,11296366,kernel_syr2k
param_id_0,73,11314843,kernel_syr2k
param_id_0,73,11294755,kernel_syr2k
param_id_0,73,11297218,kernel_syr2k
param_id_0,73,11296297,kernel_syr2k
param_id_0,73,11290146,kernel_syr2k
param_id_0,73,11298641,kernel_syr2k
param_id_0,81,13905906,kernel_syr2k
param_id_0,81,13898373,kernel_syr2k
param_id_0,81,13896168,kernel_syr2k
param_id_0,81,13903952,kernel_syr2k
param_id_0,81,13906296,kernel_syr2k
param_id_0,81,13900064,kernel_syr2k
param_id_0,81,13910666,kernel_syr2k
param_id_0,81,13907740,kernel_syr2k
param_id_0,81,13912398,kernel_syr2k
param_id_0,81,13904293,kernel_syr2k
param_id_0,89,16800347,kernel_syr2k
param_id_0,89,16780508,kernel_syr2k
param_id_0,89,16784365,kernel_syr2k
param_id_0,89,16776541,kernel_syr2k
param_id_0,89,16769938,kernel_syr2k
param_id_0,89,16788615,kernel_syr2k
param_id_0,89,16774278,kernel_syr2k
