param,value,time,tag
param_id_0,1,611,kernel_trisolv
param_id_0,1,211,kernel_trisolv
param_id_0,1,1052,kernel_trisolv
param_id_0,1,200,kernel_trisolv
param_id_0,1,181,kernel_trisolv
param_id_0,1,1112,kernel_trisolv
param_id_0,1,391,kernel_trisolv
param_id_0,1,952,kernel_trisolv
param_id_0,1,390,kernel_trisolv
param_id_0,1,711,kernel_trisolv
param_id_0,9,1502,kernel_trisolv
param_id_0,9,801,kernel_trisolv
param_id_0,9,541,kernel_trisolv
param_id_0,9,1874,kernel_trisolv
param_id_0,9,651,kernel_trisolv
param_id_0,9,662,kernel_trisolv
param_id_0,9,651,kernel_trisolv
param_id_0,9,1233,kernel_trisolv
param_id_0,9,1322,kernel_trisolv
param_id_0,9,842,kernel_trisolv
param_id_0,17,1643,kernel_trisolv
param_id_0,17,1402,kernel_trisolv
param_id_0,17,1433,kernel_trisolv
param_id_0,17,1293,kernel_trisolv
param_id_0,17,1353,kernel_trisolv
param_id_0,17,1252,kernel_trisolv
param_id_0,17,1072,kernel_trisolv
param_id_0,17,1513,kernel_trisolv
param_id_0,17,1343,kernel_trisolv
param_id_0,17,1132,kernel_trisolv
param_id_0,25,2244,kernel_trisolv
param_id_0,25,3346,kernel_trisolv
param_id_0,25,2325,kernel_trisolv
param_id_0,25,1753,kernel_trisolv
param_id_0,25,1904,kernel_trisolv
param_id_0,25,2284,kernel_trisolv
param_id_0,25,2104,kernel_trisolv
param_id_0,25,2364,kernel_trisolv
param_id_0,25,2014,kernel_trisolv
param_id_0,25,2174,kernel_trisolv
param_id_0,33,2765,kernel_trisolv
param_id_0,33,3337,kernel_trisolv
param_id_0,33,2975,kernel_trisolv
param_id_0,33,3176,kernel_trisolv
param_id_0,33,2815,kernel_trisolv
param_id_0,33,3166,kernel_trisolv
param_id_0,33,3707,kernel_trisolv
param_id_0,33,2895,kernel_trisolv
param_id_0,33,3066,kernel_trisolv
param_id_0,33,3036,kernel_trisolv
param_id_0,41,5090,kernel_trisolv
param_id_0,41,4408,kernel_trisolv
param_id_0,41,5831,kernel_trisolv
param_id_0,41,4098,kernel_trisolv
param_id_0,41,4288,kernel_trisolv
param_id_0,41,4388,kernel_trisolv
param_id_0,41,3918,kernel_trisolv
param_id_0,41,4498,kernel_trisolv
param_id_0,41,5089,kernel_trisolv
param_id_0,41,5250,kernel_trisolv
param_id_0,49,5330,kernel_trisolv
param_id_0,49,5861,kernel_trisolv
param_id_0,49,6111,kernel_trisolv
param_id_0,49,5561,kernel_trisolv
param_id_0,49,5761,kernel_trisolv
param_id_0,49,6232,kernel_trisolv
param_id_0,49,5530,kernel_trisolv
param_id_0,49,5681,kernel_trisolv
param_id_0,49,7013,kernel_trisolv
param_id_0,49,5971,kernel_trisolv
param_id_0,57,7704,kernel_trisolv
param_id_0,57,7304,kernel_trisolv
param_id_0,57,7143,kernel_trisolv
param_id_0,57,8085,kernel_trisolv
param_id_0,57,6703,kernel_trisolv
param_id_0,57,8156,kernel_trisolv
param_id_0,57,7264,kernel_trisolv
param_id_0,57,7515,kernel_trisolv
param_id_0,57,7344,kernel_trisolv
param_id_0,57,7465,kernel_trisolv
param_id_0,65,10029,kernel_trisolv
param_id_0,65,9899,kernel_trisolv
param_id_0,65,9488,kernel_trisolv
param_id_0,65,9839,kernel_trisolv
param_id_0,65,9418,kernel_trisolv
param_id_0,65,10139,kernel_trisolv
param_id_0,65,9869,kernel_trisolv
param_id_0,65,10289,kernel_trisolv
param_id_0,65,9328,kernel_trisolv
param_id_0,65,9478,kernel_trisolv
param_id_0,73,11932,kernel_trisolv
param_id_0,73,10801,kernel_trisolv
param_id_0,73,11532,kernel_trisolv
param_id_0,73,11763,kernel_trisolv
param_id_0,73,11011,kernel_trisolv
param_id_0,73,11682,kernel_trisolv
param_id_0,73,12033,kernel_trisolv
param_id_0,73,11251,kernel_trisolv
param_id_0,73,11943,kernel_trisolv
param_id_0,73,10900,kernel_trisolv
param_id_0,81,13826,kernel_trisolv
param_id_0,81,13185,kernel_trisolv
param_id_0,81,15169,kernel_trisolv
param_id_0,81,14678,kernel_trisolv
param_id_0,81,14788,kernel_trisolv
param_id_0,81,13856,kernel_trisolv
param_id_0,81,14026,kernel_trisolv
param_id_0,81,13345,kernel_trisolv
param_id_0,81,14658,kernel_trisolv
param_id_0,81,14147,kernel_trisolv
param_id_0,89,16301,kernel_trisolv
param_id_0,89,16231,kernel_trisolv
param_id_0,89,16281,kernel_trisolv
param_id_0,89,15920,kernel_trisolv
param_id_0,89,16972,kernel_trisolv
param_id_0,89,15690,kernel_trisolv
param_id_0,89,16982,kernel_trisolv
param_id_0,89,17032,kernel_trisolv
param_id_0,89,16201,kernel_trisolv
param_id_0,89,16582,kernel_trisolv
param_id_0,97,19988,kernel_trisolv
param_id_0,97,19727,kernel_trisolv
param_id_0,97,19026,kernel_trisolv
param_id_0,97,18936,kernel_trisolv
param_id_0,97,19487,kernel_trisolv
param_id_0,97,19697,kernel_trisolv
param_id_0,97,18645,kernel_trisolv
param_id_0,97,19316,kernel_trisolv
param_id_0,97,18355,kernel_trisolv
param_id_0,97,18796,kernel_trisolv
param_id_0,105,23064,kernel_trisolv
param_id_0,105,21802,kernel_trisolv
param_id_0,105,22523,kernel_trisolv
param_id_0,105,22693,kernel_trisolv
param_id_0,105,22282,kernel_trisolv
param_id_0,105,21321,kernel_trisolv
param_id_0,105,22122,kernel_trisolv
param_id_0,105,22072,kernel_trisolv
param_id_0,105,22032,kernel_trisolv
param_id_0,105,20890,kernel_trisolv
param_id_0,113,25589,kernel_trisolv
param_id_0,113,26190,kernel_trisolv
param_id_0,113,26210,kernel_trisolv
param_id_0,113,25880,kernel_trisolv
param_id_0,113,27843,kernel_trisolv
param_id_0,113,25669,kernel_trisolv
param_id_0,113,27121,kernel_trisolv
param_id_0,113,24987,kernel_trisolv
param_id_0,113,27633,kernel_trisolv
param_id_0,113,25368,kernel_trisolv
param_id_0,121,30248,kernel_trisolv
param_id_0,121,28585,kernel_trisolv
param_id_0,121,32712,kernel_trisolv
param_id_0,121,29146,kernel_trisolv
param_id_0,121,30347,kernel_trisolv
param_id_0,121,27643,kernel_trisolv
param_id_0,121,29907,kernel_trisolv
param_id_0,121,29395,kernel_trisolv
param_id_0,121,33523,kernel_trisolv
param_id_0,121,28123,kernel_trisolv
param_id_0,129,33814,kernel_trisolv
param_id_0,129,33844,kernel_trisolv
param_id_0,129,33905,kernel_trisolv
param_id_0,129,35368,kernel_trisolv
param_id_0,129,35037,kernel_trisolv
param_id_0,129,34446,kernel_trisolv
param_id_0,129,34757,kernel_trisolv
param_id_0,129,34345,kernel_trisolv
param_id_0,129,33854,kernel_trisolv
param_id_0,129,33724,kernel_trisolv
param_id_0,137,37862,kernel_trisolv
param_id_0,137,37381,kernel_trisolv
param_id_0,137,37091,kernel_trisolv
param_id_0,137,38363,kernel_trisolv
param_id_0,137,37902,kernel_trisolv
param_id_0,137,39034,kernel_trisolv
param_id_0,137,38052,kernel_trisolv
param_id_0,137,37591,kernel_trisolv
param_id_0,137,37321,kernel_trisolv
param_id_0,137,36589,kernel_trisolv
param_id_0,145,43082,kernel_trisolv
param_id_0,145,46107,kernel_trisolv
param_id_0,145,45006,kernel_trisolv
param_id_0,145,44755,kernel_trisolv
param_id_0,145,44605,kernel_trisolv
param_id_0,145,44053,kernel_trisolv
param_id_0,145,45827,kernel_trisolv
param_id_0,145,45005,kernel_trisolv
param_id_0,145,43613,kernel_trisolv
param_id_0,145,43623,kernel_trisolv
