param,value,time,tag
param_id_0,1,410,kernel_trmm
param_id_0,1,70,kernel_trmm
param_id_0,1,61,kernel_trmm
param_id_0,1,250,kernel_trmm
param_id_0,1,330,kernel_trmm
param_id_0,1,120,kernel_trmm
param_id_0,1,100,kernel_trmm
param_id_0,1,190,kernel_trmm
param_id_0,1,90,kernel_trmm
param_id_0,1,141,kernel_trmm
param_id_0,9,2364,kernel_trmm
param_id_0,9,2265,kernel_trmm
param_id_0,9,2385,kernel_trmm
param_id_0,9,2275,kernel_trmm
param_id_0,9,2135,kernel_trmm
param_id_0,9,2435,kernel_trmm
param_id_0,9,2224,kernel_trmm
param_id_0,9,2114,kernel_trmm
param_id_0,9,2144,kernel_trmm
param_id_0,9,2144,kernel_trmm
param_id_0,17,11802,kernel_trmm
param_id_0,17,12133,kernel_trmm
param_id_0,17,11733,kernel_trmm
param_id_0,17,12133,kernel_trmm
param_id_0,17,12304,kernel_trmm
param_id_0,17,12013,kernel_trmm
param_id_0,17,11883,kernel_trmm
param_id_0,17,12334,kernel_trmm
param_id_0,17,11922,kernel_trmm
param_id_0,17,12033,kernel_trmm
param_id_0,25,36720,kernel_trmm
param_id_0,25,36960,kernel_trmm
param_id_0,25,37120,kernel_trmm
param_id_0,25,36860,kernel_trmm
param_id_0,25,36579,kernel_trmm
param_id_0,25,36930,kernel_trmm
param_id_0,25,36930,kernel_trmm
param_id_0,25,37110,kernel_trmm
param_id_0,25,41088,kernel_trmm
param_id_0,25,36870,kernel_trmm
param_id_0,33,84010,kernel_trmm
param_id_0,33,83659,kernel_trmm
param_id_0,33,83689,kernel_trmm
param_id_0,33,83459,kernel_trmm
param_id_0,33,83629,kernel_trmm
param_id_0,33,84180,kernel_trmm
param_id_0,33,83779,kernel_trmm
param_id_0,33,83969,kernel_trmm
param_id_0,33,83609,kernel_trmm
param_id_0,33,84240,kernel_trmm
param_id_0,41,157850,kernel_trmm
param_id_0,41,158551,kernel_trmm
param_id_0,41,158491,kernel_trmm
param_id_0,41,163581,kernel_trmm
param_id_0,41,158821,kernel_trmm
param_id_0,41,158301,kernel_trmm
param_id_0,41,157880,kernel_trmm
param_id_0,41,159042,kernel_trmm
param_id_0,41,157830,kernel_trmm
param_id_0,41,159753,kernel_trmm
param_id_0,49,270224,kernel_trmm
param_id_0,49,271276,kernel_trmm
param_id_0,49,271546,kernel_trmm
param_id_0,49,270655,kernel_trmm
param_id_0,49,270594,kernel_trmm
param_id_0,49,271806,kernel_trmm
param_id_0,49,270585,kernel_trmm
param_id_0,49,276646,kernel_trmm
param_id_0,49,270394,kernel_trmm
param_id_0,49,270775,kernel_trmm
param_id_0,57,420329,kernel_trmm
param_id_0,57,423525,kernel_trmm
param_id_0,57,419878,kernel_trmm
param_id_0,57,424467,kernel_trmm
param_id_0,57,419387,kernel_trmm
param_id_0,57,425448,kernel_trmm
param_id_0,57,424467,kernel_trmm
param_id_0,57,424747,kernel_trmm
param_id_0,57,418495,kernel_trmm
param_id_0,57,423074,kernel_trmm
