param,value,time,tag
n,0,592,vabs
n,0,451,vabs
n,0,491,vabs
n,0,481,vabs
n,0,751,vabs
n,0,612,vabs
n,0,471,vabs
n,0,601,vabs
n,0,481,vabs
n,0,491,vabs
n,8,652,vabs
n,8,641,vabs
n,8,431,vabs
n,8,471,vabs
n,8,451,vabs
n,8,591,vabs
n,8,441,vabs
n,8,641,vabs
n,8,831,vabs
n,8,581,vabs
n,16,461,vabs
n,16,471,vabs
n,16,440,vabs
n,16,430,vabs
n,16,451,vabs
n,16,571,vabs
n,16,450,vabs
n,16,311,vabs
n,16,311,vabs
n,16,311,vabs
n,24,471,vabs
n,24,751,vabs
n,24,481,vabs
n,24,441,vabs
n,24,481,vabs
n,24,311,vabs
n,24,451,vabs
n,24,300,vabs
n,24,861,vabs
n,24,451,vabs
n,32,491,vabs
n,32,611,vabs
n,32,491,vabs
n,32,471,vabs
n,32,1202,vabs
n,32,451,vabs
n,32,480,vabs
n,32,1493,vabs
n,32,521,vabs
n,32,862,vabs
n,40,611,vabs
n,40,642,vabs
n,40,571,vabs
n,40,561,vabs
n,40,912,vabs
n,40,451,vabs
n,40,591,vabs
n,40,561,vabs
n,40,621,vabs
n,40,1292,vabs
n,48,351,vabs
n,48,461,vabs
n,48,992,vabs
n,48,632,vabs
n,48,591,vabs
n,48,481,vabs
n,48,461,vabs
n,48,581,vabs
n,48,591,vabs
n,48,441,vabs
n,56,1092,vabs
n,56,330,vabs
n,56,601,vabs
n,56,531,vabs
n,56,622,vabs
n,56,681,vabs
n,56,431,vabs
n,56,460,vabs
n,56,330,vabs
n,56,431,vabs
n,64,441,vabs
n,64,551,vabs
n,64,461,vabs
n,64,611,vabs
n,64,742,vabs
n,64,1012,vabs
n,64,571,vabs
n,64,781,vabs
n,64,572,vabs
n,64,992,vabs
n,72,581,vabs
n,72,711,vabs
n,72,771,vabs
n,72,541,vabs
n,72,781,vabs
n,72,621,vabs
n,72,571,vabs
n,72,862,vabs
n,72,621,vabs
n,72,541,vabs
n,80,661,vabs
n,80,541,vabs
n,80,621,vabs
n,80,611,vabs
n,80,1002,vabs
n,80,752,vabs
n,80,541,vabs
n,80,1082,vabs
n,80,320,vabs
n,80,671,vabs
n,88,801,vabs
n,88,571,vabs
n,88,561,vabs
n,88,721,vabs
n,88,501,vabs
n,88,761,vabs
n,88,561,vabs
n,88,732,vabs
n,88,591,vabs
n,88,922,vabs
n,96,511,vabs
n,96,501,vabs
n,96,621,vabs
n,96,591,vabs
n,96,862,vabs
n,96,1232,vabs
n,96,581,vabs
n,96,441,vabs
n,96,611,vabs
n,96,571,vabs
n,104,631,vabs
n,104,521,vabs
n,104,581,vabs
n,104,591,vabs
n,104,871,vabs
n,104,581,vabs
n,104,1293,vabs
n,104,470,vabs
n,104,721,vabs
n,104,501,vabs
n,112,892,vabs
n,112,451,vabs
n,112,771,vabs
n,112,441,vabs
n,112,722,vabs
n,112,611,vabs
n,112,1122,vabs
n,112,702,vabs
n,112,681,vabs
n,112,581,vabs
n,120,601,vabs
n,120,591,vabs
n,120,491,vabs
n,120,712,vabs
n,120,871,vabs
n,120,621,vabs
n,120,1092,vabs
n,120,642,vabs
n,120,331,vabs
n,120,1042,vabs
n,128,631,vabs
n,128,572,vabs
n,128,631,vabs
n,128,771,vabs
n,128,741,vabs
n,128,782,vabs
n,128,581,vabs
n,128,461,vabs
n,128,511,vabs
n,128,571,vabs
n,136,1092,vabs
n,136,732,vabs
n,136,591,vabs
n,136,1102,vabs
n,136,611,vabs
n,136,631,vabs
n,136,581,vabs
n,136,772,vabs
n,136,1012,vabs
n,136,591,vabs
n,144,581,vabs
n,144,741,vabs
n,144,651,vabs
n,144,561,vabs
n,144,611,vabs
n,144,741,vabs
n,144,1112,vabs
n,144,731,vabs
n,144,1092,vabs
n,144,731,vabs
n,152,772,vabs
n,152,601,vabs
n,152,591,vabs
n,152,471,vabs
n,152,461,vabs
n,152,611,vabs
n,152,1082,vabs
n,152,601,vabs
n,152,851,vabs
n,152,591,vabs
n,160,622,vabs
n,160,611,vabs
n,160,591,vabs
n,160,721,vabs
n,160,601,vabs
n,160,621,vabs
n,160,581,vabs
n,160,621,vabs
n,160,461,vabs
n,160,601,vabs
n,168,1122,vabs
n,168,771,vabs
n,168,581,vabs
n,168,591,vabs
n,168,611,vabs
n,168,752,vabs
n,168,581,vabs
n,168,591,vabs
n,168,722,vabs
n,168,601,vabs
n,176,651,vabs
n,176,651,vabs
n,176,902,vabs
n,176,671,vabs
n,176,721,vabs
n,176,490,vabs
n,176,972,vabs
n,176,622,vabs
n,176,601,vabs
n,176,611,vabs
n,184,611,vabs
n,184,811,vabs
n,184,932,vabs
n,184,571,vabs
n,184,691,vabs
n,184,741,vabs
n,184,581,vabs
n,184,882,vabs
n,184,631,vabs
n,184,591,vabs
n,192,611,vabs
n,192,632,vabs
n,192,771,vabs
n,192,992,vabs
n,192,632,vabs
n,192,571,vabs
n,192,571,vabs
n,192,742,vabs
n,192,571,vabs
n,192,732,vabs
n,200,581,vabs
n,200,591,vabs
n,200,731,vabs
n,200,591,vabs
n,200,561,vabs
n,200,622,vabs
n,200,691,vabs
n,200,591,vabs
n,200,541,vabs
n,200,631,vabs
n,208,701,vabs
n,208,751,vabs
n,208,591,vabs
n,208,711,vabs
n,208,601,vabs
n,208,731,vabs
n,208,652,vabs
n,208,722,vabs
n,208,862,vabs
n,208,682,vabs
n,216,721,vabs
n,216,481,vabs
n,216,470,vabs
n,216,971,vabs
n,216,862,vabs
n,216,631,vabs
n,216,912,vabs
n,216,621,vabs
n,216,721,vabs
n,216,631,vabs
n,224,741,vabs
n,224,1152,vabs
n,224,892,vabs
n,224,992,vabs
n,224,621,vabs
n,224,501,vabs
n,224,611,vabs
n,224,602,vabs
n,224,430,vabs
n,224,791,vabs
n,232,862,vabs
n,232,772,vabs
n,232,712,vabs
n,232,892,vabs
n,232,761,vabs
n,232,671,vabs
n,232,611,vabs
n,232,842,vabs
n,232,731,vabs
n,232,741,vabs
n,240,852,vabs
n,240,641,vabs
n,240,581,vabs
n,240,711,vabs
n,240,612,vabs
n,240,791,vabs
n,240,1192,vabs
n,240,611,vabs
n,240,942,vabs
n,240,641,vabs
n,248,781,vabs
n,248,652,vabs
n,248,631,vabs
n,248,811,vabs
n,248,591,vabs
n,248,781,vabs
n,248,641,vabs
n,248,1152,vabs
n,248,852,vabs
n,248,872,vabs
n,256,712,vabs
n,256,641,vabs
n,256,1142,vabs
n,256,611,vabs
n,256,641,vabs
n,256,722,vabs
n,256,621,vabs
n,256,461,vabs
n,256,1012,vabs
n,256,711,vabs
n,264,631,vabs
n,264,1142,vabs
n,264,591,vabs
n,264,722,vabs
n,264,871,vabs
n,264,501,vabs
n,264,731,vabs
n,264,742,vabs
n,264,731,vabs
n,264,892,vabs
n,272,902,vabs
n,272,1442,vabs
n,272,601,vabs
n,272,821,vabs
n,272,751,vabs
n,272,762,vabs
n,272,752,vabs
n,272,601,vabs
n,272,881,vabs
n,272,601,vabs
n,280,762,vabs
n,280,601,vabs
n,280,631,vabs
n,280,682,vabs
n,280,741,vabs
n,280,1092,vabs
n,280,1312,vabs
n,280,652,vabs
n,280,611,vabs
n,280,621,vabs
n,288,771,vabs
n,288,741,vabs
n,288,1102,vabs
n,288,712,vabs
n,288,581,vabs
n,288,1142,vabs
n,288,501,vabs
n,288,1843,vabs
n,288,852,vabs
n,288,801,vabs
n,296,501,vabs
n,296,762,vabs
n,296,711,vabs
n,296,642,vabs
n,296,611,vabs
n,296,891,vabs
n,296,822,vabs
n,296,771,vabs
n,296,471,vabs
n,296,881,vabs
n,304,491,vabs
n,304,722,vabs
n,304,491,vabs
n,304,1523,vabs
n,304,581,vabs
n,304,751,vabs
n,304,1363,vabs
n,304,872,vabs
n,304,862,vabs
n,304,481,vabs
n,312,802,vabs
n,312,711,vabs
n,312,842,vabs
n,312,731,vabs
n,312,631,vabs
n,312,601,vabs
n,312,931,vabs
n,312,581,vabs
n,312,902,vabs
n,312,892,vabs
n,320,1232,vabs
n,320,1232,vabs
n,320,742,vabs
n,320,872,vabs
n,320,712,vabs
n,320,852,vabs
n,320,591,vabs
n,320,1223,vabs
n,320,741,vabs
n,320,752,vabs
n,328,762,vabs
n,328,862,vabs
n,328,752,vabs
n,328,621,vabs
n,328,1002,vabs
n,328,1012,vabs
n,328,782,vabs
n,328,1183,vabs
n,328,651,vabs
n,328,902,vabs
n,336,702,vabs
n,336,891,vabs
n,336,581,vabs
n,336,611,vabs
n,336,942,vabs
n,336,782,vabs
n,336,761,vabs
n,336,761,vabs
n,336,742,vabs
n,336,751,vabs
n,344,1162,vabs
n,344,751,vabs
n,344,1172,vabs
n,344,911,vabs
n,344,962,vabs
