param,value,time,tag
n,0,1563,vadd
n,0,1994,vadd
n,0,1412,vadd
n,0,1553,vadd
n,0,1433,vadd
n,0,1333,vadd
n,0,290,vadd
n,0,701,vadd
n,0,601,vadd
n,0,721,vadd
n,8,1553,vadd
n,8,1303,vadd
n,8,1753,vadd
n,8,1072,vadd
n,8,942,vadd
n,8,1553,vadd
n,8,421,vadd
n,8,2194,vadd
n,8,1473,vadd
n,8,951,vadd
n,16,942,vadd
n,16,1633,vadd
n,16,1833,vadd
n,16,711,vadd
n,16,2175,vadd
n,16,962,vadd
n,16,2134,vadd
n,16,1883,vadd
n,16,1814,vadd
n,16,1653,vadd
n,24,742,vadd
n,24,2234,vadd
n,24,1553,vadd
n,24,1482,vadd
n,24,631,vadd
n,24,1333,vadd
n,24,1212,vadd
n,24,1072,vadd
n,24,1162,vadd
n,24,771,vadd
n,32,922,vadd
n,32,1012,vadd
n,32,991,vadd
n,32,761,vadd
n,32,902,vadd
n,32,1423,vadd
n,32,2033,vadd
n,32,721,vadd
n,32,972,vadd
n,32,731,vadd
n,40,1893,vadd
n,40,852,vadd
n,40,1834,vadd
n,40,982,vadd
n,40,1774,vadd
n,40,992,vadd
n,40,2134,vadd
n,40,1343,vadd
n,40,742,vadd
n,40,1133,vadd
n,48,1493,vadd
n,48,1923,vadd
n,48,891,vadd
n,48,1854,vadd
n,48,1042,vadd
n,48,1433,vadd
n,48,1783,vadd
n,48,922,vadd
n,48,872,vadd
n,48,1523,vadd
n,56,731,vadd
n,56,2034,vadd
n,56,2184,vadd
n,56,1172,vadd
n,56,1623,vadd
n,56,1733,vadd
n,56,2063,vadd
n,56,1903,vadd
n,56,632,vadd
n,56,2003,vadd
n,64,902,vadd
n,64,1012,vadd
n,64,2224,vadd
n,64,1032,vadd
n,64,1403,vadd
n,64,2534,vadd
n,64,1923,vadd
n,64,1392,vadd
n,64,1644,vadd
n,64,1372,vadd
n,72,912,vadd
n,72,1723,vadd
n,72,1653,vadd
n,72,782,vadd
n,72,972,vadd
n,72,2165,vadd
n,72,1994,vadd
n,72,922,vadd
n,72,1122,vadd
n,72,681,vadd
n,80,1563,vadd
n,80,2195,vadd
n,80,1884,vadd
n,80,1804,vadd
n,80,1333,vadd
n,80,962,vadd
n,80,1933,vadd
n,80,811,vadd
n,80,892,vadd
n,80,812,vadd
n,88,1032,vadd
n,88,1272,vadd
n,88,741,vadd
n,88,2655,vadd
n,88,1613,vadd
n,88,1583,vadd
n,88,982,vadd
n,88,972,vadd
n,88,1633,vadd
n,88,2034,vadd
n,96,1112,vadd
n,96,1012,vadd
n,96,1954,vadd
n,96,2695,vadd
n,96,2064,vadd
n,96,811,vadd
n,96,851,vadd
n,96,781,vadd
n,96,1963,vadd
n,96,1603,vadd
n,104,1904,vadd
n,104,871,vadd
n,104,2505,vadd
n,104,1783,vadd
n,104,881,vadd
n,104,1332,vadd
n,104,1593,vadd
n,104,1563,vadd
n,104,1122,vadd
n,104,1352,vadd
n,112,742,vadd
n,112,1413,vadd
n,112,2234,vadd
n,112,892,vadd
n,112,952,vadd
n,112,971,vadd
n,112,861,vadd
n,112,1092,vadd
n,112,1112,vadd
n,112,1893,vadd
n,120,1342,vadd
n,120,992,vadd
n,120,1232,vadd
n,120,771,vadd
n,120,1673,vadd
n,120,872,vadd
n,120,1633,vadd
n,120,1633,vadd
n,120,842,vadd
n,120,842,vadd
n,128,1412,vadd
n,128,1183,vadd
n,128,1172,vadd
n,128,1734,vadd
n,128,1122,vadd
n,128,2234,vadd
n,128,1283,vadd
n,128,1052,vadd
n,128,1012,vadd
n,128,2134,vadd
n,136,862,vadd
n,136,1242,vadd
n,136,2124,vadd
n,136,1041,vadd
n,136,2004,vadd
n,136,1443,vadd
n,136,1743,vadd
n,136,2014,vadd
n,136,942,vadd
n,136,1122,vadd
n,144,2054,vadd
n,144,1723,vadd
n,144,1392,vadd
n,144,862,vadd
n,144,1293,vadd
n,144,1312,vadd
n,144,1292,vadd
n,144,2134,vadd
n,144,862,vadd
n,144,972,vadd
n,152,1222,vadd
n,152,1293,vadd
n,152,1472,vadd
n,152,1904,vadd
n,152,922,vadd
n,152,872,vadd
n,152,1072,vadd
n,152,992,vadd
n,152,1192,vadd
n,152,1112,vadd
n,160,1643,vadd
n,160,2094,vadd
n,160,942,vadd
n,160,932,vadd
n,160,1022,vadd
n,160,912,vadd
n,160,1924,vadd
