param,value,time,tag
n,0,561,vcopy
n,0,1463,vcopy
n,0,551,vcopy
n,0,791,vcopy
n,0,822,vcopy
n,0,561,vcopy
n,0,491,vcopy
n,0,922,vcopy
n,0,471,vcopy
n,0,421,vcopy
n,8,1894,vcopy
n,8,741,vcopy
n,8,1803,vcopy
n,8,1103,vcopy
n,8,791,vcopy
n,8,1543,vcopy
n,8,841,vcopy
n,8,1563,vcopy
n,8,1032,vcopy
n,8,701,vcopy
n,16,1603,vcopy
n,16,752,vcopy
n,16,852,vcopy
n,16,652,vcopy
n,16,1372,vcopy
n,16,1543,vcopy
n,16,1243,vcopy
n,16,1022,vcopy
n,16,1202,vcopy
n,16,1684,vcopy
n,24,802,vcopy
n,24,942,vcopy
n,24,1412,vcopy
n,24,952,vcopy
n,24,1042,vcopy
n,24,1002,vcopy
n,24,8837,vcopy
n,24,1492,vcopy
n,24,1012,vcopy
n,24,791,vcopy
n,32,822,vcopy
n,32,1233,vcopy
n,32,811,vcopy
n,32,921,vcopy
n,32,1252,vcopy
n,32,922,vcopy
n,32,1032,vcopy
n,32,1202,vcopy
n,32,1753,vcopy
n,32,1032,vcopy
n,40,1813,vcopy
n,40,1563,vcopy
n,40,1823,vcopy
n,40,952,vcopy
n,40,1964,vcopy
n,40,942,vcopy
n,40,1022,vcopy
n,40,1613,vcopy
n,40,881,vcopy
n,40,1012,vcopy
n,48,1443,vcopy
n,48,1413,vcopy
n,48,1082,vcopy
n,48,1443,vcopy
n,48,1372,vcopy
n,48,1402,vcopy
n,48,1643,vcopy
n,48,1202,vcopy
n,48,1313,vcopy
n,48,1924,vcopy
n,56,1012,vcopy
n,56,1593,vcopy
n,56,1022,vcopy
n,56,1583,vcopy
n,56,1193,vcopy
n,56,1052,vcopy
n,56,1513,vcopy
n,56,1693,vcopy
n,56,962,vcopy
n,56,1883,vcopy
n,64,1042,vcopy
n,64,1954,vcopy
n,64,1773,vcopy
n,64,1413,vcopy
n,64,1322,vcopy
n,64,1152,vcopy
n,64,1232,vcopy
n,64,1824,vcopy
n,64,1312,vcopy
n,64,1042,vcopy
n,72,1042,vcopy
n,72,1132,vcopy
n,72,1683,vcopy
n,72,1353,vcopy
n,72,1984,vcopy
n,72,1152,vcopy
n,72,1132,vcopy
n,72,2064,vcopy
n,72,1252,vcopy
n,72,1152,vcopy
n,80,1984,vcopy
n,80,1223,vcopy
n,80,1613,vcopy
n,80,1753,vcopy
n,80,1122,vcopy
n,80,1162,vcopy
n,80,1332,vcopy
n,80,992,vcopy
n,80,1263,vcopy
n,80,1442,vcopy
n,88,2074,vcopy
n,88,1744,vcopy
n,88,2044,vcopy
n,88,1132,vcopy
n,88,1122,vcopy
n,88,1884,vcopy
n,88,962,vcopy
n,88,1382,vcopy
n,88,1543,vcopy
n,88,1393,vcopy
n,96,1132,vcopy
n,96,1342,vcopy
n,96,1643,vcopy
n,96,2936,vcopy
n,96,1262,vcopy
n,96,1513,vcopy
n,96,2565,vcopy
n,96,1883,vcopy
n,96,1653,vcopy
n,96,1202,vcopy
n,104,1473,vcopy
n,104,1634,vcopy
n,104,1694,vcopy
n,104,1653,vcopy
n,104,2003,vcopy
n,104,2094,vcopy
n,104,1974,vcopy
n,104,2264,vcopy
n,104,2104,vcopy
n,104,1854,vcopy
n,112,1273,vcopy
n,112,1633,vcopy
n,112,1382,vcopy
n,112,1192,vcopy
n,112,2224,vcopy
n,112,1613,vcopy
n,112,2104,vcopy
n,112,1493,vcopy
n,112,1383,vcopy
n,112,1733,vcopy
n,120,1453,vcopy
n,120,1202,vcopy
n,120,1683,vcopy
n,120,1192,vcopy
n,120,1272,vcopy
n,120,1332,vcopy
n,120,2294,vcopy
