param,value,time,tag
v,0,1873,vfill
v,0,832,vfill
v,0,1012,vfill
v,0,802,vfill
v,0,821,vfill
v,0,742,vfill
v,0,841,vfill
v,0,751,vfill
v,0,741,vfill
v,0,1032,vfill
v,8,751,vfill
v,8,872,vfill
v,8,711,vfill
v,8,852,vfill
v,8,852,vfill
v,8,712,vfill
v,8,712,vfill
v,8,632,vfill
v,8,771,vfill
v,8,852,vfill
v,16,851,vfill
v,16,982,vfill
v,16,1052,vfill
v,16,892,vfill
v,16,1112,vfill
v,16,762,vfill
v,16,731,vfill
v,16,762,vfill
v,16,721,vfill
v,16,1012,vfill
v,24,721,vfill
v,24,872,vfill
v,24,882,vfill
v,24,862,vfill
v,24,1152,vfill
v,24,1092,vfill
v,24,752,vfill
v,24,762,vfill
v,24,972,vfill
v,24,752,vfill
v,32,751,vfill
v,32,862,vfill
v,32,741,vfill
v,32,771,vfill
v,32,1002,vfill
v,32,852,vfill
v,32,741,vfill
v,32,771,vfill
v,32,741,vfill
v,32,791,vfill
v,40,611,vfill
v,40,862,vfill
v,40,751,vfill
v,40,882,vfill
v,40,721,vfill
v,40,952,vfill
v,40,862,vfill
v,40,761,vfill
v,40,752,vfill
v,40,851,vfill
v,48,751,vfill
v,48,851,vfill
v,48,751,vfill
v,48,862,vfill
v,48,871,vfill
v,48,762,vfill
v,48,631,vfill
v,48,872,vfill
v,48,851,vfill
v,48,872,vfill
v,56,932,vfill
v,56,1072,vfill
v,56,621,vfill
v,56,852,vfill
v,56,731,vfill
v,56,641,vfill
v,56,1072,vfill
v,56,1022,vfill
v,56,742,vfill
v,56,861,vfill
v,64,842,vfill
v,64,842,vfill
v,64,721,vfill
v,64,811,vfill
v,64,751,vfill
v,64,461,vfill
v,64,732,vfill
v,64,721,vfill
v,64,952,vfill
v,64,781,vfill
v,72,912,vfill
v,72,742,vfill
v,72,752,vfill
v,72,752,vfill
v,72,652,vfill
v,72,461,vfill
v,72,852,vfill
v,72,862,vfill
v,72,711,vfill
v,72,742,vfill
v,80,761,vfill
v,80,1062,vfill
v,80,1052,vfill
v,80,861,vfill
v,80,842,vfill
v,80,1182,vfill
v,80,862,vfill
v,80,752,vfill
v,80,972,vfill
v,80,762,vfill
v,88,1684,vfill
v,88,812,vfill
v,88,761,vfill
v,88,872,vfill
v,88,661,vfill
v,88,1092,vfill
v,88,952,vfill
v,88,982,vfill
v,88,1112,vfill
v,88,892,vfill
v,96,1122,vfill
v,96,1182,vfill
v,96,902,vfill
v,96,811,vfill
v,96,742,vfill
v,96,822,vfill
v,96,891,vfill
v,96,882,vfill
v,96,1373,vfill
v,96,812,vfill
v,104,732,vfill
v,104,751,vfill
v,104,962,vfill
v,104,872,vfill
v,104,1002,vfill
v,104,692,vfill
v,104,872,vfill
v,104,751,vfill
v,104,892,vfill
v,104,852,vfill
v,112,982,vfill
v,112,862,vfill
v,112,872,vfill
v,112,882,vfill
v,112,1463,vfill
v,112,451,vfill
