param,value,time,tag
param_id_0,0,310,vmul
param_id_0,0,110,vmul
param_id_0,0,120,vmul
param_id_0,0,120,vmul
param_id_0,0,120,vmul
param_id_0,32,211,vmul
param_id_0,32,210,vmul
param_id_0,32,211,vmul
param_id_0,32,210,vmul
param_id_0,32,210,vmul
param_id_0,64,280,vmul
param_id_0,64,311,vmul
param_id_0,64,290,vmul
param_id_0,64,260,vmul
param_id_0,64,280,vmul
param_id_0,96,341,vmul
param_id_0,96,321,vmul
param_id_0,96,310,vmul
param_id_0,96,321,vmul
param_id_0,96,300,vmul
param_id_0,128,390,vmul
param_id_0,128,391,vmul
param_id_0,128,430,vmul
param_id_0,128,421,vmul
param_id_0,128,431,vmul
param_id_0,160,511,vmul
param_id_0,160,511,vmul
param_id_0,160,501,vmul
param_id_0,160,501,vmul
param_id_0,160,511,vmul
param_id_0,192,591,vmul
param_id_0,192,621,vmul
param_id_0,192,571,vmul
param_id_0,192,621,vmul
param_id_0,192,601,vmul
param_id_0,224,692,vmul
param_id_0,224,691,vmul
param_id_0,224,691,vmul
param_id_0,224,681,vmul
param_id_0,224,681,vmul
param_id_0,256,772,vmul
param_id_0,256,751,vmul
param_id_0,256,751,vmul
param_id_0,256,772,vmul
param_id_0,256,761,vmul
param_id_0,288,842,vmul
param_id_0,288,821,vmul
param_id_0,288,842,vmul
param_id_0,288,842,vmul
param_id_0,288,832,vmul
param_id_0,320,922,vmul
param_id_0,320,911,vmul
param_id_0,320,891,vmul
param_id_0,320,912,vmul
param_id_0,320,852,vmul
param_id_0,352,932,vmul
param_id_0,352,932,vmul
param_id_0,352,922,vmul
param_id_0,352,931,vmul
param_id_0,352,931,vmul
param_id_0,384,1002,vmul
param_id_0,384,992,vmul
param_id_0,384,982,vmul
param_id_0,384,982,vmul
param_id_0,384,1002,vmul
param_id_0,416,1072,vmul
param_id_0,416,1072,vmul
param_id_0,416,1062,vmul
param_id_0,416,1072,vmul
param_id_0,416,1062,vmul
param_id_0,448,1142,vmul
param_id_0,448,1142,vmul
param_id_0,448,1152,vmul
param_id_0,448,1142,vmul
param_id_0,448,1423,vmul
param_id_0,480,1222,vmul
param_id_0,480,1222,vmul
param_id_0,480,1222,vmul
param_id_0,480,1212,vmul
param_id_0,480,1222,vmul
