param,value,time,tag
param_id_0,1,340,vneg
param_id_0,1,151,vneg
param_id_0,1,150,vneg
param_id_0,1,160,vneg
param_id_0,1,170,vneg
param_id_0,1,160,vneg
param_id_0,1,161,vneg
param_id_0,1,161,vneg
param_id_0,1,160,vneg
param_id_0,1,160,vneg
param_id_0,9,200,vneg
param_id_0,9,100,vneg
param_id_0,9,71,vneg
param_id_0,9,70,vneg
param_id_0,9,70,vneg
param_id_0,9,80,vneg
param_id_0,9,140,vneg
param_id_0,9,110,vneg
param_id_0,9,70,vneg
param_id_0,9,80,vneg
param_id_0,17,101,vneg
param_id_0,17,101,vneg
param_id_0,17,91,vneg
param_id_0,17,100,vneg
param_id_0,17,81,vneg
param_id_0,17,100,vneg
param_id_0,17,180,vneg
param_id_0,17,190,vneg
param_id_0,17,81,vneg
param_id_0,17,71,vneg
param_id_0,25,110,vneg
param_id_0,25,221,vneg
param_id_0,25,261,vneg
param_id_0,25,301,vneg
param_id_0,25,210,vneg
param_id_0,25,210,vneg
param_id_0,25,210,vneg
param_id_0,25,210,vneg
param_id_0,25,201,vneg
param_id_0,25,190,vneg
param_id_0,33,340,vneg
param_id_0,33,301,vneg
param_id_0,33,211,vneg
param_id_0,33,210,vneg
param_id_0,33,231,vneg
param_id_0,33,220,vneg
param_id_0,33,221,vneg
param_id_0,33,200,vneg
param_id_0,33,191,vneg
param_id_0,33,291,vneg
param_id_0,41,351,vneg
param_id_0,41,441,vneg
param_id_0,41,320,vneg
param_id_0,41,290,vneg
param_id_0,41,401,vneg
param_id_0,41,321,vneg
param_id_0,41,320,vneg
param_id_0,41,321,vneg
param_id_0,41,301,vneg
param_id_0,41,350,vneg
param_id_0,49,361,vneg
param_id_0,49,341,vneg
param_id_0,49,330,vneg
param_id_0,49,340,vneg
param_id_0,49,341,vneg
param_id_0,49,360,vneg
param_id_0,49,371,vneg
param_id_0,49,661,vneg
param_id_0,49,551,vneg
param_id_0,49,351,vneg
param_id_0,57,351,vneg
param_id_0,57,330,vneg
param_id_0,57,330,vneg
param_id_0,57,350,vneg
param_id_0,57,241,vneg
param_id_0,57,260,vneg
param_id_0,57,371,vneg
param_id_0,57,231,vneg
param_id_0,57,210,vneg
param_id_0,57,221,vneg
param_id_0,65,260,vneg
param_id_0,65,351,vneg
param_id_0,65,340,vneg
param_id_0,65,240,vneg
param_id_0,65,351,vneg
param_id_0,65,330,vneg
param_id_0,65,360,vneg
param_id_0,65,231,vneg
param_id_0,65,331,vneg
param_id_0,65,230,vneg
param_id_0,73,511,vneg
param_id_0,73,411,vneg
param_id_0,73,341,vneg
param_id_0,73,341,vneg
param_id_0,73,410,vneg
param_id_0,73,381,vneg
param_id_0,73,481,vneg
param_id_0,73,261,vneg
param_id_0,73,401,vneg
param_id_0,73,681,vneg
param_id_0,81,501,vneg
param_id_0,81,441,vneg
param_id_0,81,391,vneg
param_id_0,81,391,vneg
param_id_0,81,370,vneg
param_id_0,81,371,vneg
param_id_0,81,380,vneg
param_id_0,81,380,vneg
param_id_0,81,470,vneg
param_id_0,81,350,vneg
param_id_0,89,411,vneg
param_id_0,89,370,vneg
param_id_0,89,371,vneg
param_id_0,89,351,vneg
param_id_0,89,360,vneg
param_id_0,89,381,vneg
param_id_0,89,381,vneg
param_id_0,89,300,vneg
param_id_0,89,380,vneg
param_id_0,89,381,vneg
param_id_0,97,501,vneg
param_id_0,97,441,vneg
param_id_0,97,531,vneg
param_id_0,97,390,vneg
param_id_0,97,421,vneg
param_id_0,97,431,vneg
param_id_0,97,611,vneg
param_id_0,97,431,vneg
param_id_0,97,381,vneg
param_id_0,97,401,vneg
param_id_0,105,410,vneg
param_id_0,105,390,vneg
param_id_0,105,521,vneg
param_id_0,105,381,vneg
param_id_0,105,311,vneg
param_id_0,105,370,vneg
param_id_0,105,451,vneg
param_id_0,105,361,vneg
param_id_0,105,441,vneg
param_id_0,105,421,vneg
param_id_0,113,401,vneg
param_id_0,113,400,vneg
param_id_0,113,421,vneg
param_id_0,113,451,vneg
param_id_0,113,601,vneg
param_id_0,113,401,vneg
param_id_0,113,401,vneg
param_id_0,113,451,vneg
param_id_0,113,531,vneg
param_id_0,113,701,vneg
param_id_0,121,581,vneg
param_id_0,121,611,vneg
param_id_0,121,561,vneg
param_id_0,121,611,vneg
param_id_0,121,601,vneg
param_id_0,121,541,vneg
param_id_0,121,582,vneg
param_id_0,121,541,vneg
param_id_0,121,541,vneg
param_id_0,121,551,vneg
param_id_0,129,591,vneg
param_id_0,129,551,vneg
param_id_0,129,571,vneg
param_id_0,129,551,vneg
param_id_0,129,561,vneg
param_id_0,129,551,vneg
param_id_0,129,551,vneg
param_id_0,129,561,vneg
param_id_0,129,430,vneg
param_id_0,129,381,vneg
param_id_0,137,451,vneg
param_id_0,137,471,vneg
param_id_0,137,471,vneg
param_id_0,137,471,vneg
param_id_0,137,491,vneg
param_id_0,137,822,vneg
param_id_0,137,511,vneg
param_id_0,137,481,vneg
param_id_0,137,501,vneg
param_id_0,137,421,vneg
param_id_0,145,491,vneg
param_id_0,145,421,vneg
param_id_0,145,471,vneg
param_id_0,145,480,vneg
param_id_0,145,531,vneg
param_id_0,145,451,vneg
param_id_0,145,451,vneg
param_id_0,145,571,vneg
param_id_0,145,451,vneg
param_id_0,145,721,vneg
param_id_0,153,481,vneg
param_id_0,153,591,vneg
param_id_0,153,571,vneg
param_id_0,153,391,vneg
param_id_0,153,521,vneg
param_id_0,153,381,vneg
param_id_0,153,391,vneg
param_id_0,153,461,vneg
param_id_0,153,461,vneg
param_id_0,153,491,vneg
param_id_0,161,731,vneg
param_id_0,161,461,vneg
param_id_0,161,691,vneg
param_id_0,161,581,vneg
param_id_0,161,621,vneg
param_id_0,161,581,vneg
param_id_0,161,521,vneg
param_id_0,161,511,vneg
param_id_0,161,562,vneg
param_id_0,161,561,vneg
param_id_0,169,652,vneg
param_id_0,169,491,vneg
param_id_0,169,501,vneg
param_id_0,169,631,vneg
param_id_0,169,491,vneg
param_id_0,169,491,vneg
param_id_0,169,631,vneg
param_id_0,169,421,vneg
param_id_0,169,511,vneg
param_id_0,169,501,vneg
param_id_0,177,572,vneg
param_id_0,177,561,vneg
param_id_0,177,541,vneg
param_id_0,177,691,vneg
param_id_0,177,621,vneg
param_id_0,177,591,vneg
param_id_0,177,621,vneg
