param,value,time,tag
param_id_0,0,401,voffset
param_id_0,0,190,voffset
param_id_0,0,181,voffset
param_id_0,0,201,voffset
param_id_0,0,201,voffset
param_id_0,32,191,voffset
param_id_0,32,181,voffset
param_id_0,32,180,voffset
param_id_0,32,170,voffset
param_id_0,32,160,voffset
param_id_0,64,160,voffset
param_id_0,64,160,voffset
param_id_0,64,180,voffset
param_id_0,64,160,voffset
param_id_0,64,200,voffset
param_id_0,96,190,voffset
param_id_0,96,180,voffset
param_id_0,96,160,voffset
param_id_0,96,150,voffset
param_id_0,96,160,voffset
param_id_0,128,160,voffset
param_id_0,128,191,voffset
param_id_0,128,171,voffset
param_id_0,128,161,voffset
param_id_0,128,170,voffset
param_id_0,160,150,voffset
param_id_0,160,160,voffset
param_id_0,160,150,voffset
param_id_0,160,180,voffset
param_id_0,160,150,voffset
param_id_0,192,151,voffset
param_id_0,192,160,voffset
param_id_0,192,160,voffset
param_id_0,192,160,voffset
param_id_0,192,151,voffset
param_id_0,224,160,voffset
param_id_0,224,160,voffset
param_id_0,224,181,voffset
param_id_0,224,220,voffset
param_id_0,224,181,voffset
param_id_0,256,180,voffset
param_id_0,256,181,voffset
param_id_0,256,180,voffset
param_id_0,256,170,voffset
param_id_0,256,180,voffset
param_id_0,288,170,voffset
param_id_0,288,170,voffset
param_id_0,288,161,voffset
param_id_0,288,170,voffset
param_id_0,288,160,voffset
param_id_0,320,160,voffset
param_id_0,320,160,voffset
param_id_0,320,171,voffset
param_id_0,320,150,voffset
param_id_0,320,160,voffset
param_id_0,352,160,voffset
param_id_0,352,160,voffset
param_id_0,352,151,voffset
param_id_0,352,151,voffset
param_id_0,352,180,voffset
param_id_0,384,160,voffset
param_id_0,384,161,voffset
param_id_0,384,180,voffset
param_id_0,384,160,voffset
param_id_0,384,161,voffset
param_id_0,416,170,voffset
param_id_0,416,150,voffset
param_id_0,416,161,voffset
param_id_0,416,181,voffset
param_id_0,416,161,voffset
param_id_0,448,170,voffset
param_id_0,448,150,voffset
param_id_0,448,150,voffset
param_id_0,448,151,voffset
param_id_0,448,160,voffset
param_id_0,480,160,voffset
param_id_0,480,160,voffset
param_id_0,480,161,voffset
param_id_0,480,160,voffset
param_id_0,480,180,voffset
param_id_1,0,231,voffset
param_id_1,0,60,voffset
param_id_1,0,60,voffset
param_id_1,0,60,voffset
param_id_1,0,60,voffset
param_id_1,32,131,voffset
param_id_1,32,130,voffset
param_id_1,32,101,voffset
param_id_1,32,120,voffset
param_id_1,32,120,voffset
param_id_1,64,181,voffset
param_id_1,64,180,voffset
param_id_1,64,161,voffset
param_id_1,64,161,voffset
param_id_1,64,221,voffset
param_id_1,96,250,voffset
param_id_1,96,230,voffset
param_id_1,96,251,voffset
param_id_1,96,230,voffset
param_id_1,96,250,voffset
param_id_1,128,281,voffset
param_id_1,128,300,voffset
param_id_1,128,281,voffset
param_id_1,128,290,voffset
param_id_1,128,290,voffset
param_id_1,160,351,voffset
param_id_1,160,361,voffset
param_id_1,160,351,voffset
param_id_1,160,341,voffset
param_id_1,160,341,voffset
param_id_1,192,441,voffset
param_id_1,192,501,voffset
param_id_1,192,401,voffset
param_id_1,192,401,voffset
param_id_1,192,401,voffset
param_id_1,224,471,voffset
param_id_1,224,461,voffset
param_id_1,224,461,voffset
param_id_1,224,461,voffset
param_id_1,224,461,voffset
param_id_1,256,521,voffset
param_id_1,256,511,voffset
param_id_1,256,511,voffset
param_id_1,256,511,voffset
param_id_1,256,511,voffset
param_id_1,288,571,voffset
param_id_1,288,581,voffset
param_id_1,288,581,voffset
param_id_1,288,571,voffset
param_id_1,288,591,voffset
param_id_1,320,631,voffset
param_id_1,320,641,voffset
param_id_1,320,632,voffset
param_id_1,320,632,voffset
param_id_1,320,631,voffset
param_id_1,352,681,voffset
param_id_1,352,691,voffset
param_id_1,352,681,voffset
param_id_1,352,692,voffset
param_id_1,352,692,voffset
param_id_1,384,741,voffset
param_id_1,384,751,voffset
param_id_1,384,741,voffset
param_id_1,384,741,voffset
param_id_1,384,742,voffset
param_id_1,416,802,voffset
param_id_1,416,801,voffset
param_id_1,416,802,voffset
param_id_1,416,802,voffset
param_id_1,416,801,voffset
param_id_1,448,861,voffset
param_id_1,448,882,voffset
param_id_1,448,852,voffset
param_id_1,448,861,voffset
param_id_1,448,872,voffset
param_id_1,480,921,voffset
param_id_1,480,922,voffset
param_id_1,480,922,voffset
param_id_1,480,922,voffset
param_id_1,480,941,voffset
