param,value,time,tag
n,0,601,vrecip
n,0,1332,vrecip
n,0,681,vrecip
n,0,632,vrecip
n,0,290,vrecip
n,0,300,vrecip
n,0,671,vrecip
n,0,211,vrecip
n,0,230,vrecip
n,0,571,vrecip
n,8,471,vrecip
n,8,340,vrecip
n,8,441,vrecip
n,8,311,vrecip
n,8,230,vrecip
n,8,231,vrecip
n,8,220,vrecip
n,8,581,vrecip
n,8,210,vrecip
n,8,200,vrecip
n,16,231,vrecip
n,16,221,vrecip
n,16,220,vrecip
n,16,221,vrecip
n,16,211,vrecip
n,16,380,vrecip
n,16,220,vrecip
n,16,221,vrecip
n,16,280,vrecip
n,16,241,vrecip
n,24,321,vrecip
n,24,481,vrecip
n,24,381,vrecip
n,24,331,vrecip
n,24,430,vrecip
n,24,190,vrecip
n,24,471,vrecip
n,24,260,vrecip
n,24,320,vrecip
n,24,431,vrecip
n,32,331,vrecip
n,32,461,vrecip
n,32,421,vrecip
n,32,230,vrecip
n,32,331,vrecip
n,32,341,vrecip
n,32,421,vrecip
n,32,942,vrecip
n,32,431,vrecip
n,32,421,vrecip
n,40,181,vrecip
n,40,390,vrecip
n,40,310,vrecip
n,40,340,vrecip
n,40,330,vrecip
n,40,320,vrecip
n,40,631,vrecip
n,40,602,vrecip
n,40,542,vrecip
n,40,441,vrecip
n,48,641,vrecip
n,48,441,vrecip
n,48,451,vrecip
n,48,431,vrecip
n,48,421,vrecip
n,48,491,vrecip
n,48,280,vrecip
n,48,341,vrecip
n,48,331,vrecip
n,48,360,vrecip
n,56,421,vrecip
n,56,391,vrecip
n,56,300,vrecip
n,56,310,vrecip
n,56,271,vrecip
n,56,281,vrecip
n,56,321,vrecip
n,56,571,vrecip
n,56,351,vrecip
n,56,641,vrecip
n,64,331,vrecip
n,64,451,vrecip
n,64,561,vrecip
n,64,321,vrecip
n,64,301,vrecip
n,64,321,vrecip
n,64,210,vrecip
n,64,241,vrecip
n,64,761,vrecip
n,64,481,vrecip
n,72,601,vrecip
n,72,541,vrecip
n,72,351,vrecip
n,72,501,vrecip
n,72,311,vrecip
n,72,341,vrecip
n,72,511,vrecip
n,72,381,vrecip
n,72,531,vrecip
n,72,531,vrecip
n,80,280,vrecip
n,80,351,vrecip
n,80,340,vrecip
n,80,351,vrecip
