param,value,time,tag
v,0,1452,vscal
v,0,1813,vscal
v,0,941,vscal
v,0,962,vscal
v,0,1042,vscal
v,0,1172,vscal
v,0,1042,vscal
v,0,872,vscal
v,0,1162,vscal
v,0,1021,vscal
v,8,1042,vscal
v,8,2004,vscal
v,8,1042,vscal
v,8,1353,vscal
v,8,1042,vscal
v,8,1142,vscal
v,8,1052,vscal
v,8,1022,vscal
v,8,1022,vscal
v,8,1012,vscal
v,16,1022,vscal
v,16,2234,vscal
v,16,1032,vscal
v,16,1442,vscal
v,16,1362,vscal
v,16,1042,vscal
v,16,2414,vscal
v,16,1994,vscal
v,16,1143,vscal
v,16,1393,vscal
v,24,1352,vscal
v,24,1252,vscal
v,24,2615,vscal
v,24,2395,vscal
v,24,1994,vscal
v,24,1032,vscal
v,24,942,vscal
v,24,882,vscal
v,24,1222,vscal
v,24,1984,vscal
v,32,1623,vscal
v,32,1002,vscal
v,32,2003,vscal
v,32,2044,vscal
v,32,2034,vscal
v,32,1984,vscal
v,32,1012,vscal
v,32,1122,vscal
v,32,1874,vscal
v,32,2304,vscal
v,40,1663,vscal
v,40,1032,vscal
v,40,2144,vscal
v,40,1002,vscal
v,40,1122,vscal
v,40,1653,vscal
v,40,1022,vscal
v,40,1012,vscal
v,40,1363,vscal
v,40,1042,vscal
v,48,2595,vscal
v,48,1052,vscal
v,48,1012,vscal
v,48,1153,vscal
v,48,1293,vscal
v,48,1022,vscal
v,48,1173,vscal
v,48,1032,vscal
v,48,1123,vscal
v,48,1002,vscal
v,56,1163,vscal
v,56,1393,vscal
v,56,1142,vscal
v,56,2164,vscal
v,56,2014,vscal
v,56,1022,vscal
v,56,1373,vscal
v,56,1031,vscal
v,56,1022,vscal
v,56,2024,vscal
v,64,1142,vscal
v,64,2024,vscal
v,64,1262,vscal
v,64,892,vscal
v,64,2334,vscal
v,64,2024,vscal
v,64,1132,vscal
v,64,1122,vscal
v,64,1032,vscal
v,64,1012,vscal
v,72,2374,vscal
v,72,1362,vscal
v,72,2004,vscal
v,72,1022,vscal
v,72,1052,vscal
v,72,1934,vscal
v,72,1132,vscal
v,72,1333,vscal
v,72,1233,vscal
v,72,2175,vscal
v,80,1884,vscal
v,80,1092,vscal
v,80,2004,vscal
v,80,2285,vscal
v,80,2344,vscal
v,80,2004,vscal
v,80,1432,vscal
v,80,1913,vscal
v,80,2024,vscal
v,80,1754,vscal
v,88,2615,vscal
v,88,1092,vscal
v,88,1243,vscal
v,88,1873,vscal
v,88,1342,vscal
v,88,1333,vscal
v,88,1433,vscal
v,88,1443,vscal
v,88,1082,vscal
v,88,982,vscal
v,96,1203,vscal
v,96,1022,vscal
v,96,2625,vscal
v,96,2314,vscal
v,96,1884,vscal
v,96,1523,vscal
v,96,1032,vscal
v,96,1032,vscal
v,96,1994,vscal
v,96,1282,vscal
v,104,1012,vscal
v,104,1342,vscal
v,104,1222,vscal
v,104,1142,vscal
v,104,1443,vscal
v,104,1032,vscal
v,104,2084,vscal
v,104,2043,vscal
v,104,1172,vscal
v,104,1894,vscal
v,112,2485,vscal
v,112,1383,vscal
v,112,1884,vscal
v,112,1232,vscal
v,112,1553,vscal
v,112,1022,vscal
v,112,912,vscal
v,112,2004,vscal
v,112,1012,vscal
v,112,2234,vscal
v,120,1382,vscal
v,120,2154,vscal
v,120,1793,vscal
v,120,1012,vscal
v,120,1994,vscal
v,120,2014,vscal
v,120,1022,vscal
v,120,1313,vscal
v,120,901,vscal
v,120,1012,vscal
v,128,1012,vscal
v,128,1333,vscal
v,128,1012,vscal
v,128,1533,vscal
v,128,1353,vscal
v,128,2014,vscal
v,128,1122,vscal
v,128,1863,vscal
v,128,1252,vscal
v,128,1252,vscal
v,136,1022,vscal
v,136,1332,vscal
v,136,2004,vscal
v,136,1994,vscal
v,136,1042,vscal
v,136,1283,vscal
v,136,1012,vscal
v,136,1032,vscal
v,136,1092,vscal
v,136,1002,vscal
v,144,2004,vscal
v,144,1032,vscal
v,144,1032,vscal
v,144,2304,vscal
v,144,1553,vscal
v,144,1903,vscal
v,144,1262,vscal
v,144,2054,vscal
v,144,1032,vscal
v,144,1463,vscal
v,152,1953,vscal
v,152,2044,vscal
v,152,2004,vscal
v,152,1342,vscal
v,152,1673,vscal
v,152,1012,vscal
v,152,1113,vscal
v,152,1022,vscal
v,152,1042,vscal
v,152,2074,vscal
v,160,891,vscal
v,160,1032,vscal
v,160,1242,vscal
v,160,992,vscal
v,160,1503,vscal
v,160,1012,vscal
v,160,1122,vscal
v,160,1012,vscal
v,160,1052,vscal
v,160,1012,vscal
v,168,1383,vscal
v,168,1343,vscal
v,168,2003,vscal
v,168,1022,vscal
v,168,1142,vscal
v,168,1853,vscal
v,168,1352,vscal
v,168,1022,vscal
v,168,1433,vscal
v,168,1012,vscal
v,176,1042,vscal
v,176,1162,vscal
v,176,1032,vscal
v,176,1001,vscal
