param,value,time,tag
param_id_0,1,992,vsub
param_id_0,1,1523,vsub
param_id_0,1,411,vsub
param_id_0,1,572,vsub
param_id_0,1,441,vsub
param_id_0,1,1423,vsub
param_id_0,1,1092,vsub
param_id_0,1,1683,vsub
param_id_0,1,1793,vsub
param_id_0,1,390,vsub
param_id_0,9,1112,vsub
param_id_0,9,1593,vsub
param_id_0,9,841,vsub
param_id_0,9,1793,vsub
param_id_0,9,341,vsub
param_id_0,9,331,vsub
param_id_0,9,1082,vsub
param_id_0,9,1082,vsub
param_id_0,9,821,vsub
param_id_0,9,2204,vsub
param_id_0,17,451,vsub
param_id_0,17,1844,vsub
param_id_0,17,1613,vsub
param_id_0,17,1202,vsub
param_id_0,17,1783,vsub
param_id_0,17,1202,vsub
param_id_0,17,1482,vsub
param_id_0,17,952,vsub
param_id_0,17,972,vsub
param_id_0,17,1713,vsub
param_id_0,25,481,vsub
param_id_0,25,491,vsub
param_id_0,25,1693,vsub
param_id_0,25,2044,vsub
param_id_0,25,531,vsub
param_id_0,25,1613,vsub
param_id_0,25,1833,vsub
param_id_0,25,1322,vsub
param_id_0,25,1833,vsub
param_id_0,25,1874,vsub
param_id_0,33,922,vsub
param_id_0,33,561,vsub
param_id_0,33,561,vsub
param_id_0,33,832,vsub
param_id_0,33,1854,vsub
param_id_0,33,1273,vsub
param_id_0,33,1543,vsub
param_id_0,33,1333,vsub
param_id_0,33,1322,vsub
param_id_0,33,1182,vsub
param_id_0,41,1523,vsub
param_id_0,41,1623,vsub
param_id_0,41,862,vsub
param_id_0,41,2044,vsub
param_id_0,41,812,vsub
param_id_0,41,471,vsub
param_id_0,41,1373,vsub
param_id_0,41,791,vsub
param_id_0,41,1252,vsub
param_id_0,41,842,vsub
param_id_0,49,982,vsub
param_id_0,49,2184,vsub
param_id_0,49,621,vsub
param_id_0,49,751,vsub
param_id_0,49,2134,vsub
param_id_0,49,1493,vsub
param_id_0,49,2044,vsub
param_id_0,49,1833,vsub
param_id_0,49,912,vsub
param_id_0,49,1954,vsub
param_id_0,57,2094,vsub
param_id_0,57,1273,vsub
param_id_0,57,1042,vsub
param_id_0,57,1903,vsub
param_id_0,57,1112,vsub
param_id_0,57,1753,vsub
param_id_0,57,1483,vsub
param_id_0,57,1302,vsub
param_id_0,57,711,vsub
param_id_0,57,1232,vsub
param_id_0,65,1733,vsub
param_id_0,65,1904,vsub
param_id_0,65,541,vsub
param_id_0,65,1122,vsub
param_id_0,65,1382,vsub
param_id_0,65,862,vsub
param_id_0,65,1413,vsub
param_id_0,65,1002,vsub
param_id_0,65,2215,vsub
param_id_0,65,822,vsub
param_id_0,73,2034,vsub
param_id_0,73,812,vsub
param_id_0,73,1753,vsub
param_id_0,73,1823,vsub
param_id_0,73,2415,vsub
param_id_0,73,1232,vsub
param_id_0,73,2224,vsub
param_id_0,73,1382,vsub
param_id_0,73,2174,vsub
param_id_0,73,571,vsub
param_id_0,81,1573,vsub
param_id_0,81,2063,vsub
param_id_0,81,692,vsub
param_id_0,81,1102,vsub
param_id_0,81,1703,vsub
param_id_0,81,761,vsub
param_id_0,81,1513,vsub
param_id_0,81,2244,vsub
param_id_0,81,1844,vsub
param_id_0,81,2495,vsub
param_id_0,89,1954,vsub
param_id_0,89,1593,vsub
param_id_0,89,2004,vsub
param_id_0,89,1543,vsub
param_id_0,89,1973,vsub
param_id_0,89,1152,vsub
param_id_0,89,1493,vsub
param_id_0,89,2254,vsub
param_id_0,89,1583,vsub
param_id_0,89,1222,vsub
param_id_0,97,1353,vsub
param_id_0,97,2285,vsub
param_id_0,97,1152,vsub
param_id_0,97,2895,vsub
param_id_0,97,801,vsub
param_id_0,97,801,vsub
param_id_0,97,1653,vsub
param_id_0,97,1443,vsub
param_id_0,97,842,vsub
param_id_0,97,2104,vsub
param_id_0,105,1332,vsub
param_id_0,105,1994,vsub
param_id_0,105,1273,vsub
param_id_0,105,2325,vsub
param_id_0,105,2305,vsub
param_id_0,105,2274,vsub
param_id_0,105,1203,vsub
param_id_0,105,761,vsub
param_id_0,105,1964,vsub
param_id_0,105,2425,vsub
param_id_0,113,902,vsub
param_id_0,113,1874,vsub
param_id_0,113,1994,vsub
param_id_0,113,751,vsub
param_id_0,113,1754,vsub
param_id_0,113,2134,vsub
param_id_0,113,1633,vsub
param_id_0,113,1753,vsub
param_id_0,113,2635,vsub
param_id_0,113,1853,vsub
param_id_0,121,1453,vsub
param_id_0,121,2144,vsub
param_id_0,121,1724,vsub
param_id_0,121,1192,vsub
param_id_0,121,901,vsub
param_id_0,121,832,vsub
param_id_0,121,742,vsub
param_id_0,121,1613,vsub
param_id_0,121,711,vsub
param_id_0,121,1653,vsub
param_id_0,129,1443,vsub
param_id_0,129,812,vsub
param_id_0,129,802,vsub
param_id_0,129,802,vsub
param_id_0,129,1042,vsub
param_id_0,129,1643,vsub
param_id_0,129,1833,vsub
param_id_0,129,1563,vsub
param_id_0,129,1102,vsub
param_id_0,129,2004,vsub
param_id_0,137,1943,vsub
param_id_0,137,2414,vsub
param_id_0,137,1653,vsub
param_id_0,137,2295,vsub
param_id_0,137,1092,vsub
param_id_0,137,1273,vsub
param_id_0,137,2334,vsub
param_id_0,137,1292,vsub
param_id_0,137,2425,vsub
param_id_0,137,2144,vsub
param_id_0,145,1693,vsub
param_id_0,145,1754,vsub
param_id_0,145,1954,vsub
param_id_0,145,1262,vsub
param_id_0,145,2554,vsub
param_id_0,145,1052,vsub
param_id_0,145,2165,vsub
param_id_0,145,2244,vsub
param_id_0,145,2195,vsub
param_id_0,145,822,vsub
param_id_0,153,2855,vsub
param_id_0,153,1733,vsub
param_id_0,153,2465,vsub
param_id_0,153,2315,vsub
param_id_0,153,892,vsub
param_id_0,153,1032,vsub
param_id_0,153,1573,vsub
param_id_0,153,2244,vsub
param_id_0,153,1833,vsub
param_id_0,153,1543,vsub
param_id_0,161,2715,vsub
param_id_0,161,1893,vsub
param_id_0,161,1914,vsub
param_id_0,161,2224,vsub
param_id_0,161,1583,vsub
param_id_0,161,952,vsub
param_id_0,161,1713,vsub
param_id_0,161,2204,vsub
param_id_0,161,2415,vsub
param_id_0,161,2104,vsub
param_id_0,169,2044,vsub
param_id_0,169,1723,vsub
param_id_0,169,2174,vsub
param_id_0,169,1392,vsub
param_id_0,169,2204,vsub
param_id_0,169,2655,vsub
param_id_0,169,932,vsub
param_id_0,169,2615,vsub
param_id_0,169,1733,vsub
param_id_0,169,932,vsub
param_id_0,177,1322,vsub
param_id_0,177,1923,vsub
param_id_0,177,2384,vsub
param_id_0,177,1483,vsub
param_id_0,177,1684,vsub
param_id_0,177,2234,vsub
param_id_0,177,2024,vsub
param_id_0,177,2354,vsub
param_id_0,177,2014,vsub
param_id_0,177,2254,vsub
param_id_0,185,1764,vsub
param_id_0,185,2124,vsub
param_id_0,185,2725,vsub
param_id_0,185,2374,vsub
param_id_0,185,1743,vsub
param_id_0,185,1142,vsub
param_id_0,185,1473,vsub
param_id_0,185,2134,vsub
param_id_0,185,1493,vsub
param_id_0,185,1082,vsub
param_id_0,193,2675,vsub
param_id_0,193,1092,vsub
param_id_0,193,1483,vsub
param_id_0,193,2364,vsub
param_id_0,193,1663,vsub
param_id_0,193,2495,vsub
param_id_0,193,2295,vsub
param_id_0,193,1322,vsub
param_id_0,193,1342,vsub
param_id_0,193,1022,vsub
param_id_0,201,1143,vsub
param_id_0,201,1963,vsub
param_id_0,201,2485,vsub
param_id_0,201,1903,vsub
param_id_0,201,1102,vsub
param_id_0,201,2374,vsub
param_id_0,201,1523,vsub
param_id_0,201,1523,vsub
param_id_0,201,1914,vsub
