param,value,time,tag
n,0,1022,w_vec
n,0,581,w_vec
n,0,692,w_vec
n,0,1072,w_vec
n,0,832,w_vec
n,0,941,w_vec
n,0,932,w_vec
n,0,611,w_vec
n,0,481,w_vec
n,0,581,w_vec
n,8,621,w_vec
n,8,321,w_vec
n,8,722,w_vec
n,8,711,w_vec
n,8,1092,w_vec
n,8,932,w_vec
n,8,1583,w_vec
n,8,1443,w_vec
n,8,1102,w_vec
n,8,1573,w_vec
n,16,842,w_vec
n,16,822,w_vec
n,16,821,w_vec
n,16,992,w_vec
n,16,481,w_vec
n,16,711,w_vec
n,16,501,w_vec
n,16,491,w_vec
n,16,471,w_vec
n,16,1703,w_vec
n,24,1704,w_vec
n,24,612,w_vec
n,24,1062,w_vec
n,24,821,w_vec
n,24,2003,w_vec
n,24,1734,w_vec
n,24,501,w_vec
n,24,1463,w_vec
n,24,831,w_vec
n,24,602,w_vec
n,32,1823,w_vec
n,32,1002,w_vec
n,32,1062,w_vec
n,32,1583,w_vec
n,32,741,w_vec
n,32,932,w_vec
n,32,631,w_vec
n,32,742,w_vec
n,32,962,w_vec
n,32,1012,w_vec
n,40,1222,w_vec
n,40,1333,w_vec
n,40,742,w_vec
n,40,1203,w_vec
n,40,752,w_vec
n,40,1083,w_vec
n,40,1202,w_vec
n,40,1613,w_vec
n,40,762,w_vec
n,40,1693,w_vec
n,48,1744,w_vec
n,48,2014,w_vec
n,48,1132,w_vec
n,48,731,w_vec
n,48,862,w_vec
n,48,1753,w_vec
n,48,1383,w_vec
n,48,2034,w_vec
n,48,1864,w_vec
n,48,1733,w_vec
n,56,1724,w_vec
n,56,1022,w_vec
n,56,611,w_vec
n,56,1362,w_vec
n,56,652,w_vec
n,56,1123,w_vec
n,56,451,w_vec
n,56,761,w_vec
n,56,842,w_vec
n,56,882,w_vec
n,64,641,w_vec
n,64,751,w_vec
n,64,852,w_vec
n,64,1102,w_vec
n,64,891,w_vec
n,64,1383,w_vec
n,64,842,w_vec
n,64,822,w_vec
n,64,1122,w_vec
n,64,962,w_vec
n,72,881,w_vec
n,72,871,w_vec
n,72,591,w_vec
n,72,1233,w_vec
n,72,1873,w_vec
n,72,1242,w_vec
n,72,1793,w_vec
n,72,761,w_vec
n,72,2344,w_vec
n,72,752,w_vec
n,80,912,w_vec
n,80,791,w_vec
n,80,1883,w_vec
n,80,1513,w_vec
n,80,1873,w_vec
n,80,1433,w_vec
n,80,1753,w_vec
n,80,1252,w_vec
n,80,741,w_vec
n,80,892,w_vec
n,88,501,w_vec
n,88,762,w_vec
n,88,802,w_vec
n,88,681,w_vec
n,88,802,w_vec
n,88,1162,w_vec
n,88,662,w_vec
n,88,1012,w_vec
n,88,1022,w_vec
n,88,1022,w_vec
n,96,481,w_vec
n,96,831,w_vec
n,96,1893,w_vec
n,96,662,w_vec
n,96,791,w_vec
n,96,511,w_vec
n,96,1112,w_vec
n,96,801,w_vec
n,96,1774,w_vec
n,96,1813,w_vec
n,104,672,w_vec
n,104,1132,w_vec
n,104,1593,w_vec
n,104,631,w_vec
n,104,1192,w_vec
n,104,1613,w_vec
n,104,861,w_vec
n,104,822,w_vec
n,104,872,w_vec
n,104,772,w_vec
n,112,1163,w_vec
n,112,661,w_vec
n,112,882,w_vec
n,112,501,w_vec
n,112,922,w_vec
n,112,662,w_vec
n,112,932,w_vec
n,112,671,w_vec
n,112,1212,w_vec
n,112,1493,w_vec
n,120,461,w_vec
n,120,802,w_vec
n,120,771,w_vec
n,120,852,w_vec
n,120,842,w_vec
n,120,792,w_vec
n,120,772,w_vec
n,120,712,w_vec
n,120,1122,w_vec
n,120,1232,w_vec
n,128,901,w_vec
n,128,871,w_vec
n,128,2214,w_vec
n,128,812,w_vec
n,128,1002,w_vec
n,128,752,w_vec
n,128,721,w_vec
n,128,912,w_vec
n,128,691,w_vec
n,128,902,w_vec
n,136,782,w_vec
n,136,2324,w_vec
n,136,521,w_vec
n,136,702,w_vec
n,136,822,w_vec
n,136,1723,w_vec
n,136,672,w_vec
n,136,781,w_vec
n,136,821,w_vec
n,136,572,w_vec
n,144,762,w_vec
n,144,752,w_vec
n,144,862,w_vec
n,144,821,w_vec
n,144,891,w_vec
n,144,1262,w_vec
n,144,1072,w_vec
n,144,1864,w_vec
n,144,1252,w_vec
n,144,2004,w_vec
n,152,1182,w_vec
n,152,1022,w_vec
n,152,842,w_vec
n,152,1152,w_vec
n,152,792,w_vec
n,152,1072,w_vec
n,152,772,w_vec
n,152,702,w_vec
n,152,712,w_vec
n,152,1372,w_vec
n,160,671,w_vec
n,160,672,w_vec
n,160,861,w_vec
n,160,671,w_vec
n,160,1373,w_vec
n,160,681,w_vec
n,160,1162,w_vec
n,160,732,w_vec
n,160,992,w_vec
n,160,731,w_vec
n,168,1062,w_vec
n,168,701,w_vec
n,168,921,w_vec
n,168,762,w_vec
n,168,822,w_vec
n,168,1423,w_vec
n,168,1483,w_vec
n,168,741,w_vec
n,168,1453,w_vec
n,168,651,w_vec
n,176,1233,w_vec
n,176,1032,w_vec
n,176,882,w_vec
n,176,732,w_vec
n,176,772,w_vec
n,176,1022,w_vec
n,176,941,w_vec
n,176,892,w_vec
n,176,651,w_vec
n,176,712,w_vec
n,184,1332,w_vec
n,184,1974,w_vec
n,184,1573,w_vec
n,184,2003,w_vec
n,184,1834,w_vec
n,184,2335,w_vec
n,184,2635,w_vec
n,184,822,w_vec
n,184,1333,w_vec
n,184,1372,w_vec
n,192,1133,w_vec
n,192,2014,w_vec
n,192,1222,w_vec
n,192,971,w_vec
n,192,1183,w_vec
n,192,861,w_vec
n,192,1793,w_vec
n,192,1773,w_vec
n,192,1152,w_vec
n,192,1773,w_vec
n,200,1292,w_vec
n,200,1814,w_vec
n,200,1984,w_vec
n,200,2535,w_vec
n,200,942,w_vec
n,200,1823,w_vec
n,200,1082,w_vec
n,200,691,w_vec
n,200,651,w_vec
n,200,851,w_vec
n,208,731,w_vec
n,208,1142,w_vec
n,208,862,w_vec
n,208,1503,w_vec
n,208,842,w_vec
n,208,1153,w_vec
n,208,982,w_vec
n,208,1273,w_vec
n,208,1703,w_vec
n,208,1583,w_vec
n,216,1513,w_vec
n,216,1343,w_vec
n,216,1523,w_vec
n,216,1964,w_vec
n,216,1362,w_vec
n,216,1463,w_vec
n,216,1152,w_vec
n,216,1002,w_vec
n,216,1002,w_vec
n,216,1963,w_vec
n,224,1203,w_vec
n,224,902,w_vec
n,224,1713,w_vec
n,224,1212,w_vec
n,224,1333,w_vec
n,224,1162,w_vec
n,224,892,w_vec
n,224,1322,w_vec
n,224,1492,w_vec
n,224,1954,w_vec
n,232,1953,w_vec
n,232,1212,w_vec
n,232,1353,w_vec
n,232,1543,w_vec
n,232,992,w_vec
n,232,2265,w_vec
n,232,881,w_vec
n,232,1022,w_vec
n,232,1352,w_vec
n,232,892,w_vec
n,240,1453,w_vec
n,240,822,w_vec
n,240,811,w_vec
n,240,861,w_vec
n,240,1994,w_vec
n,240,862,w_vec
n,240,2284,w_vec
n,240,862,w_vec
n,240,1833,w_vec
n,240,1673,w_vec
n,248,1012,w_vec
n,248,1072,w_vec
n,248,1863,w_vec
n,248,1022,w_vec
n,248,1964,w_vec
n,248,1973,w_vec
n,248,1923,w_vec
n,248,1984,w_vec
n,248,831,w_vec
n,248,732,w_vec
n,256,1032,w_vec
n,256,1473,w_vec
n,256,2014,w_vec
n,256,742,w_vec
n,256,962,w_vec
n,256,1273,w_vec
n,256,1914,w_vec
n,256,1383,w_vec
n,256,1984,w_vec
n,256,1843,w_vec
n,264,1112,w_vec
n,264,962,w_vec
n,264,2185,w_vec
n,264,2114,w_vec
n,264,982,w_vec
n,264,1012,w_vec
n,264,1392,w_vec
n,264,771,w_vec
n,264,1984,w_vec
n,264,1363,w_vec
n,272,1032,w_vec
n,272,731,w_vec
n,272,2214,w_vec
n,272,1222,w_vec
n,272,1894,w_vec
n,272,1272,w_vec
n,272,1133,w_vec
n,272,822,w_vec
n,272,1092,w_vec
n,272,1543,w_vec
n,280,972,w_vec
n,280,2013,w_vec
n,280,2004,w_vec
n,280,892,w_vec
n,280,1323,w_vec
n,280,2134,w_vec
n,280,1913,w_vec
n,280,892,w_vec
n,280,1913,w_vec
n,280,2274,w_vec
n,288,1963,w_vec
n,288,1002,w_vec
n,288,1994,w_vec
n,288,1382,w_vec
n,288,1873,w_vec
n,288,1653,w_vec
n,288,2796,w_vec
n,288,911,w_vec
n,288,1874,w_vec
n,288,1473,w_vec
n,296,781,w_vec
n,296,1152,w_vec
n,296,802,w_vec
n,296,1473,w_vec
n,296,1914,w_vec
n,296,1392,w_vec
n,296,2655,w_vec
n,296,1223,w_vec
n,296,1312,w_vec
n,296,2274,w_vec
n,304,1373,w_vec
n,304,902,w_vec
n,304,2264,w_vec
n,304,1803,w_vec
n,304,912,w_vec
n,304,782,w_vec
n,304,811,w_vec
n,304,1522,w_vec
n,304,1463,w_vec
n,304,1804,w_vec
n,312,2595,w_vec
n,312,962,w_vec
n,312,1744,w_vec
n,312,1192,w_vec
n,312,1423,w_vec
n,312,2304,w_vec
n,312,1283,w_vec
n,312,2044,w_vec
n,312,1472,w_vec
n,312,1893,w_vec
n,320,1893,w_vec
n,320,1894,w_vec
n,320,942,w_vec
n,320,1873,w_vec
n,320,1483,w_vec
n,320,1984,w_vec
n,320,1132,w_vec
n,320,2615,w_vec
n,320,1363,w_vec
n,320,2264,w_vec
n,328,1654,w_vec
n,328,1343,w_vec
n,328,2014,w_vec
n,328,882,w_vec
n,328,1413,w_vec
n,328,971,w_vec
n,328,2465,w_vec
n,328,1132,w_vec
n,328,772,w_vec
n,328,2335,w_vec
n,336,1443,w_vec
n,336,1062,w_vec
n,336,882,w_vec
n,336,1553,w_vec
n,336,891,w_vec
n,336,1243,w_vec
n,336,1433,w_vec
n,336,982,w_vec
n,336,1453,w_vec
n,336,992,w_vec
n,344,1483,w_vec
n,344,872,w_vec
n,344,1463,w_vec
n,344,912,w_vec
n,344,1462,w_vec
