param,value,time,tag
param_id_0,0,541,yijk_aij_xj_fuse
param_id_0,0,100,yijk_aij_xj_fuse
param_id_0,0,90,yijk_aij_xj_fuse
param_id_0,0,91,yijk_aij_xj_fuse
param_id_0,0,90,yijk_aij_xj_fuse
param_id_0,32,403938,yijk_aij_xj_fuse
param_id_0,32,397666,yijk_aij_xj_fuse
param_id_0,32,398898,yijk_aij_xj_fuse
param_id_0,32,398157,yijk_aij_xj_fuse
param_id_0,32,402646,yijk_aij_xj_fuse
param_id_0,64,832462,yijk_aij_xj_fuse
param_id_0,64,797295,yijk_aij_xj_fuse
param_id_0,64,829477,yijk_aij_xj_fuse
param_id_0,64,815229,yijk_aij_xj_fuse
param_id_0,64,795132,yijk_aij_xj_fuse
param_id_0,96,1201182,yijk_aij_xj_fuse
param_id_0,96,1197836,yijk_aij_xj_fuse
param_id_0,96,1194611,yijk_aij_xj_fuse
param_id_0,96,1298087,yijk_aij_xj_fuse
param_id_0,96,1191134,yijk_aij_xj_fuse
param_id_0,128,1596234,yijk_aij_xj_fuse
param_id_0,128,1603328,yijk_aij_xj_fuse
param_id_0,128,1653292,yijk_aij_xj_fuse
param_id_0,128,1602095,yijk_aij_xj_fuse
param_id_0,128,1672469,yijk_aij_xj_fuse
param_id_0,160,1997557,yijk_aij_xj_fuse
param_id_0,160,1998018,yijk_aij_xj_fuse
param_id_0,160,2044606,yijk_aij_xj_fuse
param_id_0,160,2035830,yijk_aij_xj_fuse
param_id_0,160,2087167,yijk_aij_xj_fuse
param_id_0,192,2476447,yijk_aij_xj_fuse
param_id_0,192,2439716,yijk_aij_xj_fuse
param_id_0,192,2443945,yijk_aij_xj_fuse
param_id_0,192,2434286,yijk_aij_xj_fuse
param_id_0,192,2392156,yijk_aij_xj_fuse
param_id_0,224,2788810,yijk_aij_xj_fuse
param_id_0,224,2785835,yijk_aij_xj_fuse
param_id_0,224,2783891,yijk_aij_xj_fuse
param_id_0,224,2788901,yijk_aij_xj_fuse
param_id_0,224,2788890,yijk_aij_xj_fuse
param_id_0,256,3183451,yijk_aij_xj_fuse
param_id_0,256,3180004,yijk_aij_xj_fuse
param_id_0,256,3188840,yijk_aij_xj_fuse
param_id_0,256,3183270,yijk_aij_xj_fuse
param_id_0,256,3188060,yijk_aij_xj_fuse
param_id_0,288,3581918,yijk_aij_xj_fuse
param_id_0,288,3575345,yijk_aij_xj_fuse
param_id_0,288,3589322,yijk_aij_xj_fuse
param_id_0,288,3578691,yijk_aij_xj_fuse
param_id_0,288,3581377,yijk_aij_xj_fuse
param_id_0,320,3985845,yijk_aij_xj_fuse
param_id_0,320,3980436,yijk_aij_xj_fuse
param_id_0,320,3983902,yijk_aij_xj_fuse
