param_0_pointers,param_0_type,param_1_pointers,param_1_type,param_2_pointers,param_2_type,param_3_pointers,param_3_type,param_4_pointers,param_4_type,param_5_pointers,param_5_type,return_pointers,return_type,out_num_outputs,out_num_props,out_num_sizes,out_output_0_arg,out_output_1_arg,out_prop_0_name,out_prop_1_name,out_prop_2_name,out_prop_3_name,out_return_type,out_size_0_ptr,out_size_0_size,out_size_1_ptr,out_size_1_size,out_size_2_ptr,out_size_2_size
0,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,0,3,0,0,0,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1
1,3,0,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,0,-1,0,1,-1,-1,-1,0,2,-1,-1,-1,-1
1,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,0,-1,0,1,-1,-1,-1,0,1,-1,-1,-1,-1
1,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,0,3,0,1,1,-1,-1,1,-1,-1,-1,3,0,1,-1,-1,-1,-1
1,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,0,3,0,1,1,-1,-1,1,-1,-1,-1,3,0,1,-1,-1,-1,-1
0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,0,0,0,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1
1,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1
0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,0,0,0,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1
0,3,0,3,1,4,1,4,1,4,-1,-1,-1,-1,1,3,2,4,-1,0,1,1,-1,-1,4,0,3,1,-1,-1
0,3,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,0,3,0,1,1,-1,-1,1,-1,-1,-1,3,0,1,-1,-1,-1,-1
1,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,0,-1,0,1,-1,-1,-1,0,1,-1,-1,-1,-1
1,3,1,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,1,-1,0,1,-1,-1,-1,1,2,-1,-1,-1,-1
0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,0,0,0,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1
0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,0,0,0,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1
1,3,1,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,1,3,2,0,-1,0,1,1,-1,-1,0,2,1,2,-1,-1
1,3,0,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,0,-1,0,1,-1,-1,-1,0,2,-1,-1,-1,-1
1,3,1,3,0,3,-1,-1,-1,-1,-1,-1,0,3,0,2,2,-1,-1,1,1,-1,-1,3,0,2,1,2,-1,-1
1,3,1,3,0,3,-1,-1,-1,-1,-1,-1,0,2,0,2,2,-1,-1,1,1,-1,-1,2,0,2,1,2,-1,-1
0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,0,0,0,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1
0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,0,0,0,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1
